row,range,yieldPerAcre
2,2,147.92
3,2,122.52
4,2,105.31
5,2,111.89
6,2,117.66
7,2,67.75
2,3,134.19
3,3,149.3
4,3,136.32
5,3,65.46
6,3,135.73
7,3,75.66
2,4,107.93
3,4,
4,4,89.81
5,4,111.46
6,4,
7,4,89.27
2,5,72.53
3,5,95.3
4,5,125.29
5,5,116.49
6,5,108.75
7,5,90.56
2,6,138.9
3,6,82.49
4,6,59.88
5,6,89.45
6,6,100.8
7,6,85.28
2,7,109.93
3,7,115.8
4,7,54.7
5,7,140.91
6,7,
7,7,82.19
2,8,145.95
3,8,66.25
4,8,96.84
5,8,116.17
6,8,57.69
7,8,62.27
2,9,124.39
3,9,60.38
4,9,83.49
5,9,102.55
6,9,82.92
7,9,79.96
2,10,152.81
3,10,153.29
4,10,146.77
5,10,109.4
6,10,119.39
7,10,62.87
2,11,123.24
3,11,113.07
4,11,120.13
5,11,141.98
6,11,143.59
7,11,103.65
2,12,183.96
3,12,128.42
4,12,130.97
5,12,111.78
6,12,
7,12,107.98
2,13,128.91
3,13,140.89
4,13,121.67
5,13,141.72
6,13,193.95
7,13,129.52
2,14,138.38
3,14,126.88
4,14,202.1
5,14,129.0
6,14,124.37
7,14,87.35
2,15,118.06
3,15,207.13
4,15,138.53
5,15,140.97
6,15,155.39
7,15,94.73
2,16,144.65
3,16,129.24
4,16,170.55
5,16,143.62
6,16,
7,16,
2,17,121.24
3,17,143.8
4,17,105.03
5,17,124.13
6,17,130.76
7,17,115.33
2,18,133.72
3,18,119.22
4,18,159.78
5,18,125.79
6,18,139.12
7,18,99.93
2,19,89.87
3,19,123.8
4,19,111.85
5,19,91.66
6,19,165.92
7,19,139.37
2,20,183.75
3,20,112.56
4,20,112.79
5,20,124.98
6,20,139.76
7,20,115.26
2,21,63.36
3,21,137.73
4,21,95.28
5,21,105.18
6,21,125.39
7,21,173.47
2,22,99.32
3,22,141.99
4,22,75.38
5,22,123.54
6,22,
7,22,
2,23,
3,23,142.83
4,23,177.1
5,23,134.57
6,23,185.41
7,23,154.05
2,24,130.08
3,24,130.65
4,24,133.73
5,24,164.28
6,24,145.85
7,24,72.93
2,25,150.24
3,25,160.54
4,25,115.21
5,25,125.3
6,25,154.07
7,25,140.06
2,26,119.34
3,26,171.24
4,26,91.96
5,26,135.5
6,26,150.01
7,26,140.49
2,27,116.89
3,27,130.32
4,27,128.39
5,27,149.05
6,27,92.36
7,27,145.0
2,28,97.82
3,28,84.99
4,28,149.81
5,28,142.45
6,28,131.25
7,28,143.22
2,29,117.93
3,29,
4,29,139.23
5,29,147.54
6,29,146.85
7,29,185.23
2,30,141.04
3,30,125.45
4,30,150.2
5,30,138.23
6,30,174.86
7,30,
2,31,
3,31,
4,31,
5,31,
6,31,
7,31,
