file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp,genotype
Ames-TP2-4231_10_2,0.129009287982749,0.1125827814569536,18.577337469515857,-0.129009287982749,-0.1125827814569536,-18.577337469515857,62.29166666666666,64.0,8970,79.27777777777777,79.5,11416,69.80555555555556,71.0,10052,0.0956869249987943,0.0879676870748299,13.778917199826385,Ames-TP2-4231,10,2,29500.0,17.5,152.81,59.0,,,,,,,,,,,0.0,200.0,Ames,TP2,4231,PHP02 X W606S
Ames-TP2-4231_10_3,0.1320260047189924,0.1141145199801775,19.011744679534903,-0.1320260047189924,-0.1141145199801775,-19.011744679534903,61.708333333333336,64.0,8886,78.59027777777777,79.5,11317,69.18055555555556,70.0,9962,0.0968702888048496,0.0890452732817264,13.94932158789835,Ames-TP2-4231,10,3,30500.0,18.19,153.29,61.0,,,,,,,,,,,4.92,191.0,Ames,TP2,4231,HOEGEMEYER 8065RR
Ames-TP2-4231_10_4,0.1441656408296172,0.1333333333333333,20.75985227946488,-0.1441656408296172,-0.1333333333333333,-20.75985227946488,64.25,65.0,9252,84.14583333333333,84.0,12117,73.20833333333333,73.0,10542,0.1061102392593048,0.0992787281447075,15.279874453339897,Ames-TP2-4231,10,4,26000.0,17.33,146.77,52.0,,,,,,,,,,,0.0,218.0,Ames,TP2,4231,PHK56 X PHJ89
Ames-TP2-4231_10_5,0.1568775473187343,0.1428571428571428,22.590366813897752,-0.1568775473187343,-0.1428571428571428,-22.590366813897752,61.15972222222222,62.0,8807,82.01388888888889,82.0,11810,69.95138888888889,70.0,10073,0.1173288674246015,0.1089108910891089,16.895356909142627,Ames-TP2-4231,10,5,34000.0,12.95,109.4,68.0,,,,,,,,,,,0.0,242.0,Ames,TP2,4231,B73 X PHZ51
Ames-TP2-4231_10_6,0.1281788440834802,0.112781954887218,18.45775354802116,-0.1281788440834802,-0.112781954887218,-18.45775354802116,61.81944444444444,62.0,8902,78.57638888888889,79.0,11315,67.63194444444444,68.0,9739,0.1015255320379885,0.0962962962962963,14.619676613470345,Ames-TP2-4231,10,6,34000.0,12.54,119.39,68.0,,,,,,,,,,,0.0,186.0,Ames,TP2,4231,2FACC X 3IIH6
Ames-TP2-4231_10_7,0.1629619899779491,0.1411042944785276,23.303564566846724,-0.1629619899779491,-0.1411042944785276,-23.303564566846724,65.81118881118881,67.0,9411,88.42657342657343,91.0,12645,73.1118881118881,75.0,10455,0.1291944354003323,0.1145510835913312,18.47480426224752,Ames-TP2-4231,10,7,34500.0,6.31,62.87,69.0,,,,,,,,,,,0.0,212.0,Ames,TP2,4231,PHZ51 X LH145
Ames-TP2-4231_11_2,0.1292188257290993,0.1111111111111111,18.6075109049903,-0.1292188257290993,-0.1111111111111111,-18.6075109049903,59.03472222222222,60.0,8501,74.26388888888889,74.0,10694,66.82638888888889,66.0,9623,0.0895846016412134,0.079136690647482,12.900182636334742,Ames-TP2-4231,11,2,25500.0,13.03,123.24,51.0,,,,,,,,,,,0.0,212.0,Ames,TP2,4231,PHK76 X W606S
Ames-TP2-4231_11_3,0.1567814028833267,0.1257485029940119,22.41974061231572,-0.1567814028833267,-0.1257485029940119,-22.41974061231572,64.7972027972028,67.0,9266,85.7062937062937,87.0,12256,72.8951048951049,75.0,10424,0.118269930883129,0.101639344262295,16.91260011628745,Ames-TP2-4231,11,3,32000.0,13.94,113.07,64.0,,,,,,,,,,,1.56,230.0,Ames,TP2,4231,LH123HT X PHB47
Ames-TP2-4231_11_4,0.1364877781657751,0.109375,19.51775227770584,-0.1364877781657751,-0.109375,-19.51775227770584,59.22377622377623,64.0,8469,75.34965034965035,77.0,10775,68.24475524475524,70.0,9759,0.0912027883494269,0.0798479087452471,13.041998733968054,Ames-TP2-4231,11,4,24000.0,14.08,120.13,48.0,,,,,,,,,,,0.0,219.0,Ames,TP2,4231,PHP02 X PHN46
Ames-TP2-4231_11_5,0.1382483717512832,0.1156462585034013,19.907765532184783,-0.1382483717512832,-0.1156462585034013,-19.907765532184783,59.90972222222222,62.0,8627,76.90277777777777,79.0,11074,68.57638888888889,70.0,9875,0.0961308048616053,0.0863534442300672,13.842835900071163,Ames-TP2-4231,11,5,30000.0,18.77,141.98,60.0,,,,,,,,,,,0.0,223.0,Ames,TP2,4231,PHW52 X PHM49
Ames-TP2-4231_11_6,0.1510592862119105,0.1282051282051282,21.75253721451511,-0.1510592862119105,-0.1282051282051282,-21.75253721451511,57.826388888888886,61.0,8327,76.0625,79.0,10953,66.65972222222223,70.0,9599,0.1070440986765304,0.0957910653728144,15.414350209420387,Ames-TP2-4231,11,6,31500.0,16.85,143.59,63.0,,,,,,,,,,,0.0,231.0,Ames,TP2,4231,PHW52 X PHZ51
Ames-TP2-4231_11_7,0.1539351655802343,0.1275167785234899,22.012728677973502,-0.1539351655802343,-0.1275167785234899,-22.012728677973502,62.89510489510489,65.0,8994,82.41258741258741,84.0,11785,69.17482517482517,71.0,9892,0.1206148367678851,0.1047619047619047,17.24792165780757,Ames-TP2-4231,11,7,31500.0,10.64,103.65,63.0,,,,,,,,,,,0.0,232.0,Ames,TP2,4231,LH123HT X 3IIH6
Ames-TP2-4231_12_2,0.1212399805640363,0.1048951048951049,17.45855720122123,-0.1212399805640363,-0.1048951048951049,-17.45855720122123,63.05555555555556,65.0,9080,78.47222222222223,79.0,11300,70.21527777777777,71.0,10111,0.0876270226662936,0.0787995269071555,12.618291263946288,Ames-TP2-4231,12,2,26000.0,20.62,183.96,52.0,,,,,,,,,,,0.0,204.0,Ames,TP2,4231,HOEGEMEYER 7089 AMXT
Ames-TP2-4231_12_3,0.1262222365465656,0.1139240506329113,18.176002062705447,-0.1262222365465656,-0.1139240506329113,-18.176002062705447,66.76388888888889,68.0,9614,84.38888888888889,85.0,12152,72.59027777777777,73.0,10453,0.1003614394395778,0.0937362562182976,14.452047279299212,Ames-TP2-4231,12,3,39000.0,14.48,128.42,78.0,,,,,,,,,,,0.0,212.0,Ames,TP2,4231,PHK76 X LH198
Ames-TP2-4231_12_4,0.1385300540041729,0.120677102293411,19.9483277766009,-0.1385300540041729,-0.120677102293411,-19.9483277766009,57.18055555555556,59.0,8234,73.71527777777777,74.0,10615,65.5,66.0,9432,0.0977565468781739,0.0896722325293754,14.076942750457048,Ames-TP2-4231,12,4,26500.0,15.2,130.97,53.0,,,,,,,,,,,0.0,208.0,Ames,TP2,4231,LH185 X W606S
Ames-TP2-4231_12_5,0.138073886989777,0.1156462585034013,19.88263972652789,-0.138073886989777,-0.1156462585034013,-19.88263972652789,61.22916666666666,62.0,8817,78.10416666666667,77.0,11247,69.03472222222223,70.0,9941,0.0989173149088733,0.090282131661442,14.24409334687776,Ames-TP2-4231,12,5,32000.0,13.57,111.78,64.0,,,,,,,,,,,0.0,227.0,Ames,TP2,4231,F42 X MO17
