file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Ames-TP3-4231_10_2,0.12954624942588516,0.125,18.654659917327464,-0.12954624942588516,-0.125,-18.654659917327464,65.79166666666667,66.0,9474,84.91666666666667,85.0,12228,71.04861111111111,71.0,10231,0.1089649279812716,0.1073173569101907,15.69094962930312,Ames-TP3-4231,10,2,29500.0,17.5,152.81,59.0,,,,,,,,,,,0.0,200.0,Ames,TP3,4231
Ames-TP3-4231_10_3,0.12800069008607737,0.12345679012345678,18.43209937239514,-0.12800069008607737,-0.12345679012345678,-18.43209937239514,69.40277777777777,70.5,9994,89.27083333333333,90.0,12855,73.59722222222223,74.0,10598,0.112359644458711,0.1074175824175824,16.179788802054386,Ames-TP3-4231,10,3,30500.0,18.19,153.29,61.0,,,,,,,,,,,4.92,191.0,Ames,TP3,4231
Ames-TP3-4231_10_4,0.12378734249485676,0.11801242236024845,17.825377319259374,-0.12378734249485676,-0.11801242236024845,-17.825377319259374,68.70833333333333,68.0,9894,87.5625,88.0,12609,72.97916666666667,73.0,10509,0.1075377828821962,0.1066506088585574,15.485440735036256,Ames-TP3-4231,10,4,26000.0,17.33,146.77,52.0,,,,,,,,,,,0.0,218.0,Ames,TP3,4231
Ames-TP3-4231_10_5,0.1567754768408351,0.15515436944008373,22.575668665080254,-0.1567754768408351,-0.15515436944008373,-22.575668665080254,64.17361111111111,65.0,9241,87.45833333333333,88.0,12594,71.91666666666667,73.0,10356,0.1265999555377102,0.126448134658518,18.230393597430275,Ames-TP3-4231,10,5,34000.0,12.95,109.4,68.0,,,,,,,,,,,0.0,242.0,Ames,TP3,4231
Ames-TP3-4231_10_6,0.11414808407401263,0.109672569328433,16.43732410665782,-0.11414808407401263,-0.109672569328433,-16.43732410665782,69.58333333333333,70.0,10020,86.99305555555556,88.0,12527,71.95138888888889,73.0,10361,0.1047431890437483,0.1047619047619047,15.083019222299756,Ames-TP3-4231,10,6,34000.0,12.54,119.39,68.0,,,,,,,,,,,0.0,186.0,Ames,TP3,4231
Ames-TP3-4231_10_7,0.1205976277016224,0.11233546673107113,17.366058389033626,-0.1205976277016224,-0.11233546673107113,-17.366058389033626,80.77083333333333,84.0,11631,102.0625,105.0,14697,80.1875,82.0,11547,0.1210071326117945,0.1177978883861236,17.425027096098407,Ames-TP3-4231,10,7,34500.0,6.31,62.87,69.0,,,,,,,,,,,0.0,212.0,Ames,TP3,4231
Ames-TP3-4231_11_2,0.13850797919333505,0.13178294573643412,19.945149003840246,-0.13850797919333505,-0.13178294573643412,-19.945149003840246,58.326388888888886,59.0,8399,76.30555555555556,78.0,10988,64.77777777777777,65.0,9328,0.1100501421847394,0.1065511731561685,15.847220474602484,Ames-TP3-4231,11,2,25500.0,13.03,123.24,51.0,,,,,,,,,,,0.0,212.0,Ames,TP3,4231
Ames-TP3-4231_11_3,0.14857458715634103,0.14285714285714285,21.39474055051311,-0.14857458715634103,-0.14285714285714285,-21.39474055051311,67.59722222222223,68.0,9734,90.375,91.0,13014,74.0625,74.0,10665,0.1237405868200879,0.1216541791321384,17.818644502092667,Ames-TP3-4231,11,3,32000.0,13.94,113.07,64.0,,,,,,,,,,,1.56,230.0,Ames,TP3,4231
Ames-TP3-4231_11_4,0.14097937672099356,0.13073463268365818,20.30103024782307,-0.14097937672099356,-0.13073463268365818,-20.30103024782307,60.826388888888886,60.0,8759,79.8125,79.0,11493,66.0,66.0,9504,0.1181774954386206,0.1136645962732919,17.01755934316137,Ames-TP3-4231,11,4,24000.0,14.08,120.13,48.0,,,,,,,,,,,0.0,219.0,Ames,TP3,4231
Ames-TP3-4231_11_5,0.13845649718592754,0.12582781456953643,19.937735594773564,-0.13845649718592754,-0.12582781456953643,-19.937735594773564,63.458333333333336,65.5,9138,82.55555555555556,84.0,11888,68.32638888888889,70.0,9839,0.1170204915434705,0.1114660986865459,16.85095078225976,Ames-TP3-4231,11,5,30000.0,18.77,141.98,60.0,,,,,,,,,,,0.0,223.0,Ames,TP3,4231
