file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Ames-TP1-4231_10_2,514.33,511.5,102866,721.105,720.0,144221,586.625,581.5,117325,0.13637601988266065,0.13684089726091964,27.275203976532133,0.17179996781041154,0.16830772583632997,34.35999356208231,-0.17179996781041154,-0.16830772583632997,-34.35999356208231,0.7775006787366102,0.7770153972155296,155.50013574732205,0.7007581674819484,0.7019611577220028,140.15163349638968,1.1661239526988485,1.1653992745128114,233.22479053976969,0.34494851150234945,0.3464496665373763,68.98970230046989,1993.71,1993.0,398742,580.46,579.5,116092,4098.8,4111.5,819760
Ames-TP1-4231_10_3,485.385,491.0,97077,706.13,711.0,141226,561.0,565.5,112200,0.1520427760350328,0.14882356161010413,30.408555207006557,0.19191178642939546,0.1856682449369355,38.382357285879095,-0.19191178642939546,-0.1856682449369355,-38.382357285879095,0.7970050219425298,0.7970342268464952,159.40100438850595,0.7163993765059277,0.7172222868889148,143.27987530118554,1.1953808429360522,1.195419907727223,239.07616858721042,0.35753494167521177,0.3614770112465443,71.50698833504235,2017.88,2034.5,403576,566.895,568.0,113379,4270.015,4342.5,854003
Ames-TP1-4231_10_4,511.465,509.5,102293,726.36,724.5,145272,583.7,581.0,116740,0.14391447390019793,0.14199029962710313,28.782894780039584,0.18117288731069284,0.17485898468976632,36.23457746213857,-0.18117288731069284,-0.17485898468976632,-36.23457746213857,0.7872465982221145,0.7859144308425839,157.4493196444229,0.7092262604140913,0.7087027566711273,141.84525208281826,1.1807450508111024,1.1787580487444684,236.14901016222046,0.34831500095092616,0.3485451048399211,69.66300019018523,2058.77,2081.5,411754,564.52,568.5,112904,4266.11,4362.0,853222
Ames-TP1-4231_10_5,519.5970149253732,518.0,104439,754.1691542288557,753.0,151588,591.1691542288557,586.0,118825,0.15431101243072454,0.15457652867451577,31.016513498575634,0.18925164989646884,0.18667699457784662,38.03958162919024,-0.18925164989646884,-0.18667699457784662,-38.03958162919024,0.7996351651280619,0.7996505532906232,160.72666819074044,0.7208018350772403,0.7204704278166013,144.88116885052528,1.1993357926895676,1.1993594098806173,241.0664943306031,0.35646583301931656,0.35677296266012537,71.64963243688263,2203.9651741293533,2238.0,442997,574.542288557214,572.0,115483,4651.557213930349,4749.0,934963
Ames-TP1-4231_10_6,491.9688888888889,489.0,110693,705.6977777777778,704.0,158782,569.8844444444444,569.0,128224,0.144221143938166,0.13988095238095238,32.449757386087356,0.18455025122517213,0.17983193277310924,41.52380652566373,-0.18455025122517213,-0.17983193277310924,-41.52380652566373,0.7940311640831977,0.7935544138253152,178.6570119187195,0.7162015145887654,0.7161388782907288,161.1453407824722,1.190920624157073,1.1901926444833626,267.9571404353414,0.35243155279093014,0.35154241645244216,79.29709937795928,2038.72,2044.0,458712,568.0933333333334,568.0,127821,4262.764444444444,4263.0,959122
Ames-TP1-4231_10_7,524.9855072463768,538.0,108672,785.6618357487922,806.0,162632,600.2753623188406,612.0,124257,0.16742104048124515,0.16865294330083064,34.65615537961774,0.20369868627410373,0.2017353579175705,42.16562805873947,-0.20369868627410373,-0.2017353579175705,-42.16562805873947,0.7834479199539162,0.7828849028400597,162.17371943046064,0.691534849306951,0.6923943661971831,143.14771380653886,1.1750490807425387,1.174217655301261,243.2351597137055,0.3251166870941221,0.3268664472544604,67.29915422848327,2188.75845410628,2221.0,453073,584.5845410628019,592.0,121009,4300.787439613527,4362.0,890263
Ames-TP1-4231_11_2,518.745,520.0,103749,691.12,693.0,138224,574.435,574.0,114887,0.1181785439406458,0.11647087820093319,23.635708788129158,0.1454526367859173,0.1432200176924049,29.09052735718346,-0.1454526367859173,-0.1432200176924049,-29.09052735718346,0.7341496220853412,0.7336478411936191,146.82992441706824,0.6601785175450239,0.6601911045569187,132.03570350900478,1.1010824762885094,1.1003292999022722,220.2164952577019,0.3160319953729821,0.31586300507545595,63.20639907459642,1752.59,1752.0,350518,561.445,561.0,112289,3374.085,3382.5,674817
Ames-TP1-4231_11_3,530.07,522.0,106014,777.185,768.5,155437,587.62,583.5,117524,0.16819119959370826,0.16313949268561273,33.638239918741654,0.19872717962160674,0.1886093132260642,39.74543592432135,-0.19872717962160674,-0.1886093132260642,-39.74543592432135,0.7773758916102088,0.7773606483470372,155.47517832204176,0.6873936044134353,0.6877378250167789,137.47872088268707,1.1659384298583242,1.1659258078299413,233.18768597166482,0.3266984705404968,0.3269712988913536,65.33969410809935,2120.46,2134.5,424092,578.2,579.0,115640,4184.045,4244.0,836809
Ames-TP1-4231_11_4,523.180487804878,517.0,107252,718.609756097561,713.0,147315,583.4634146341464,580.0,119610,0.13198793647893658,0.13177737881508078,27.057526978182,0.1620466434344696,0.1584875301689461,33.21956190406627,-0.1620466434344696,-0.1584875301689461,-33.21956190406627,0.7558187398674981,0.7546904315196998,154.94284167283712,0.678641717940891,0.6777061569237608,139.12155217788265,1.1335945795017348,1.131902919451284,232.38688879785565,0.3257709313776032,0.3273305084745763,66.78304093240865,1906.0585365853658,1904.0,390742,565.9951219512195,562.0,116029,3754.0439024390244,3769.0,769579
Ames-TP1-4231_11_5,507.7288888888889,510.0,114239,719.1911111111111,723.0,161818,582.3733333333333,585.0,131034,0.1401596654798116,0.13710030661410424,31.53592473295761,0.17772026672884345,0.1726844583987441,39.987060013989776,-0.17772026672884345,-0.1726844583987441,-39.987060013989776,0.7813676614591043,0.782328403488813,175.80772382829846,0.7030494579481331,0.7029360967184801,158.18612803832994,1.1719241095102613,1.173381363162385,263.6829246398088,0.3425038326289872,0.3461858068805052,77.06336234152212,2018.1333333333334,2023.0,454080,571.8088888888889,572.0,128657,4128.182222222223,4152.0,928841
Ames-TP1-4231_11_6,502.4264705882353,493.0,102495,718.9656862745098,717.0,146669,579.3186274509804,576.0,118181,0.14415794199960247,0.1429688372612532,29.408220167918905,0.1832026915551273,0.18076847543658225,37.37334907724597,-0.1832026915551273,-0.18076847543658225,-37.37334907724597,0.7862420157531547,0.7854743724225403,160.39337121364355,0.7063692937659384,0.7068023286028999,144.09933592825143,1.1792359368403078,1.1780850101855755,240.5641311154228,0.3451033333588575,0.3450902797872648,70.40108000520694,2029.8529411764705,2034.0,414090,562.9852941176471,560.0,114849,4173.019607843137,4183.5,851296
Ames-TP1-4231_11_7,523.305,521.0,104661,752.705,756.0,150541,584.175,579.5,116835,0.15516180815712546,0.15080918799661736,31.032361631425093,0.18536872291568138,0.1803977147387405,37.073744583136275,-0.18536872291568138,-0.1803977147387405,-37.073744583136275,0.7643101351044546,0.7618253113962505,152.8620270208909,0.6762000873586069,0.6750817726810514,135.2400174717214,1.1463342881229779,1.1426113887520755,229.26685762459556,0.3166582755525201,0.31724946446500124,63.331655110504016,2016.69,2026.5,403338,580.5,583.0,116100,3886.465,3914.0,777293
