file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Ames-TP6-4231_10_2,698.94,705.0,139788,621.605,619.0,124321,470.1,463.0,94020,0.0349240674853748,0.0288275670981401,6.984813497074964,-0.0531770553605338,-0.0607125383135247,-10.63541107210676,0.0531770553605338,0.0607125383135247,10.63541107210676,0.4881258378655275,0.4819352665349589,97.62516757310551,0.5290601274237187,0.5267565038781159,105.81202548474371,0.7320464274520384,0.7227621502471282,146.40928549040768,0.1642067562912572,0.1615652277338468,32.84135125825144,1433.835,1434.5,286767,446.68,442.5,89336,1999.76,1991.5,399952,Ames-TP6-4231,10,2,4231,29500.0,17.5,152.81,59.0,,,,,,,,,,,0.0,200.0,PHP02 X W606S
Ames-TP6-4231_10_3,544.605,542.0,108921,620.42,621.0,124084,448.455,448.0,89691,0.1168022963581426,0.1142375428372459,23.36045927162853,0.073070234178376,0.0699251156302767,14.614046835675207,-0.073070234178376,-0.0699251156302767,-14.614046835675207,0.6522785976826229,0.6547651639275742,130.45571953652458,0.6107447824569178,0.6112008989411011,122.14895649138354,0.9782533572530988,0.9820028495792844,195.6506714506197,0.216976308421077,0.217984884248555,43.395261684215406,1641.1,1664.5,328220,439.61,444.0,87922,2549.97,2614.5,509994,Ames-TP6-4231,10,3,4231,30500.0,18.19,153.29,61.0,,,,,,,,,,,4.92,191.0,HOEGEMEYER 8065RR
Ames-TP6-4231_10_4,546.125,559.5,109225,615.67,639.0,123134,456.785,465.5,91357,0.1108746615524729,0.1049098500829014,22.174932310494597,0.0738745493710072,0.0615905962088319,14.774909874201448,-0.0738745493710072,-0.0615905962088319,-14.774909874201448,0.6598396716509876,0.6573082043525906,131.96793433019752,0.6214331509038097,0.6209478921183555,124.28663018076192,0.989590625097258,0.9857809649111148,197.9181250194516,0.2217499614156888,0.2245588753515531,44.34999228313777,1652.41,1690.0,330482,449.075,457.5,89815,2601.71,2694.0,520342,Ames-TP6-4231,10,4,4231,26000.0,17.33,146.77,52.0,,,,,,,,,,,0.0,218.0,PHK56 X PHJ89
Ames-TP6-4231_10_5,569.8457711442786,584.0,114539,611.2985074626865,626.0,122871,459.2189054726368,473.0,92303,0.1011566041220574,0.0827361563517915,20.332477428533547,0.0566410228137872,0.0329317269076305,11.38484558557123,-0.0566410228137872,-0.0329317269076305,-11.38484558557123,0.6354833608215205,0.6238264810618324,127.7321555251256,0.6088542465103419,0.6029532403609515,122.37970354857872,0.9530538516976208,0.935588282893672,191.56382419122176,0.2156329051547655,0.2174789915966386,43.34221393610788,1590.820895522388,1625.0,319755,440.5074626865672,452.0,88542,2469.4378109452737,2538.0,496357,Ames-TP6-4231,10,5,4231,34000.0,12.95,109.4,68.0,,,,,,,,,,,0.0,242.0,B73 X PHZ51
Ames-TP6-4231_10_6,594.4622222222222,609.0,133754,554.2,563.0,124695,440.9688888888889,452.0,99218,0.0390761399307162,0.0348953140578265,8.792131484411158,-0.0290338815479082,-0.0343096234309623,-6.532623348279356,0.0290338815479082,0.0343096234309623,6.532623348279356,0.4885949802614451,0.4738393515106853,109.93387055882516,0.5126923157594941,0.5025906735751295,115.35577104588616,0.7327247544419261,0.7106281083072389,164.86306974943338,0.159778990012757,0.1590975681218869,35.95027275287034,1231.351111111111,1233.0,277054,422.3333333333333,429.0,95025,1704.6222222222225,1690.0,383540,Ames-TP6-4231,10,6,4231,34000.0,12.54,119.39,68.0,,,,,,,,,,,0.0,186.0,2FACC X 3IIH6
Ames-TP6-4231_10_7,575.7004830917874,573.0,119170,512.2270531400966,507.0,106031,418.4202898550725,412.0,86613,0.0171196985927455,0.0177419354838709,3.543777608698333,-0.056355881372029,-0.0571955719557195,-11.665667444010012,0.056355881372029,0.0571955719557195,11.665667444010012,0.4222737057468287,0.412863070539419,87.41065708959356,0.4682548520464262,0.4635725849973017,96.92875437361022,0.6332459452178221,0.6191340420015556,131.08191066008916,0.139228395596294,0.1371158392434988,28.82027788843285,1062.1884057971015,1047.0,219873,407.0579710144928,408.0,84261,1408.9903381642512,1394.0,291661,Ames-TP6-4231,10,7,4231,34500.0,6.31,62.87,69.0,,,,,,,,,,,0.0,212.0,PHZ51 X LH145
Ames-TP6-4231_11_2,636.0,642.0,126564,578.1959798994975,586.0,115061,440.90452261306535,446.0,87740,0.0385689886898246,0.0344510794671566,7.675228749275099,-0.0444567023697533,-0.0485106382978723,-8.846883771580906,0.0444567023697533,0.0485106382978723,8.846883771580906,0.4931117248099596,0.4956772334293948,98.12923323718196,0.5272397918822982,0.5290601129192959,104.92071858457732,0.7395135783111902,0.7433373349339736,147.16320208392685,0.1696582669901084,0.1666666666666666,33.76199513103158,1315.9497487437186,1318.0,261874,436.2462311557789,434.0,86813,1855.5427135678392,1859.0,369253,Ames-TP6-4231,11,2,4231,25500.0,13.03,123.24,51.0,,,,,,,,,,,0.0,212.0,PHK76 X W606S
Ames-TP6-4231_11_3,610.075,632.5,122015,658.61,671.0,131722,473.46,487.0,94692,0.1152498934410273,0.0952312703583062,23.049978688205474,0.0653871380271755,0.038147972570723,13.077427605435116,-0.0653871380271755,-0.038147972570723,-13.077427605435116,0.6352941118985997,0.617967603126717,127.05882237971996,0.6055812743554108,0.597000319959643,121.11625487108216,0.952780534672571,0.9268153445327892,190.5561069345142,0.2131756690968544,0.2110834687707128,42.63513381937088,1701.085,1729.0,340217,449.54,456.5,89908,2610.985,2635.0,522197,Ames-TP6-4231,11,3,4231,32000.0,13.94,113.07,64.0,,,,,,,,,,,1.56,230.0,LH123HT X PHB47
Ames-TP6-4231_11_4,519.2,500.0,106436,598.0731707317074,588.0,122605,448.6341463414634,442.0,91970,0.1183465186695146,0.1061032863849765,24.26103632725049,0.0876921563693088,0.0752256770310932,17.97689205570832,-0.0876921563693088,-0.0752256770310932,-17.97689205570832,0.6973857581047929,0.7004830917874396,142.96408041148254,0.6559402897504156,0.6566785170137125,134.4677593988352,1.0459156418221205,1.050566037735849,214.41270657353465,0.2538821491917108,0.2527233115468409,52.04584058430073,1690.5853658536585,1682.0,346570,433.5853658536585,426.0,88885,2840.9121951219518,2859.0,582387,Ames-TP6-4231,11,4,4231,24000.0,14.08,120.13,48.0,,,,,,,,,,,0.0,219.0,PHP02 X PHN46
Ames-TP6-4231_11_5,503.4266666666667,503.0,113271,610.0177777777777,614.0,137254,435.4666666666666,438.0,97980,0.1359109703169843,0.1321398124467178,30.579968321321463,0.1042219917822459,0.0983213429256594,23.449948151005348,-0.1042219917822459,-0.0983213429256594,-23.449948151005348,0.7323287176320992,0.7331189710610932,164.7739614672223,0.6826087528062124,0.6868052199130015,153.58696938139778,1.0983404232602634,1.099531145344943,247.12659523355927,0.2738062270752233,0.2715904650254006,61.60640109192524,1827.5777777777776,1871.0,411205,454.1777777777778,458.0,102190,3206.928888888889,3314.0,721559,Ames-TP6-4231,11,5,4231,30000.0,18.77,141.98,60.0,,,,,,,,,,,0.0,223.0,PHW52 X PHM49
