file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Ames-TP1-4231_10_2,59.15111014151526,49.0,14370289,87.80918902454084,75.0,21332540,57.2901103967202,45.0,13918174,0.2049267666157487,0.1986754966887417,49785.31853516324,-0.1942674673403981,-0.197452229299363,-47195.72705061099,0.1942674673403981,0.197452229299363,47195.72705061099,Ames-TP1-4231,10,2,4231,29500.0,17.5,152.81,59.0,,,,,,,,,,,0.0,200.0,PHP02 X W606S
Ames-TP1-4231_10_3,50.67801954440301,41.0,12311414,78.29349535264723,67.0,19020152,50.51204030724394,39.0,12271092,0.22021158185362,0.2192513368983957,53496.88042602734,-0.2174048256410133,-0.2244897959183673,-52815.02391227393,0.2174048256410133,0.2244897959183673,52815.02391227393,Ames-TP1-4231,10,3,4231,30500.0,18.19,153.29,61.0,,,,,,,,,,,4.92,191.0,HOEGEMEYER 8065RR
Ames-TP1-4231_10_4,42.56263302854273,31.0,10338421,65.07478416955195,49.0,15806600,44.29363644971778,31.0,10758880,0.2022318222855846,0.203883495145631,49121.90740134622,-0.212125133655433,-0.216,-51524.98283977103,0.212125133655433,0.216,51524.98283977103,Ames-TP1-4231,10,4,4231,26000.0,17.33,146.77,52.0,,,,,,,,,,,0.0,218.0,PHK56 X PHJ89
Ames-TP1-4231_10_5,31.260227333544663,27.0,7593203,52.22142995352054,44.0,12684742,36.20034746380242,30.0,8793173,0.2145550517760721,0.2151898734177215,52116.065741563245,-0.2504800096458408,-0.2602739726027397,-60842.34578300368,0.2504800096458408,0.2602739726027397,60842.34578300368,Ames-TP1-4231,10,5,4231,34000.0,12.95,109.4,68.0,,,,,,,,,,,0.0,242.0,B73 X PHZ51
Ames-TP1-4231_10_6,29.02381295526887,25.0,7048462,48.2179772782488,41.0,11709784,31.76620643933935,25.0,7714455,0.22286622902156,0.217391304347826,54123.28658411489,-0.2420102848426846,-0.2525252525252525,-58772.43968433081,0.2420102848426846,0.2525252525252525,58772.43968433081,Ames-TP1-4231,10,6,4231,34000.0,12.54,119.39,68.0,,,,,,,,,,,0.0,186.0,2FACC X 3IIH6
Ames-TP1-4231_10_7,38.23344629232359,31.0,9285413,61.06371545863684,51.0,14829995,39.25952705457031,31.0,9534608,0.2255017987634571,0.2307692307692307,54765.59234949196,-0.2299695642132944,-0.24,-55850.63833440491,0.2299695642132944,0.24,55850.63833440491,Ames-TP1-4231,10,7,4231,34500.0,6.31,62.87,69.0,,,,,,,,,,,0.0,212.0,PHZ51 X LH145
Ames-TP1-4231_11_2,50.799827082218286,44.0,12338770,74.4655852443493,64.0,18086946,48.73688089258512,40.0,11837701,0.1901840963877967,0.1724137931034483,46193.81517163194,-0.1844199870064871,-0.1818181818181818,-44793.77064400566,0.1844199870064871,0.1818181818181818,44793.77064400566,Ames-TP1-4231,11,2,4231,25500.0,13.03,123.24,51.0,,,,,,,,,,,0.0,212.0,PHK76 X W606S
Ames-TP1-4231_11_3,55.249467837629744,46.0,13418825,85.16831153217473,73.0,20685424,54.18519662215854,43.0,13160338,0.2218777601803638,0.225,53889.00475932621,-0.2174466573736419,-0.225130890052356,-52812.79180293804,0.2174466573736419,0.225130890052356,52812.79180293804,Ames-TP1-4231,11,3,4231,32000.0,13.94,113.07,64.0,,,,,,,,,,,1.56,230.0,LH123HT X PHB47
Ames-TP1-4231_11_4,45.77099013488365,37.0,11116675,66.80234358273357,56.0,16224686,47.45053031176403,37.0,11524595,0.1716574674119091,0.1715481171548117,41691.479055134856,-0.182899191175547,-0.1896231252403538,-44421.82395595215,0.182899191175547,0.1896231252403538,44421.82395595215,Ames-TP1-4231,11,4,4231,24000.0,14.08,120.13,48.0,,,,,,,,,,,0.0,219.0,PHP02 X PHN46
Ames-TP1-4231_11_5,29.76235499532608,24.0,7227401,48.2152637365805,39.0,11708450,33.620432635883326,26.0,8164285,0.2000478370731578,0.2,48579.01661133442,-0.2296334909811546,-0.2432432432432432,-55763.50804939064,0.2296334909811546,0.2432432432432432,55763.50804939064,Ames-TP1-4231,11,5,4231,30000.0,18.77,141.98,60.0,,,,,,,,,,,0.0,223.0,PHW52 X PHM49
