file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum
Ames-TP2-4231_10_2,79.09851259146363,79.0,22420157,114.33959202105515,116.0,32409100,70.23581916837774,70.0,19908062,0.21442670278151937,0.21839080459770116,60778.391196610544,-0.18457485042465355,-0.1902439024390244,-52317.00305346635,0.18457485042465355,0.1902439024390244,52317.00305346635
Ames-TP2-4231_10_3,76.80386068781071,77.0,21767827,110.48359507587652,114.0,31313371,68.78903821523458,69.0,19496258,0.2098925122572152,0.21184510250569477,59487.94571645219,-0.18110156092013666,-0.18699186991869918,-51327.98549754605,0.18110156092013666,0.18699186991869918,51327.98549754605
Ames-TP2-4231_10_4,79.95843653633098,79.0,22661980,114.79143820874879,117.0,32534419,72.43507208332451,71.0,20529693,0.20733257157704987,0.210745150593612,58762.61210151063,-0.18221269385232491,-0.18861209964412812,-51643.086117013634,0.18221269385232491,0.18861209964412812,51643.086117013634
Ames-TP2-4231_10_5,77.10020960070008,77.0,21849891,113.71048285790907,116.0,32225096,71.04333159254189,70.0,20133396,0.21621361295457656,0.21973094170403587,61274.073056875175,-0.1950475619326883,-0.2,-55275.698861476136,0.1950475619326883,0.2,55275.698861476136
Ames-TP2-4231_10_6,81.41144522827288,81.0,23069317,110.91885787688757,113.0,31430744,70.2908348537409,70.0,19918103,0.19044935776270172,0.19063545150501673,53967.0631611435,-0.15493346159911464,-0.15789473684210525,-43903.03021295632,0.15493346159911464,0.15789473684210525,43903.03021295632
Ames-TP2-4231_10_7,86.0259010121829,87.0,24375267,124.60946256899643,127.0,35307842,74.6515768595508,75.0,21152375,0.2169412811432304,0.22072936660268713,61469.87812937205,-0.1834434340967261,-0.18771331058020477,-51978.33016443915,0.1834434340967261,0.18771331058020477,51978.33016443915
Ames-TP2-4231_11_2,74.04453155597582,70.0,20985479,104.44022765042322,105.0,29600136,64.34556501550719,60.0,18236627,0.21747815237741963,0.2247557003257329,61637.00551235114,-0.18243579085731215,-0.1921182266009852,-51705.40453740684,0.18243579085731215,0.1921182266009852,51705.40453740684
Ames-TP2-4231_11_3,75.28926465554657,74.0,21336300,116.80723099886728,120.0,33102118,69.1116337498368,67.0,19585615,0.24302875780298153,0.24752475247524752,68872.16270254474,-0.21937560268794554,-0.22641509433962265,-62169.07142133958,0.21937560268794554,0.22641509433962265,62169.07142133958
Ames-TP2-4231_11_4,82.36987379476827,80.0,23339339,111.15519784858195,112.0,31495603,73.0053785451106,71.0,20685928,0.18416575175269978,0.18857142857142858,52182.99742762397,-0.1546414645456853,-0.1623931623931624,-43817.34969609084,0.1546414645456853,0.1623931623931624,43817.34969609084
Ames-TP2-4231_11_5,69.1618846600475,67.0,19594876,103.03538061337221,104.0,29191881,63.63663220609984,62.0,18029467,0.222367683117478,0.23010752688172043,63000.98961316075,-0.20158883403710173,-0.21379310344827587,-57113.94687055763,0.20158883403710173,0.21379310344827587,57113.94687055763
