file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp,genotype
Crawfordsville-TP3-4351_10_13,0.0969299622267391,0.0915071770334928,13.957914560650432,-0.0969299622267391,-0.0915071770334928,-13.957914560650432,72.06944444444444,73.0,10378,86.98611111111111,89.0,12526,72.55555555555556,72.0,10448,0.0944057989655847,0.0897583429228998,13.5944350510442,Crawfordsville-TP3-4351,10,13,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,Crawfordsville,TP3,4351,LH195 X 3IIH6
Crawfordsville-TP3-4351_10_14,0.0751920718469129,0.0717142857142857,10.82765834595546,-0.0751920718469129,-0.0717142857142857,-10.82765834595546,61.833333333333336,61.0,8904,71.72916666666667,72.0,10329,66.80555555555556,68.0,9620,0.0545680337489677,0.0528980679546968,7.857796859851354,Crawfordsville-TP3-4351,10,14,,,,,,,,,,,,,,,,,Crawfordsville,TP3,4351,
Crawfordsville-TP3-4351_10_15,0.0843983787842002,0.0875,12.15336654492483,-0.0843983787842002,-0.0875,-12.15336654492483,74.5625,75.0,10737,87.95138888888889,89.0,12665,77.09722222222223,78.0,11102,0.0750217880809711,0.0752066629374106,10.80313748365985,Crawfordsville-TP3-4351,10,15,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,Crawfordsville,TP3,4351,PHT69 X 3IIH6
Crawfordsville-TP3-4351_10_16,0.0939559125850045,0.1012658227848101,13.52965141224066,-0.0939559125850045,-0.1012658227848101,-13.52965141224066,70.36805555555556,68.5,10133,84.36805555555556,83.0,12149,74.26388888888889,72.0,10694,0.0789410461851199,0.0806734578381437,11.367510650657268,Crawfordsville-TP3-4351,10,16,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,Crawfordsville,TP3,4351,F42 X MO17
Crawfordsville-TP3-4351_10_17,0.0934840211911233,0.0946778711484593,13.46169905152176,-0.0934840211911233,-0.0946778711484593,-13.46169905152176,72.3125,70.0,10413,86.26388888888889,84.0,12422,73.23611111111111,72.0,10546,0.0884457765529113,0.0855400696864111,12.736191823619228,Crawfordsville-TP3-4351,10,17,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP3,4351,PHG39 X PHM49
Crawfordsville-TP3-4351_10_18,0.060366250275896,0.0595238095238095,8.692740039729035,-0.060366250275896,-0.0595238095238095,-8.692740039729035,76.25,77.0,10980,85.45833333333333,88.0,12306,75.71527777777777,78.0,10903,0.0606387158301335,0.0599369085173501,8.731975079539223,Crawfordsville-TP3-4351,10,18,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,Crawfordsville,TP3,4351,LH195 X PHM49
Crawfordsville-TP3-4351_10_19,0.0961525531587889,0.1,13.845967654865603,-0.0961525531587889,-0.1,-13.845967654865603,63.09722222222222,62.0,9086,76.21527777777777,77.0,10975,66.52777777777777,66.0,9580,0.0819534975656333,0.0814332247557003,11.801303649451205,Crawfordsville-TP3-4351,10,19,,,,,,,,,,,,,,,,,Crawfordsville,TP3,4351,
Crawfordsville-TP3-4351_10_20,0.0942770965416095,0.0914315569487983,13.575901901991768,-0.0942770965416095,-0.0914315569487983,-13.575901901991768,72.71527777777777,75.0,10471,87.09722222222223,89.5,12542,75.74305555555556,78.0,10907,0.0826505242048752,0.0793388429752066,11.90167548550204,Crawfordsville-TP3-4351,10,20,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,Crawfordsville,TP3,4351,B73 X PHZ51
Crawfordsville-TP3-4351_11_13,0.1056669129961914,0.1017964071856287,15.21603547145156,-0.1056669129961914,-0.1017964071856287,-15.21603547145156,71.09722222222223,71.0,10238,87.65277777777777,89.0,12622,72.91666666666667,74.0,10500,0.0988666690020196,0.0986537147500415,14.236800336290832,Crawfordsville-TP3-4351,11,13,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,Crawfordsville,TP3,4351,PHK56 X PHJ89
Crawfordsville-TP3-4351_11_14,0.1036627072578301,0.1044728206591525,14.927429845127548,-0.1036627072578301,-0.1044728206591525,-14.927429845127548,73.75,75.0,10620,90.43055555555556,90.0,13022,76.44444444444444,77.0,11008,0.0938254890229416,0.0941712855354907,13.510870419303592,Crawfordsville-TP3-4351,11,14,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,Crawfordsville,TP3,4351,PHP02 X PHK56
Crawfordsville-TP3-4351_11_15,0.1035037173721136,0.1034482758620689,14.904535301584366,-0.1035037173721136,-0.1034482758620689,-14.904535301584366,71.98611111111111,73.0,10366,88.03472222222223,89.5,12677,74.09027777777777,75.0,10669,0.0956045651425136,0.0943437323643852,13.76705738052196,Crawfordsville-TP3-4351,11,15,30000.0,15.76,145.08,60.0,,,,,,,,,,,6.67,209.0,Crawfordsville,TP3,4351,LH82 X PHB47
Crawfordsville-TP3-4351_11_16,0.1012533190396313,0.1015311149852194,14.580477941706908,-0.1012533190396313,-0.1015311149852194,-14.580477941706908,69.61805555555556,69.0,10025,84.91666666666667,84.0,12228,72.74305555555556,72.0,10475,0.089332307495188,0.0887164049182111,12.863852279307077,Crawfordsville-TP3-4351,11,16,27000.0,21.41,195.96,54.0,,,,,,,,,,,7.41,229.0,Crawfordsville,TP3,4351,PHN46 X PHK56
Crawfordsville-TP3-4351_11_17,0.0918116132324387,0.0909090909090909,13.220872305471186,-0.0918116132324387,-0.0909090909090909,-13.220872305471186,68.85416666666667,69.0,9915,82.38194444444444,83.0,11863,70.5,70.0,10152,0.0850312881269316,0.0847371812574795,12.24450549027815,Crawfordsville-TP3-4351,11,17,26500.0,17.98,167.22,53.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP3,4351,2369 X 3IIH6
Crawfordsville-TP3-4351_11_18,0.0986039872696203,0.0985156640262613,14.198974166825334,-0.0986039872696203,-0.0985156640262613,-14.198974166825334,74.52083333333333,75.0,10731,90.17361111111111,92.0,12985,76.02777777777777,77.0,10948,0.0925878322650435,0.0914315569487983,13.332647846166264,Crawfordsville-TP3-4351,11,18,27500.0,16.71,148.2,55.0,,,,,,,,,,,0.0,245.0,Crawfordsville,TP3,4351,B37 X OH43
Crawfordsville-TP3-4351_11_19,0.1015601237445802,0.0985156640262613,14.624657819219555,-0.1015601237445802,-0.0985156640262613,-14.624657819219555,70.04166666666667,70.0,10086,85.40972222222223,86.0,12299,74.56944444444444,75.0,10738,0.0844733760622203,0.0832424841552874,12.16416615295973,Crawfordsville-TP3-4351,11,19,28000.0,18.02,163.8,56.0,,,,,,,,,,,0.0,237.0,Crawfordsville,TP3,4351,PHP02 X W606S
Crawfordsville-TP3-4351_11_20,0.0984072433579899,0.0987654320987654,14.170643043550546,-0.0984072433579899,-0.0987654320987654,-14.170643043550546,72.61805555555556,73.0,10457,87.65277777777777,89.0,12622,74.22222222222223,75.0,10688,0.0914219806830314,0.087719298245614,13.16476521835652,Crawfordsville-TP3-4351,11,20,29000.0,16.63,149.41,58.0,,,,,,,,,,,0.0,251.0,Crawfordsville,TP3,4351,PHP02 X LH198
Crawfordsville-TP3-4351_12_13,0.1035819514785781,0.1019149626744563,14.91580101291525,-0.1035819514785781,-0.1019149626744563,-14.91580101291525,64.95833333333333,65.0,9354,79.43055555555556,80.5,11438,70.58333333333333,71.0,10164,0.0808118226527828,0.0803389114464759,11.636902462000725,Crawfordsville-TP3-4351,12,13,30000.0,23.33,213.04,60.0,,,,,,,,,,,0.0,231.0,Crawfordsville,TP3,4351,SYNGENTA NK0760-3111
Crawfordsville-TP3-4351_12_14,0.1007502384837973,0.1012658227848101,14.50803434166682,-0.1007502384837973,-0.1012658227848101,-14.50803434166682,69.51388888888889,71.0,10010,84.70138888888889,86.0,12197,72.97916666666667,74.0,10509,0.0875844107443945,0.0869964070025227,12.612155147192816,Crawfordsville-TP3-4351,12,14,32000.0,20.05,177.61,64.0,,,,,,,,,,,3.12,236.0,Crawfordsville,TP3,4351,B73 X PHN82
Crawfordsville-TP3-4351_12_15,0.1085163833093515,0.1073913246486436,15.62635919654662,-0.1085163833093515,-0.1073913246486436,-15.62635919654662,72.67361111111111,73.0,10465,89.97222222222223,90.0,12956,77.08333333333333,77.0,11100,0.0927010844078345,0.0943437323643852,13.34895615472817,Crawfordsville-TP3-4351,12,15,31500.0,15.42,140.97,63.0,,,,,,,,,,,3.17,210.0,Crawfordsville,TP3,4351,PHP02 X LH82
Crawfordsville-TP3-4351_12_16,0.1088712453044823,0.1104688503532434,15.67745932384546,-0.1088712453044823,-0.1104688503532434,-15.67745932384546,70.90972222222223,73.0,10211,87.625,90.0,12618,73.32638888888889,75.0,10559,0.0991886902581341,0.1004391244638103,14.28317139717132,Crawfordsville-TP3-4351,12,16,25000.0,18.98,173.52,50.0,,,,,,,,,,,0.0,204.0,Crawfordsville,TP3,4351,LH82 X PHJ89
Crawfordsville-TP3-4351_12_17,0.085970762167305,0.0849673202614379,12.379789752091934,-0.085970762167305,-0.0849673202614379,-12.379789752091934,69.41666666666667,70.0,9996,81.97222222222223,84.0,11804,70.38888888888889,73.0,10136,0.0816630021239183,0.0799383729447124,11.75947230584424,Crawfordsville-TP3-4351,12,17,29000.0,19.7,178.45,58.0,,,,,,,,,,,3.45,250.0,Crawfordsville,TP3,4351,PHW52 X PHZ51
Crawfordsville-TP3-4351_12_18,0.0871071629656669,0.0837227414330218,12.543431467056047,-0.0871071629656669,-0.0837227414330218,-12.543431467056047,61.47916666666666,61.0,8853,72.95833333333333,74.0,10506,65.70138888888889,66.0,9461,0.0697170428599541,0.0676987094615239,10.039254171833395,Crawfordsville-TP3-4351,12,18,,,,,,,,,,,,,,,,,Crawfordsville,TP3,4351,
Crawfordsville-TP3-4351_12_19,0.1025775602238539,0.1017964071856287,14.77116867223497,-0.1025775602238539,-0.1017964071856287,-14.77116867223497,72.80555555555556,73.0,10484,89.11111111111111,90.0,12832,76.63194444444444,77.0,11035,0.0888744503382455,0.0882192539755365,12.797920848707353,Crawfordsville-TP3-4351,12,19,30000.0,18.08,166.24,60.0,,,,,,,,,,,0.0,228.0,Crawfordsville,TP3,4351,PHB47 X LH185
Crawfordsville-TP3-4351_12_20,0.0979404402782312,0.0925133689839572,14.103423400065298,-0.0979404402782312,-0.0925133689839572,-14.103423400065298,81.11111111111111,83.0,11680,97.85416666666669,101.0,14091,81.22222222222223,83.0,11696,0.0962076508500625,0.096291613990729,13.853901722409002,Crawfordsville-TP3-4351,12,20,31000.0,12.45,118.67,62.0,,,,,,,,,,,0.0,251.0,Crawfordsville,TP3,4351,WF9 X H95
Crawfordsville-TP3-4351_13_13,0.103036451173102,0.1037241379310344,14.8372489689267,-0.103036451173102,-0.1037241379310344,-14.8372489689267,67.70833333333333,68.5,9750,82.65277777777777,83.0,11902,70.84027777777777,71.5,10201,0.0901865885514586,0.0885245901639344,12.98686875141005,Crawfordsville-TP3-4351,13,13,30000.0,14.39,135.49,60.0,,,,,,,,,,,0.0,200.0,Crawfordsville,TP3,4351,LH185 X LH145
Crawfordsville-TP3-4351_13_14,0.0948696438285812,0.0922711189739053,13.661228711315694,-0.0948696438285812,-0.0922711189739053,-13.661228711315694,70.60416666666667,70.5,10167,85.10416666666667,86.0,12255,72.72916666666667,73.0,10473,0.0866800864249264,0.087248322147651,12.481932445189416,Crawfordsville-TP3-4351,13,14,32500.0,19.09,175.93,65.0,,,,,,,,,,,0.0,235.0,Crawfordsville,TP3,4351,PHK56 X 3IIH6
Crawfordsville-TP3-4351_13_15,0.1016043482297365,0.1012658227848101,14.63102614508206,-0.1016043482297365,-0.1012658227848101,-14.63102614508206,72.40972222222223,73.0,10427,88.27083333333333,89.0,12711,74.95138888888889,75.0,10793,0.0918766379133222,0.0909090909090909,13.230235859518409,Crawfordsville-TP3-4351,13,15,28500.0,18.29,166.25,57.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP3,4351,PHK56 X LH185
