file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Crawfordsville-TP4-4351_10_13,-0.05789802360201809,-0.05641025641025641,-8.337315398690604,0.05789802360201809,0.05641025641025641,8.337315398690604,106.07638888888889,106.0,15275,94.59722222222224,95.5,13622,85.70138888888889,86.0,12341,-0.0073450129548597,-0.0072316029762838,-1.057681865499803,Crawfordsville-TP4-4351,10,13,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_10_14,-0.022507336878294773,-0.023923444976076555,-3.2410565104744475,0.022507336878294773,0.023923444976076555,3.2410565104744475,98.79166666666669,101.0,14226,94.5,98.0,13608,84.15277777777777,86.0,12118,0.0159119195777544,0.0147797597378958,2.291316419196648,Crawfordsville-TP4-4351,10,14,,,,,,,,,,,,,,,,,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_10_15,-0.05908833123234601,-0.058823529411764705,-8.508719697457826,0.05908833123234601,0.058823529411764705,8.508719697457826,108.76388888888889,108.0,15662,96.70833333333331,98.0,13926,88.26388888888889,89.0,12710,-0.0095474963864209,-0.0101010101010101,-1.3748394796446122,Crawfordsville-TP4-4351,10,15,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_10_16,-0.06360177381073275,-0.06047544409613376,-9.158655428745515,0.06360177381073275,0.06047544409613376,9.158655428745515,110.32638888888889,111.0,15887,97.27777777777776,98.0,14008,90.9375,92.0,13095,-0.0175175269325579,-0.0146341463414634,-2.5225238782883457,Crawfordsville-TP4-4351,10,16,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_10_17,0.012129638646088896,0.012990908238822757,1.7466679650368009,-0.012129638646088896,-0.012990908238822757,-1.7466679650368009,98.88888888888889,99.0,14240,101.25,101.0,14580,87.06944444444444,86.0,12538,0.0428411994483027,0.0421611166292017,6.169132720555592,Crawfordsville-TP4-4351,10,17,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_10_18,-0.04946115045211085,-0.05169912180221459,-7.122405665103963,0.04946115045211085,0.05169912180221459,7.122405665103963,93.09027777777776,93.0,13405,84.51388888888889,83.0,12170,77.52083333333333,78.0,11163,-0.0054855262478262,-0.0042342102932057,-0.7899157796869728,Crawfordsville-TP4-4351,10,18,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_10_19,-0.013193126431924563,-0.013513513513513514,-1.8998102061971371,0.013193126431924563,0.013513513513513514,1.8998102061971371,93.48611111111111,96.0,13462,91.11111111111111,93.0,13120,82.25,84.0,11844,0.0177571218705676,0.0180883383968216,2.557025549361746,Crawfordsville-TP4-4351,10,19,,,,,,,,,,,,,,,,,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_10_20,-0.05246388516702383,-0.05240274599542334,-7.554799464051431,0.05246388516702383,0.05240274599542334,7.554799464051431,112.99305555555556,113.0,16271,101.84027777777776,102.0,14665,93.54166666666669,95.0,13470,-0.0073275928500946,-0.007844222960502,-1.0551733704136352,Crawfordsville-TP4-4351,10,20,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_11_13,-0.05745586299851541,-0.05965688734772094,-8.27364427178622,0.05745586299851541,0.05965688734772094,8.27364427178622,107.79861111111111,107.5,15523,96.09722222222224,95.5,13838,88.29861111111111,88.0,12715,-0.0100561148231889,-0.0113818822188843,-1.4480805345392025,Crawfordsville-TP4-4351,11,13,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,Crawfordsville,TP4,4351
Crawfordsville-TP4-4351_11_14,-0.06993354080685461,-0.06722689075630252,-10.070429876187065,0.06993354080685461,0.06722689075630252,10.070429876187065,113.99305555555556,116.0,16415,99.3125,101.0,14301,90.46527777777776,90.0,13027,-0.0152279408343677,-0.0126582278481012,-2.192823480148956,Crawfordsville-TP4-4351,11,14,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,Crawfordsville,TP4,4351
