,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
0,Crawfordsville-TP5-4351_10_13,99.8341232227488,100.0,21065,86.11374407582939,87.0,18170,78.09004739336493,79.0,16477,-0.0176486995971482,-0.0155763239875389,-3.72387561499827,-0.0757811820369888,-0.0717703349282296,-15.98982940980464,Crawfordsville-TP5-4351,10,13,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,Crawfordsville,TP5,4351
1,Crawfordsville-TP5-4351_10_14,108.62,111.0,21724,92.735,95.0,18547,83.125,85.0,16625,-0.0180211121865771,-0.0160427807486631,-3.604222437315421,-0.0810696462438048,-0.0777238403451995,-16.213929248760966,Crawfordsville-TP5-4351,10,14,,,,,,,,,,,,,,,,,Crawfordsville,TP5,4351
2,Crawfordsville-TP5-4351_10_15,100.7,102.0,20140,87.76,90.0,17552,79.77,82.0,15954,-0.0147910662463898,-0.0129870129870129,-2.9582132492779696,-0.0698929235739096,-0.067762846917415,-13.97858471478192,Crawfordsville-TP5-4351,10,15,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,Crawfordsville,TP5,4351
3,Crawfordsville-TP5-4351_10_16,93.7429906542056,96.5,20061,81.14953271028037,83.0,17366,75.92523364485982,78.5,16248,-0.0257816034441765,-0.0193506111423145,-5.5172631370537895,-0.0756565597194684,-0.0696663296258847,-16.190503779966242,Crawfordsville-TP5-4351,10,16,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,Crawfordsville,TP5,4351
4,Crawfordsville-TP5-4351_10_17,104.95673076923076,105.5,21831,91.5048076923077,92.0,19033,82.22596153846153,82.0,17103,-0.0127718088712469,-0.0098524558338186,-2.656536245219365,-0.0704953135253213,-0.066079295154185,-14.663025213266843,Crawfordsville-TP5-4351,10,17,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP5,4351
5,Crawfordsville-TP5-4351_10_18,92.71428571428572,95.0,19470,79.94761904761904,83.0,16789,74.68095238095238,77.0,15683,-0.0259128330703428,-0.02007252007252,-5.441694944771998,-0.0772217230727506,-0.0702431147393917,-16.21656184527763,Crawfordsville-TP5-4351,10,18,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,Crawfordsville,TP5,4351
6,Crawfordsville-TP5-4351_10_19,103.62857142857143,107.0,21762,88.28095238095239,91.0,18539,80.02380952380952,82.0,16805,-0.022948763329635,-0.0184167684167684,-4.819240299223356,-0.0840460635321753,-0.0790085679314565,-17.64967334175683,Crawfordsville-TP5-4351,10,19,,,,,,,,,,,,,,,,,Crawfordsville,TP5,4351
7,Crawfordsville-TP5-4351_10_20,103.05479452054794,105.0,22569,88.92237442922375,91.0,19474,79.21004566210046,80.0,17347,-0.0128755795640025,-0.0124688279301745,-2.819751924516557,-0.0748637969425013,-0.074074074074074,-16.39517153040779,Crawfordsville-TP5-4351,10,20,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,Crawfordsville,TP5,4351
8,Crawfordsville-TP5-4351_11_13,102.25118483412322,105.0,21575,88.8909952606635,92.0,18756,78.74407582938389,82.0,16615,-0.0098546192677376,-0.0072992700729927,-2.0793246654926474,-0.0713913873241407,-0.0679611650485436,-15.063582725393706,Crawfordsville-TP5-4351,11,13,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,Crawfordsville,TP5,4351
9,Crawfordsville-TP5-4351_11_14,106.40191387559808,109.0,22238,91.85167464114832,94.0,19197,82.59808612440192,84.0,17263,-0.015213581308906,-0.0142180094786729,-3.179638493561366,-0.07480670651017,-0.0729166666666666,-15.634601660625547,Crawfordsville-TP5-4351,11,14,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,Crawfordsville,TP5,4351
10,Crawfordsville-TP5-4351_11_15,103.45145631067962,105.0,21311,89.66990291262135,91.0,18472,81.02427184466019,80.0,16691,-0.0166089049850657,-0.0129870129870129,-3.4214344269235464,-0.0747570566420631,-0.0686274509803921,-15.399953668265002,Crawfordsville-TP5-4351,11,15,30000.0,15.76,145.08,60.0,,,,,,,,,,,6.67,209.0,Crawfordsville,TP5,4351
11,Crawfordsville-TP5-4351_11_16,101.9047619047619,103.0,21400,89.01428571428572,90.0,18693,82.12380952380953,83.0,17246,-0.0177430062968788,-0.0153846153846153,-3.726031322344564,-0.068829129353223,-0.0669154228855721,-14.45411716417683,Crawfordsville-TP5-4351,11,16,27000.0,21.41,195.96,54.0,,,,,,,,,,,7.41,229.0,Crawfordsville,TP5,4351
12,Crawfordsville-TP5-4351_11_17,93.77973568281938,95.0,21288,80.97797356828194,82.0,18382,75.29955947136564,75.0,17093,-0.0240796599428842,-0.0196078431372549,-5.466082807034728,-0.0762109403918782,-0.0714285714285714,-17.299883468956363,Crawfordsville-TP5-4351,11,17,26500.0,17.98,167.22,53.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP5,4351
13,Crawfordsville-TP5-4351_11_18,102.46534653465346,102.0,20698,89.25247524752476,90.0,18029,81.01485148514851,81.0,16365,-0.0149475912690943,-0.0141911577138407,-3.0194134363570555,-0.0704608697840492,-0.0696663296258847,-14.233095696377948,Crawfordsville-TP5-4351,11,18,27500.0,16.71,148.2,55.0,,,,,,,,,,,0.0,245.0,Crawfordsville,TP5,4351
