file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Crawfordsville-TP1-4352_8_5,423.285,433,84657,601.955,604,120391,459.87,463,91974,0.160429181356392,0.151238556025474,32.0858362712783,0.188256184672819,0.167863867323515,37.6512369345638,-0.188256184672819,-0.167863867323515,-37.6512369345638,0.845521146238068,0.840542299014166,169.104229247614,0.785102875106824,0.783465284201108,157.020575021365,1.26816271324241,1.26069843039003,253.632542648482,0.392088427526503,0.392190415332018,78.4176855053007,2171.115,2190.5,434223,438.21,439,87642,4971.445,5016.5,994289,Crawfordsville-TP1-4352,8,5,4352,7500,13.8,131.24,,,,,,,,,,,,0,236,PHP02 X LH145
Crawfordsville-TP1-4352_10_5,353.995,348,70799,540.25,547,108050,409.275,411,81855,0.179195946987639,0.175543798137082,35.8391893975278,0.224160946673559,0.211138323900539,44.8321893347117,-0.224160946673559,-0.211138323900539,-44.8321893347117,0.861486807811169,0.862502367965911,172.297361562234,0.793917020719074,0.794283530453569,158.783404143815,1.29210009543433,1.29361797932006,258.420019086866,0.400644670223721,0.400749725076207,80.1289340447441,1998.685,2027,399737,412.355,417,82471,4670.86,4730,934172,Crawfordsville-TP1-4352,10,5,4352,9000,11.94,117.2,,,,,,,,,,,,27.78,250,PHZ51 X LH145
Crawfordsville-TP1-4352_13_6,429.186274509804,438.5,87554,608.53431372549,618,124141,454.656862745098,458.5,92750,0.165756539532174,0.159860443059413,33.8143340645634,0.187987426378671,0.170380966993691,38.3494349812489,-0.187987426378671,-0.170380966993691,-38.3494349812489,0.844479190103503,0.840448674682605,172.273754781115,0.784324545370581,0.782797022670993,160.002207255598,1.266600647328,1.26056285870612,258.386532054911,0.388997150143712,0.387124021487427,79.3554186293173,2200.14705882353,2224,448830,445.06862745098,446.5,90794,5000.85294117647,5056.5,1020174,Crawfordsville-TP1-4352,13,6,4352,9000,16.75,154.9,,,,,,,,,,,,0,231,PHP02 X LH145
Crawfordsville-TP1-4352_18_8,285.94,288.5,57188,475.86,483.5,95172,360.545,367,72109,0.201144055844594,0.189820706481224,40.2288111689187,0.273987021221967,0.247230358039629,54.7974042443935,-0.273987021221967,-0.247230358039629,-54.7974042443935,0.877695309819897,0.8752207324867,175.539061963979,0.801931738306834,0.800445711139796,160.386347661367,1.31639765128375,1.3126952717866,263.27953025675,0.409436554162864,0.41059705392886,81.8873108325728,1799.55,1818,359910,370.575,374,74115,4299.19,4320.5,859838,Crawfordsville-TP1-4352,18,8,4352,16500,16.8,149.53,33,,,,,,,,,,,0,235,PHG39 X PHM49
Crawfordsville-TP1-4352_2_2,333.985,336.5,66797,500.77,503,100154,393.75,396.5,78750,0.164770064905839,0.157719570774792,32.9540129811679,0.21567778659886,0.199044725646183,43.1355573197719,-0.21567778659886,-0.199044725646183,-43.1355573197719,0.861390036004879,0.861423578419703,172.278007200976,0.797226655575328,0.799344338463881,159.445331115066,1.29194743648019,1.29198730673675,258.389487296038,0.410758127830625,0.412780103126238,82.151625566125,1846.43,1874,369286,391.08,389.5,78216,4433.24,4571.5,886648,Crawfordsville-TP1-4352,2,2,4352,17000,20.19,182.67,34,,,,,,,,,,,0,219,PHW52 X LH185
Crawfordsville-TP1-4352_6_5,372.935,375,74587,558.45,559,111690,433.205,433.5,86641,0.166209886309133,0.162247428593923,33.2419772618267,0.209675830784648,0.201689325181754,41.9351661569295,-0.209675830784648,-0.201689325181754,-41.9351661569295,0.859141965160976,0.859889309958274,171.828393032195,0.794920336917284,0.795738965871116,158.984067383457,1.28858904828725,1.28970909053612,257.717809657449,0.409315856928194,0.409918919094651,81.8631713856388,2040.47,2038.5,408094,419.305,420.5,83861,4869.505,4891,973901,Crawfordsville-TP1-4352,6,5,4352,18500,15.98,148.28,37,,,,,,,,,,,13.51,253,4N506 X 3IIH6
Crawfordsville-TP1-4352_13_5,311.492890995261,320,65725,484.047393364929,487,102134,373.322274881517,377,78771,0.175720352490192,0.169500822819528,37.0769943754305,0.22740681821403,0.214285714285714,47.9828386431604,-0.22740681821403,-0.214285714285714,-47.9828386431604,0.872029249360048,0.869614256711031,183.99817161497,0.806701614334948,0.805401264125646,170.214040624674,1.30790732068774,1.30427427540318,275.968444665112,0.412687853275367,0.413061092205477,87.0771370411025,1873.95734597156,1873,395405,386.914691943128,388,81639,4511.01895734597,4526,951825,Crawfordsville-TP1-4352,13,5,4352,18500,18.38,167.07,37,,,,,,,,,,,0,245,PHK56 X W606S
Crawfordsville-TP1-4352_19_5,380.95,381,76190,592.76,588,118552,435.05,435.5,87010,0.195300531757688,0.187167721518987,39.0601063515376,0.241185874818979,0.222660719753743,48.2371749637958,-0.241185874818979,-0.222660719753743,-48.2371749637958,0.860908144472665,0.858631042866505,172.181628894533,0.788713609635163,0.78792917582385,157.742721927033,1.29123975711363,1.2878347339786,258.247951422726,0.388224614139334,0.387517683376588,77.6449228278667,2193.035,2217.5,438607,431.645,430,86329,4979.73,5032,995946,Crawfordsville-TP1-4352,19,5,4352,19000,13.35,124.58,38,,,,,,,,,,,7.89,251,WF9 X H95
Crawfordsville-TP1-4352_14_5,343.819047619048,354.5,72202,538.109523809524,552,113003,415.447619047619,427,87244,0.184584376821662,0.172072435740974,38.762719132549,0.248327188417867,0.216173550760017,52.148709567752,-0.248327188417867,-0.216173550760017,-52.148709567752,0.867230869103479,0.863601796660923,182.118482511731,0.796543538060814,0.794351035864142,167.274142992771,1.30071528626681,1.2952769792468,273.15021011603,0.404724382060723,0.405330104923325,84.9921202327517,1993.07142857143,2033.5,418545,411.92380952381,422.5,86504,4706.58571428571,4771.5,988383,Crawfordsville-TP1-4352,14,5,4352,19500,18.48,167.2,39,,,,,,,,,,,5.13,230,PHP02 X LH198
Crawfordsville-TP1-4352_8_6,388.49,385,77698,552.76,548,110552,430.42,430,86084,0.153699668994817,0.148878560239789,30.7399337989635,0.18517245315193,0.173752885079592,37.034490630386,-0.18517245315193,-0.173752885079592,-37.034490630386,0.850821225382512,0.851189036602062,170.164245076502,0.792732442973172,0.793640428836043,158.546488594634,1.27610698402407,1.27665900457229,255.221396804814,0.397922248026936,0.398837689442164,79.5844496053871,2050.25,2048,410050,413.81,412,82762,4760.69,4771.5,952138,Crawfordsville-TP1-4352,8,6,4352,19500,19.25,178.82,39,,,,,,,,,,,0,217,PHT69 X 3IIH6
