,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
0,Crawfordsville-TP2-4351_10_13,81.01789954476021,77.0,21427290,107.89203935328726,107.0,28534855,67.43685627429332,65.0,17835430,0.190987756556351,0.1875,50511.6779029975,0.1435880190964688,0.1452991452991453,37975.584938557695,Crawfordsville-TP2-4351,10,13,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,Crawfordsville,TP2,4351
1,Crawfordsville-TP2-4351_10_14,62.27594931758633,58.0,15924583,90.66005631379296,88.0,23182683,54.65129247976223,50.0,13974882,0.2168554076227651,0.2158590308370044,55452.09628321727,0.1813479941612739,0.1870967741935484,46372.49558697936,Crawfordsville-TP2-4351,10,14,,,,,,,,,,,,,,,,,Crawfordsville,TP2,4351
2,Crawfordsville-TP2-4351_10_15,85.55236154327173,83.0,22710901,113.71302107269592,114.0,30186486,75.39967302288086,74.0,20015748,0.1765375401020429,0.173076923076923,46864.00847056853,0.1424605461042501,0.1448275862068965,37817.86148992644,Crawfordsville-TP2-4351,10,15,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,Crawfordsville,TP2,4351
3,Crawfordsville-TP2-4351_10_16,76.06608784904273,72.0,19861388,103.6753285051722,102.0,27070354,66.70259701961265,63.0,17416515,0.185993580626582,0.1857142857142857,48564.22585666495,0.1496918537512291,0.1547619047619047,39085.59085742219,Crawfordsville-TP2-4351,10,16,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,Crawfordsville,TP2,4351
4,Crawfordsville-TP2-4351_10_17,81.6225427118539,75.0,21059269,107.7822819447459,104.0,27808691,68.13686397321014,63.0,17579856,0.185177481575264,0.1823899371069182,47777.27166627072,0.1375483114057825,0.140893470790378,35488.56472918315,Crawfordsville-TP2-4351,10,17,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP2,4351
5,Crawfordsville-TP2-4351_10_18,95.09502762853776,95.0,24850613,118.48284887725582,122.0,30962412,79.93805773675591,81.0,20889733,0.1545215541775017,0.1509433962264151,40380.19062388146,0.1094680237316505,0.1096774193548387,28606.62183364985,Crawfordsville-TP2-4351,10,18,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,Crawfordsville,TP2,4351
6,Crawfordsville-TP2-4351_10_19,59.593890861971566,56.0,15084942,88.13878299207124,85.0,22310482,54.02420900015407,50.0,13675094,0.2160855415093096,0.216,54697.51703671003,0.1899798807090555,0.1940298507462686,48089.41722400252,Crawfordsville-TP2-4351,10,19,,,,,,,,,,,,,,,,,Crawfordsville,TP2,4351
7,Crawfordsville-TP2-4351_10_20,73.08316293832209,69.0,19157728,102.73052156132694,102.0,26929368,67.03622928556169,65.0,17572609,0.1907939253980198,0.1903114186851211,50013.95642813533,0.1679410417732971,0.1724137931034483,44023.39292628502,Crawfordsville-TP2-4351,10,20,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,Crawfordsville,TP2,4351
8,Crawfordsville-TP2-4351_11_13,78.3872685078102,75.0,20333971,110.21913308969792,109.0,28591284,69.84667160105472,67.0,18118506,0.2003874074313686,0.2,51981.29503732676,0.1669067513756157,0.175,43296.27893384024,Crawfordsville-TP2-4351,11,13,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,Crawfordsville,TP2,4351
9,Crawfordsville-TP2-4351_11_14,82.97447997352866,82.0,22066897,115.95271256035016,118.0,30837392,76.49548783972807,76.0,20343822,0.1874622564349362,0.1877729257641921,49855.21217435842,0.1626064975882563,0.1688311688311688,43244.8728206016,Crawfordsville-TP2-4351,11,14,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,Crawfordsville,TP2,4351
10,Crawfordsville-TP2-4351_11_15,82.59684896941691,81.0,21735526,115.6155605885572,117.0,30424466,71.51423511886667,70.0,18819114,0.2023713154066294,0.2030075187969924,53254.41639188534,0.1637035228679752,0.1705426356589147,43078.90944975342,Crawfordsville-TP2-4351,11,15,30000.0,15.76,145.08,60.0,,,,,,,,,,,6.67,209.0,Crawfordsville,TP2,4351
11,Crawfordsville-TP2-4351_11_16,78.65519134494302,75.0,20487475,111.58929558647378,111.0,29065887,68.97980205166006,66.0,17967307,0.2070342767114109,0.206831119544592,53926.63212357463,0.1706539332649267,0.1782945736434108,44450.57130538201,Crawfordsville-TP2-4351,11,16,27000.0,21.41,195.96,54.0,,,,,,,,,,,7.41,229.0,Crawfordsville,TP2,4351
12,Crawfordsville-TP2-4351_11_17,76.88943156430389,72.0,20339792,103.0343359807661,102.0,27255982,65.4977413025974,63.0,17326314,0.1863647622600401,0.1839323467230444,49299.62965493519,0.1450570945323849,0.1482889733840304,38372.38838793538,Crawfordsville-TP2-4351,11,17,26500.0,17.98,167.22,53.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP2,4351
13,Crawfordsville-TP2-4351_11_18,91.57972773746386,89.0,23915588,122.31799957877809,124.0,31942734,79.60028336747784,79.0,20787216,0.1820166279144146,0.1794871794871795,47532.73229670981,0.1455652683808458,0.1464435146443514,38013.64201131598,Crawfordsville-TP2-4351,11,18,27500.0,16.71,148.2,55.0,,,,,,,,,,,0.0,245.0,Crawfordsville,TP2,4351
14,Crawfordsville-TP2-4351_11_19,75.30266429840142,74.0,20349792,105.8016096802842,107.0,28591827,69.03125740082889,68.0,18655007,0.1889589033335411,0.1897435897435897,51064.25403685616,0.1648707991560118,0.1703056768558952,44554.68476392065,Crawfordsville-TP2-4351,11,19,28000.0,18.02,163.8,56.0,,,,,,,,,,,0.0,237.0,Crawfordsville,TP2,4351
15,Crawfordsville-TP2-4351_11_20,80.58916051543285,78.0,22195786,108.420384940763,109.0,29861034,74.18319723766334,73.0,20431462,0.1686906299314405,0.1689008042895442,46460.60460508742,0.1460781496948537,0.1517509727626459,40232.69791080692,Crawfordsville-TP2-4351,11,20,29000.0,16.63,149.41,58.0,,,,,,,,,,,0.0,251.0,Crawfordsville,TP2,4351
16,Crawfordsville-TP2-4351_12_13,68.16581083180431,63.0,16234983,100.54576792109803,96.0,23946885,60.2545629364023,56.0,14350769,0.2264219246407452,0.22397476340694,53926.68336976165,0.1915369820815346,0.1965065502183406,45618.17148537703,Crawfordsville-TP2-4351,12,13,30000.0,23.33,213.04,60.0,,,,,,,,,,,0.0,231.0,Crawfordsville,TP2,4351
17,Crawfordsville-TP2-4351_12_14,75.34921639959687,73.0,20111384,107.20931853178423,107.0,28615132,68.33695004664511,67.0,18239747,0.2002904027163929,0.2,53459.31109862971,0.1712814806618427,0.1783783783783784,45716.56872197179,Crawfordsville-TP2-4351,12,14,32000.0,20.05,177.61,64.0,,,,,,,,,,,3.12,236.0,Crawfordsville,TP2,4351
18,Crawfordsville-TP2-4351_12_15,86.08458657992284,85.0,22759043,118.6540736818216,120.0,31369764,74.41852258113322,73.0,19674769,0.196630666780898,0.1967654986522911,51985.21568353383,0.1553163963435685,0.1612903225806451,41062.548865312645,Crawfordsville-TP2-4351,12,15,31500.0,15.42,140.97,63.0,,,,,,,,,,,3.17,210.0,Crawfordsville,TP2,4351
19,Crawfordsville-TP2-4351_12_16,83.0809107295323,81.0,21893897,113.10255194004364,113.0,29805350,71.93969452613604,69.0,18957908,0.1882191208602988,0.1903114186851211,49600.44382471026,0.146493988379622,0.1560283687943262,38604.8282877399,Crawfordsville-TP2-4351,12,16,25000.0,18.98,173.52,50.0,,,,,,,,,,,0.0,204.0,Crawfordsville,TP2,4351
20,Crawfordsville-TP2-4351_12_17,79.0590814695869,76.0,20481520,109.95727729613304,110.0,28486192,67.89539731188191,65.0,17589389,0.2006912839383981,0.2016129032258064,51992.28816478506,0.1597674616987741,0.1666666666666666,41390.31723245463,Crawfordsville-TP2-4351,12,17,29000.0,19.7,178.45,58.0,,,,,,,,,,,3.45,250.0,Crawfordsville,TP2,4351
21,Crawfordsville-TP2-4351_12_18,64.14334902908233,59.0,15611080,95.30459614262588,92.0,23195042,56.10318105991503,52.0,13654280,0.2319631591184806,0.2249322493224932,56454.72973993757,0.1967597577392021,0.1965065502183406,47886.99631905153,Crawfordsville-TP2-4351,12,18,,,,,,,,,,,,,,,,,Crawfordsville,TP2,4351
22,Crawfordsville-TP2-4351_12_19,80.706789671499,78.0,21494720,110.30027672332548,110.0,29376383,71.66667042139292,70.0,19087056,0.1857244356447586,0.1851851851851851,49464.17466970422,0.1538729931276498,0.1571428571428571,40981.14813268012,Crawfordsville-TP2-4351,12,19,30000.0,18.08,166.24,60.0,,,,,,,,,,,0.0,228.0,Crawfordsville,TP2,4351
23,Crawfordsville-TP2-4351_12_20,92.9025910632818,91.0,24456700,123.52827909485625,127.0,32518943,81.79176907210228,82.0,21531765,0.1799565366897537,0.1764705882352941,47373.73824011436,0.1503075746833819,0.1515151515151515,39568.61934297498,Crawfordsville-TP2-4351,12,20,31000.0,12.45,118.67,62.0,,,,,,,,,,,0.0,251.0,Crawfordsville,TP2,4351
