file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Crawfordsville-TP1-4351_10_13,77.7285759252447,78.0,20496015,117.13103414275258,125.0,30885931,72.93530966638477,71.0,19232093,0.2387272876440075,0.2341356673960612,62949.28229698542,-0.2065312286773874,-0.2113821138211382,-54459.60009625425,0.2065312286773874,0.2113821138211382,54459.60009625425,Crawfordsville-TP1-4351,10,13,4351,28500.0,19.18,176.76,57.0,,,,,,,,,,,17.54,230.0,LH195 X 3IIH6
Crawfordsville-TP1-4351_10_14,64.39805438552325,61.0,17138705,101.97115019707894,104.0,27138296,61.99390539459,57.0,16498872,0.2492898520762431,0.2546916890080429,66345.25336201512,-0.2266759635349682,-0.2388059701492537,-60326.86090730584,0.2266759635349682,0.2388059701492537,60326.86090730584,Crawfordsville-TP1-4351,10,14,4351,,,,,,,,,,,,,,,,,
Crawfordsville-TP1-4351_10_15,95.1007952862993,99.0,25243460,128.18982139022526,139.0,34026578,85.47072208680714,88.0,22687263,0.1838984844119076,0.1774193548387097,48813.829803812354,-0.1458468152486287,-0.1497326203208556,-38713.43279278076,0.1458468152486287,0.1497326203208556,38713.43279278076,Crawfordsville-TP1-4351,10,15,4351,27500.0,18.19,168.98,55.0,,,,,,,,,,,0.0,229.0,PHT69 X 3IIH6
Crawfordsville-TP1-4351_10_16,78.05592402433149,79.0,20736649,114.5086801373163,121.0,30420834,72.0879720248133,71.0,19151179,0.2214086094334925,0.219047619047619,58820.29681653936,-0.1892822980870998,-0.1951219512195122,-50285.49243901128,0.1892822980870998,0.1951219512195122,50285.49243901128,Crawfordsville-TP1-4351,10,16,4351,29500.0,16.35,146.21,59.0,,,,,,,,,,,3.39,250.0,F42 X MO17
Crawfordsville-TP1-4351_10_17,73.83759609194531,71.0,19498294,109.85841254212896,112.0,29010311,67.02694740031052,63.0,17699806,0.2313097073858065,0.2354211663066954,61081.95442936994,-0.193638260185766,-0.2077922077922078,-51134.05536725523,0.193638260185766,0.2077922077922078,51134.05536725523,Crawfordsville-TP1-4351,10,17,4351,30000.0,19.63,173.06,60.0,,,,,,,,,,,0.0,239.0,PHG39 X PHM49
Crawfordsville-TP1-4351_10_18,115.54556705543207,123.0,30622695,149.17521233685625,164.0,39535459,100.76411837284503,107.0,26705212,0.1657518668817109,0.1594202898550724,43928.720024059214,-0.1215393244720759,-0.1239669421487603,-32211.202546860877,0.1215393244720759,0.1239669421487603,32211.202546860877,Crawfordsville-TP1-4351,10,18,4351,33500.0,11.28,112.14,67.0,,,,,,,,,,,0.0,201.0,LH195 X PHM49
Crawfordsville-TP1-4351_10_19,64.93577584095439,63.0,17232851,103.4136022277237,107.0,27444212,61.79866833972033,58.0,16400316,0.2529773315847048,0.2585895117540687,67135.88318794372,-0.2271088785573625,-0.2397260273972602,-60270.83551818855,0.2271088785573625,0.2397260273972602,60270.83551818855,Crawfordsville-TP1-4351,10,19,4351,,,,,,,,,,,,,,,,,
Crawfordsville-TP1-4351_10_20,80.01864953470697,81.0,21161492,119.7346562957305,128.0,31664668,74.36688762256246,74.0,19666844,0.2335702520386934,0.2292682926829268,61769.28814339674,-0.2023251465801384,-0.2067039106145251,-53506.30128914368,0.2023251465801384,0.2067039106145251,53506.30128914368,Crawfordsville-TP1-4351,10,20,4351,28500.0,15.59,142.69,57.0,,,,,,,,,,,1.75,261.0,B73 X PHZ51
Crawfordsville-TP1-4351_11_13,94.79753437467926,101.0,24937155,132.8606689804871,149.0,34949929,86.87788197995111,90.0,22853835,0.1987323171970569,0.1953255425709515,52277.9271649062,-0.1645413064161068,-0.1710843373493976,-43283.742441901806,0.1645413064161068,0.1710843373493976,43283.742441901806,Crawfordsville-TP1-4351,11,13,4351,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0,PHK56 X PHJ89
Crawfordsville-TP1-4351_11_14,94.40599584850445,100.0,24968781,131.9627121591936,147.0,34901894,86.78640971253351,90.0,22953530,0.1986719963484887,0.1940298507462686,52545.36561023736,-0.1631132987604413,-0.1728813559322033,-43140.69459605781,0.1631132987604413,0.1728813559322033,43140.69459605781,Crawfordsville-TP1-4351,11,14,4351,28000.0,19.81,180.9,56.0,,,,,,,,,,,0.0,230.0,PHP02 X PHK56
