file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum
Crawfordsville-TP3-4351_10_13,55.92800150417065,52.0,16360059,77.23503350198277,76.0,22592792,49.470921646383154,46.0,14471234,0.196446686322,0.2,57464.58468291144,-0.16320147430773713,-0.17391304347826086,-47739.69526449926,0.16320147430773713,0.17391304347826086,47739.69526449926
Crawfordsville-TP3-4351_10_14,36.54782944464947,34.0,10695503,56.35095200995066,53.0,16490768,33.77012000929457,30.0,9882623,0.22834754733056256,0.23255813953488372,66824.53964100515,-0.20454628860598684,-0.21495327102803738,-59859.24408281041,0.20454628860598684,0.21495327102803738,59859.24408281041
Crawfordsville-TP3-4351_10_15,55.89505193010304,54.0,16339018,77.58883194898671,78.0,22680457,51.99486856689336,51.0,15198932,0.18657937954734113,0.18840579710144928,54540.13791176057,-0.16329639901339243,-0.1743119266055046,-47734.15017399882,0.16329639901339243,0.1743119266055046,47734.15017399882
Crawfordsville-TP3-4351_10_16,46.711453578687326,42.0,13651796,65.3004468654408,60.0,19084578,43.28048847251401,38.0,12649069,0.1880298758237849,0.18811881188118812,54953.23544850772,-0.16344855113224907,-0.17293233082706766,-47769.14665680885,0.16344855113224907,0.17293233082706766,47769.14665680885
Crawfordsville-TP3-4351_10_17,48.85157969313122,44.0,14273308,68.06618590785722,63.0,19887374,44.205341282852515,38.0,12915784,0.18729153576940008,0.1883289124668435,54722.279046496005,-0.15512928840532458,-0.16546762589928057,-45325.210098402524,0.15512928840532458,0.16546762589928057,45325.210098402524
Crawfordsville-TP3-4351_10_18,58.78494425063274,57.0,17187542,76.80582803201314,78.0,22456488,51.991514467473834,50.0,15201279,0.1647909141089288,0.1657142857142857,48181.5674671686,-0.12646582675487505,-0.13114754098360656,-36976.07842659037,0.12646582675487505,0.13114754098360656,36976.07842659037
Crawfordsville-TP3-4351_10_19,36.83866653440556,33.0,10769821,56.35151239434789,52.0,16474421,34.06924895074756,30.0,9960179,0.22575573103226362,0.22916666666666666,65999.9137230133,-0.2004665814569673,-0.21153846153846154,-58606.60555552585,0.2004665814569673,0.21153846153846154,58606.60555552585
Crawfordsville-TP3-4351_10_20,49.50460346492941,47.0,14453067,71.75500935078814,70.0,20949162,46.25506757913918,43.0,13504352,0.20515912999980718,0.2028985507246377,59897.028639963704,-0.18185709173841555,-0.19148936170212766,-53093.905361397374,0.18185709173841555,0.19148936170212766,53093.905361397374
Crawfordsville-TP3-4351_11_13,54.92699269175603,54.0,16083722,79.00942900075131,81.0,23135541,50.15431322997063,49.0,14686186,0.2002255854073155,0.2054794520547945,58630.05591897012,-0.1710352768470924,-0.18828451882845187,-50082.5497663656,0.1710352768470924,0.18828451882845187,50082.5497663656
Crawfordsville-TP3-4351_11_14,55.69173512784164,55.0,16303477,80.60007856667065,83.0,23595270,52.40863550188731,52.0,15342366,0.1967555964410877,0.20253164556962025,57599.21708014622,-0.17387672058880085,-0.19148936170212766,-50901.540568768505,0.17387672058880085,0.19148936170212766,50901.540568768505
Crawfordsville-TP3-4351_11_15,51.39023314795889,51.0,15034778,76.58012175238669,78.0,22404357,46.401099257932536,45.0,13575152,0.21803599619158573,0.2222222222222222,63788.829081806514,-0.18642515214651922,-0.20179372197309417,-54540.728937137814,0.18642515214651922,0.20179372197309417,54540.728937137814
Crawfordsville-TP3-4351_11_16,47.42018524913581,45.0,13869029,69.62137784600867,68.0,20362234,43.47180404211016,40.0,12714242,0.2099238956993018,0.21393034825870647,61396.6516990705,-0.18244385432476276,-0.19791666666666666,-53359.53651821769,0.18244385432476276,0.19791666666666666,53359.53651821769
Crawfordsville-TP3-4351_11_17,47.77808676877035,45.0,13985076,67.8638647940446,67.0,19864364,43.71051112196755,41.0,12794460,0.19934138904050014,0.2023121387283237,58349.018644655756,-0.17603672985091623,-0.1888111888111888,-51527.53515793184,0.17603672985091623,0.1888111888111888,51527.53515793184
Crawfordsville-TP3-4351_11_18,59.625914654995555,57.0,17438195,84.55815154209122,86.0,24729877,54.82657457430076,54.0,16034580,0.20059678178510196,0.2,58666.53480087092,-0.17451895145761098,-0.18181818181818182,-51039.81254329291,0.17451895145761098,0.18181818181818182,51039.81254329291
