file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3
Crawfordsville-TP6-4352_4_5,1331.0865800865802,967.6709956709957,741.995670995671,2056.2034632034633,1695.7142857142858,604.2813852813853,Crawfordsville-TP6-4352,4,5,0.04192285787872491,0.006934832571774392,0.01821612280850339
Crawfordsville-TP6-4353_5_43,1585.904761904762,1119.7936507936508,820.3333333333334,2440.3293650793653,2006.0198412698412,614.1269841269841,Crawfordsville-TP6-4353,5,43,0.05235859842942142,-0.05670868587746669,-0.039599731770608895
Crawfordsville-TP6-4353_36_42,1520.7386363636363,1070.1704545454545,771.2234848484849,2310.189393939394,1905.7083333333333,572.5909090909091,Crawfordsville-TP6-4353,36,42,0.04984277285468727,-0.07980532942429613,-0.06044858977722497
Crawfordsville-TP6-4351_6_20,1321.1904761904761,945.5670995670996,725.7878787878788,2070.65367965368,1692.7186147186146,581.5194805194806,Crawfordsville-TP6-4351,6,20,0.04290390084850029,0.01717702154691121,0.00022062716649583363
Crawfordsville-TP6-4352_3_8,1089.2424242424242,799.4761904761905,628.9177489177489,1724.155844155844,1400.8181818181818,517.4285714285714,Crawfordsville-TP6-4352,3,8,0.03464642442943858,0.042705266610098505,0.008707837188257801
Crawfordsville-TP6-4353_6_43,1772.112554112554,1252.3896103896104,931.8095238095239,2713.7965367965367,2240.7619047619046,698.2251082251082,Crawfordsville-TP6-4353,6,43,0.057817550283897914,-0.06283585207085865,-0.029732894496588575
Crawfordsville-TP6-4351_18_15,1259.073593073593,907.6883116883117,693.9264069264069,2012.2554112554112,1630.4329004329004,572.4155844155844,Crawfordsville-TP6-4351,18,15,0.04155495427504238,0.04707560931789257,0.013080850527980135
Crawfordsville-TP6-4353_11_46,1261.1136363636363,889.314393939394,670.8068181818181,1960.465909090909,1606.2651515151515,529.6287878787879,Crawfordsville-TP6-4353,11,46,0.04128692596080662,-0.004404285716310573,-0.01902987553609424
Crawfordsville-TP6-4351_16_13,1222.8531746031747,841.4285714285714,620.8809523809524,2037.8968253968253,1602.265873015873,503.2579365079365,Crawfordsville-TP6-4351,16,13,0.044197395583793216,0.0736779853126716,-0.06042000502349504
Crawfordsville-TP6-4353_33_42,1451.8825757575758,1018.8825757575758,746.4204545454545,2231.7992424242425,1849.405303030303,567.3939393939394,Crawfordsville-TP6-4353,33,42,0.048056246398939614,-0.049956875737136544,0.0073574063713261586
Crawfordsville-TP6-4353_29_46,1450.5277777777778,1018.6507936507936,747.2103174603175,2273.8531746031745,1860.392857142857,585.7619047619048,Crawfordsville-TP6-4353,29,46,0.04877482719822091,-0.011674452710996843,-0.005754384841986874
