file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Lincoln-TP4-hybrids_10_10,-0.030190882019319,-0.0294713681894505,-4.34748701078193,0.030190882019319,0.0294713681894505,4.34748701078193,104.763888888889,103.5,15086,98.6736111111111,98,14209,84.3611111111111,84,12148,0.0223266118858753,0.0201681241949698,3.21503211156605,Lincoln-TP4-hybrids,10,10,,2.94,27.16,,58,1320.57,59,1346.07,3.81,64.38,11.68,4.46,1.63,1.3,,195,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_11,-0.0416512637494977,-0.0434640747355406,-5.99778197992766,0.0416512637494977,0.0434640747355406,5.99778197992766,112.8125,116,16245,103.895833333333,105,14961,90.4236111111111,93,13021,0.0122430086624715,0.0098039215686274,1.76299324739591,Lincoln-TP4-hybrids,10,11,,3.21,29.65,,58,1320.57,59,1346.07,4.62,66.24,10.17,3.83,1.52,1.23,,172,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_12,-0.0536230238722015,-0.0537634408602151,-7.72171543759701,0.0536230238722015,0.0537634408602151,7.72171543759701,125.493055555556,124,18071,112.819444444444,112,16246,96.1180555555556,95,13841,0.0096006114743325,0.0081198083769173,1.38248805230388,Lincoln-TP4-hybrids,10,12,,4.76,43.87,,57,1295.5,64,1479.48,4.86,70,10.47,4.21,0.9,1.02,,210,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_13,-0.0676649632634651,-0.0654144082859713,-9.74375470993897,0.0676649632634651,0.0654144082859713,9.74375470993897,118.145833333333,119,17013,103.409722222222,104,14891,87.4652777777778,90,12595,0.0035597448525565,0.0023985781090921,0.512603258768146,Lincoln-TP4-hybrids,10,13,,8.51,78.16,,54,1209.83,56,1268.08,5.12,66.27,12.47,4.12,1.42,1.29,,160,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_14,-0.0530760348273659,-0.0492538410644711,-7.64294901514069,0.0530760348273659,0.0492538410644711,7.64294901514069,114.222222222222,112,16448,102.8125,102,14805,89.1041666666667,88.5,12831,0.0064067828531772,0.0058507435556615,0.922576730857526,Lincoln-TP4-hybrids,10,14,,,,,,,,,,,,,,,,,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_15,-0.0575936115725374,-0.0583006535947712,-8.29348006644539,0.0575936115725374,0.0583006535947712,8.29348006644539,125.166666666667,126.5,18024,111.631944444444,112,16075,94.1875,95,13563,0.0096729948701955,0.0066245826122986,1.39291126130815,Lincoln-TP4-hybrids,10,15,,7.52,69.07,,63,1451.51,63,1451.51,5.25,71.94,9.06,4.51,0.71,0.98,,204,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_16,-0.0219756460342999,-0.0312533912099837,-3.16449302893919,0.0219756460342999,0.0312533912099837,3.16449302893919,105.104166666667,111,15135,99.9513888888889,104,14393,84.2916666666667,90,12138,0.0347322535841137,0.0190099566404368,5.00144451611237,Lincoln-TP4-hybrids,10,16,,3.9,35.9,,58,1320.57,60,1370.73,4.34,65.51,11.6,3.97,1.56,1.22,,150,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_17,-0.0237274978440982,-0.0237531031369894,-3.41675968955014,0.0237274978440982,0.0237531031369894,3.41675968955014,114.048611111111,117,16423,108.6875,112,15651,91.8888888888889,95,13232,0.029489551336588,0.0263473431780891,4.24649539246867,Lincoln-TP4-hybrids,10,17,,3.15,28.73,,63,1451.51,68,1570.26,4.72,66.4,9.4,3.79,1.64,1.03,,180,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_18,-0.0292105964539667,-0.029535864978903,-4.20632588937121,0.0292105964539667,0.029535864978903,4.20632588937121,112.569444444444,114,16210,106.270833333333,108,15303,90.3472222222222,93,13010,0.024632140882418,0.02305113565004,3.5470282870682,Lincoln-TP4-hybrids,10,18,,6.59,59,,58,1320.57,63,1451.51,4.71,65.52,13.56,4.54,1.36,1.05,,187,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_19,-0.0289155671423177,-0.029535864978903,-4.16384166849375,0.0289155671423177,0.029535864978903,4.16384166849375,107.5,107,15480,101.388888888889,101,14600,86.9861111111111,86,12526,0.0222172129680922,0.0214797136038186,3.19927866740528,Lincoln-TP4-hybrids,10,19,,12.27,112.43,,59,1346.07,60,1370.73,4.08,67.66,8.55,3.96,1.54,1.32,,170,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_2,-0.0253602514485951,-0.0261324834964717,-3.6518762085977,0.0253602514485951,0.0261324834964717,3.6518762085977,110.625,108,15930,105.125,103.5,15138,85.5902777777778,84.5,12325,0.0357985391879286,0.0345623954766265,5.15498964306173,Lincoln-TP4-hybrids,10,2,,11.14,102.31,,57,1295.5,56,1268.08,4.59,69.36,8.1,3.27,0.78,1.05,,188,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_20,-0.0407213847785763,-0.0440362444029193,-5.86387940811498,0.0407213847785763,0.0440362444029193,5.86387940811498,110.0625,112,15849,101.388888888889,103,14600,85.2222222222222,88,12272,0.0209725051889266,0.0157899110778691,3.02004074720544,Lincoln-TP4-hybrids,10,20,,5.67,52.14,,62,1422.27,66,1522.76,4.65,71.32,9.43,3.72,1.81,1.23,,176,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_21,-0.0496673167466361,-0.0491184658212187,-7.1520936115156,0.0496673167466361,0.0491184658212187,7.1520936115156,125.354166666667,126,18051,113.5625,114,16353,95.5694444444444,95.5,13762,0.0142756314390002,0.0136366453852352,2.05569092721604,Lincoln-TP4-hybrids,10,21,,7.19,66.04,,58,1320.57,64,1479.48,4.82,69.99,7.85,3.48,0.82,0.94,,168,Lincoln,TP4,hybrids
Lincoln-TP4-hybrids_10_22,-0.0253794310099424,-0.0259021421383045,-3.65463806543171,0.0253794310099424,0.0259021421383045,3.65463806543171,109.340277777778,108,15745,103.902777777778,103,14962,88.5972222222222,88,12758,0.0268076644723593,0.024793388429752,3.86030368401975,Lincoln-TP4-hybrids,10,22,,5.31,48.6,,61,1395.88,62,1422.27,5.27,68.6,9.66,4.02,2.38,1.25,,175,Lincoln,TP4,hybrids
