file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp,genotype
Lincoln-TP6-hybrids_10_10,-0.023652919523213,-0.0210526315789474,-3.40602041134268,0.023652919523213,0.0210526315789474,3.40602041134268,92.3541666666667,94.0,13299,88.2847222222222,90.0,12713,79.9166666666667,82.0,11508,0.0121895961473254,0.0133333333333333,1.75530184521486,Lincoln-TP6-hybrids,10,10,,2.94,27.16,,58.0,1320.57,59.0,1346.07,3.81,64.38,11.68,4.46,1.63,1.3,,195.0,Lincoln,TP6,hybrids,PHK76 X LH145
Lincoln-TP6-hybrids_10_11,-0.0334615307259263,-0.0304576376004947,-4.81846042453339,0.0334615307259263,0.0304576376004947,4.81846042453339,95.3055555555556,96.0,13724,89.4097222222222,90.0,12875,81.1388888888889,82.0,11684,0.0064523292811124,0.0064516129032258,0.929135416480194,Lincoln-TP6-hybrids,10,11,,3.21,29.65,,58.0,1320.57,59.0,1346.07,4.62,66.24,10.17,3.83,1.52,1.23,,172.0,Lincoln,TP6,hybrids,PHP02 X PHB47
Lincoln-TP6-hybrids_10_12,-0.0581550485473723,-0.0526315789473684,-8.37432699082161,0.0581550485473723,0.0526315789473684,8.37432699082161,110.284722222222,109.0,15881,98.4444444444444,98.0,14176,85.9722222222222,86.0,12380,0.0013730213354115,0.0027855153203342,0.197715072299266,Lincoln-TP6-hybrids,10,12,,4.76,43.87,,57.0,1295.5,64.0,1479.48,4.86,70.0,10.47,4.21,0.9,1.02,,210.0,Lincoln,TP6,hybrids,F42 X OH43
Lincoln-TP6-hybrids_10_13,-0.0502496853677509,-0.0471698113207547,-7.23595469295614,0.0502496853677509,0.0471698113207547,7.23595469295614,102.9375,103.0,14823,93.2708333333333,93.0,13431,84.0625,85.0,12105,-0.0013693424206922,0.0,-0.197185308579688,Lincoln-TP6-hybrids,10,13,,8.51,78.16,,54.0,1209.83,56.0,1268.08,5.12,66.27,12.47,4.12,1.42,1.29,,160.0,Lincoln,TP6,hybrids,LH195 X 3IIH6
Lincoln-TP6-hybrids_10_14,-0.0716890966319376,-0.0649878576707845,-10.323229914999,0.0716890966319376,0.0649878576707845,10.323229914999,107.291666666667,108.0,15450,93.7777777777778,95.5,13504,82.7569444444444,84.0,11917,-0.0082682995202743,-0.0049009060699514,-1.1906351309195,Lincoln-TP6-hybrids,10,14,,,,,,,,,,,,,,,,,Lincoln,TP6,hybrids,
Lincoln-TP6-hybrids_10_15,-0.0663960590955666,-0.0616113744075829,-9.5610325097616,0.0663960590955666,0.0616113744075829,9.5610325097616,111.631944444444,114.0,16075,98.5347222222222,101.5,14189,84.1666666666667,88.0,12120,0.002702992817165,0.0020739493921997,0.389230965671772,Lincoln-TP6-hybrids,10,15,,7.52,69.07,,63.0,1451.51,63.0,1451.51,5.25,71.94,9.06,4.51,0.71,0.98,,204.0,Lincoln,TP6,hybrids,PHT69 X 3IIH6
Lincoln-TP6-hybrids_10_16,-0.0307018724497342,-0.0294117647058824,-4.42106963276172,0.0307018724497342,0.0294117647058824,4.42106963276172,94.3680555555556,94.0,13589,88.875,89.5,12798,81.8888888888889,82.5,11792,0.0040633198395404,0.0044066546308698,0.585118056893825,Lincoln-TP6-hybrids,10,16,,3.9,35.9,,58.0,1320.57,60.0,1370.73,4.34,65.51,11.6,3.97,1.56,1.22,,150.0,Lincoln,TP6,hybrids,F42 X MO17
Lincoln-TP6-hybrids_10_17,-0.039837156807683,-0.0339877907935984,-5.73655058030636,0.039837156807683,0.0339877907935984,5.73655058030636,108.215277777778,108.0,15583,100.395833333333,101.0,14457,88.5069444444444,89.0,12745,0.0095297842756728,0.0113895216400911,1.37228893569689,Lincoln-TP6-hybrids,10,17,,3.15,28.73,,63.0,1451.51,68.0,1570.26,4.72,66.4,9.4,3.79,1.64,1.03,,180.0,Lincoln,TP6,hybrids,B37 X H95
Lincoln-TP6-hybrids_10_18,-0.0434667588834614,-0.0406185567010309,-6.25921327921844,0.0434667588834614,0.0406185567010309,6.25921327921844,106.694444444444,110.0,15364,98.1875,99.0,14139,86.5555555555556,88.0,12464,0.0078171589496402,0.0079787798408488,1.1256708887482,Lincoln-TP6-hybrids,10,18,,6.59,59.0,,58.0,1320.57,63.0,1451.51,4.71,65.52,13.56,4.54,1.36,1.05,,187.0,Lincoln,TP6,hybrids,2FACC X 3IIH6
Lincoln-TP6-hybrids_10_19,-0.0511403524164421,-0.0496802662578064,-7.36421074796767,0.0511403524164421,0.0496802662578064,7.36421074796767,108.201388888889,107.5,15581,98.0763888888889,97.0,14123,85.4513888888889,86.0,12305,0.0061089280063049,0.0053482053482053,0.879685632907917,Lincoln-TP6-hybrids,10,19,,12.27,112.43,,59.0,1346.07,60.0,1370.73,4.08,67.66,8.55,3.96,1.54,1.32,,170.0,Lincoln,TP6,hybrids,LH195 X PHM49
Lincoln-TP6-hybrids_10_2,-0.0207804942815546,-0.02,-2.99239117654386,0.0207804942815546,0.02,2.99239117654386,92.8263888888889,92.0,13367,89.125,89.0,12834,75.9166666666667,74.0,10932,0.0284840551656777,0.0265486725663716,4.1017039438576,Lincoln-TP6-hybrids,10,2,,11.14,102.31,,57.0,1295.5,56.0,1268.08,4.59,69.36,8.1,3.27,0.78,1.05,,188.0,Lincoln,TP6,hybrids,PHP02 X W606S
Lincoln-TP6-hybrids_10_20,-0.0313217587705485,-0.0310096153846154,-4.51033326295898,0.0313217587705485,0.0310096153846154,4.51033326295898,95.7013888888889,99.0,13781,89.9791666666667,92.0,12957,79.7569444444444,80.0,11485,0.0131590706495946,0.0108811354228267,1.89490617354163,Lincoln-TP6-hybrids,10,20,,5.67,52.14,,62.0,1422.27,66.0,1522.76,4.65,71.32,9.43,3.72,1.81,1.23,,176.0,Lincoln,TP6,hybrids,PHK76 X W606S
Lincoln-TP6-hybrids_10_21,-0.0518550433333692,-0.0476190476190476,-7.46712624000516,0.0518550433333692,0.0476190476190476,7.46712624000516,106.777777777778,110.0,15376,96.7361111111111,100.0,13930,83.3541666666667,86.0,12003,0.0086546791120751,0.0089774557165861,1.24627379213882,Lincoln-TP6-hybrids,10,21,,7.19,66.04,,58.0,1320.57,64.0,1479.48,4.82,69.99,7.85,3.48,0.82,0.94,,168.0,Lincoln,TP6,hybrids,PHP02 X W606S
