file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum
Lincoln-TP2-hybrids_10_10,145.47090096605632,150.0,30372433,158.12839400920555,164.0,33015153,117.07033962842515,119.0,24442765,0.09874206988670706,0.09379128137384413,20616.060545435907,-0.044744730498446704,-0.037783375314861464,-9342.118046579191,0.044744730498446704,0.037783375314861464,9342.118046579191
Lincoln-TP2-hybrids_10_11,146.10794961840108,151.0,30496674,163.82771275398008,171.0,34195267,123.77107417823281,127.0,25834365,0.10329511758773517,0.09859154929577464,21560.480008735198,-0.06054251871442561,-0.05596107055961071,-12636.858303705914,0.06054251871442561,0.05596107055961071,12636.858303705914
Lincoln-TP2-hybrids_10_12,112.57191652853761,114.0,23498487,143.9678837991396,148.0,30052144,97.32973239693018,98.0,20316803,0.16959346843122247,0.16483516483516483,35401.27978727024,-0.1330973403657288,-0.12962962962962962,-27783.00502262296,0.1330973403657288,0.12962962962962962,27783.00502262296
Lincoln-TP2-hybrids_10_13,106.08870523415978,107.0,22143365,140.20671218109953,145.0,29264646,87.6138459695772,86.0,18287200,0.19790019383173466,0.19331742243436753,41306.71795752882,-0.1499772924494187,-0.14615384615384616,-31304.01036650492,0.1499772924494187,0.14615384615384616,31304.01036650492
Lincoln-TP2-hybrids_10_14,107.58946059605192,97.0,22411315,129.04418542130733,124.0,26880420,89.54873646209386,79.0,18653360,0.15746806899049773,0.15520628683693516,32801.22864299664,-0.10849432784767522,-0.10619469026548672,-22599.80246798214,0.10849432784767522,0.10619469026548672,22599.80246798214
Lincoln-TP2-hybrids_10_15,111.12992408994192,111.0,23189259,140.4556472482604,143.0,29308599,92.18671765675619,91.0,19236418,0.1717626347546569,0.16827852998065765,35841.365468984746,-0.1252529036372386,-0.12367491166077739,-26136.272896175306,0.1252529036372386,0.12367491166077739,26136.272896175306
Lincoln-TP2-hybrids_10_16,130.25212226957018,133.0,27173328,152.47081549796042,158.0,31808614,112.06911097157045,113.0,23379970,0.1241993246101287,0.11938382541720154,25910.58729948966,-0.08534629183644049,-0.08310991957104558,-17805.02874921005,0.08534629183644049,0.08310991957104558,17805.02874921005
Lincoln-TP2-hybrids_10_17,124.35683028417779,126.0,25945436,148.32646654236785,152.0,30946389,100.64847078897799,100.0,20998995,0.1466226354192562,0.14367816091954022,30590.906785967352,-0.09358012906412215,-0.09253731343283582,-19524.277387551254,0.09358012906412215,0.09253731343283582,19524.277387551254
Lincoln-TP2-hybrids_10_18,121.84390533849111,123.0,25418710,146.45391315185245,151.0,30552776,103.68794968770523,103.0,21631069,0.1390635723797334,0.13623188405797101,29011.025279142847,-0.09917765617327906,-0.09836065573770492,-20690.145097900957,0.09917765617327906,0.09836065573770492,20690.145097900957
Lincoln-TP2-hybrids_10_19,97.98998571442269,95.0,20440907,121.6340207668191,123.0,25373100,79.69950911304781,75.0,16625477,0.16937599953422375,0.16945996275605213,35332.172254838144,-0.11908887413010137,-0.12,-24842.177321287407,0.11908887413010137,0.12,24842.177321287407
Lincoln-TP2-hybrids_10_2,86.55616654702082,85.0,18085911,119.68836085187844,120.0,25008883,70.79456329265375,68.0,14792524,0.2219471511058747,0.21627408993576017,46375.85722357252,-0.17373025465587275,-0.167420814479638,-36300.93671034461,0.17373025465587275,0.167420814479638,36300.93671034461
Lincoln-TP2-hybrids_10_20,122.06038752739111,122.0,25456060,144.0174104424295,146.0,30035263,98.47177935584719,96.0,20536585,0.14303997908432609,0.13966480446927373,29831.416757973457,-0.08902851618012181,-0.08717948717948718,-18567.164134912942,0.08902851618012181,0.08717948717948718,18567.164134912942
Lincoln-TP2-hybrids_10_21,114.69944047830235,114.0,23922977,139.64848420921413,142.0,29126624,92.54604906722412,91.0,19302422,0.15876344982227641,0.1561771561771562,33113.45149288201,-0.10482662984333009,-0.1050228310502283,-21863.7950130532,0.10482662984333009,0.1050228310502283,21863.7950130532
Lincoln-TP2-hybrids_10_22,133.13064738258961,136.0,27743495,154.18855239859303,160.0,32131815,108.45900294155754,108.0,22602097,0.13103725853114676,0.12646675358539766,27307.247417081264,-0.07857149645087083,-0.07476635514018691,-16373.749859886326,0.07857149645087083,0.07476635514018691,16373.749859886326
Lincoln-TP2-hybrids_10_23,152.4727642998833,156.0,31744982,163.41782700371274,169.0,34023755,121.10892358826327,122.0,25214999,0.09660015394508781,0.08904109589041095,20112.248651521226,-0.0394040564205179,-0.03064066852367688,-8203.963950808247,0.0394040564205179,0.03064066852367688,8203.963950808247
Lincoln-TP2-hybrids_10_24,116.42221614673267,116.0,24272635,141.28940754383945,145.0,29457146,90.31493898929435,87.0,18829581,0.1688340215811724,0.16589147286821707,35199.86749141547,-0.10669059052807242,-0.10505836575875487,-22243.707838016762,0.10669059052807242,0.10505836575875487,22243.707838016762
Lincoln-TP2-hybrids_10_25,138.9777852397285,142.0,28972004,160.1023145372125,167.0,33375729,114.82045427289952,116.0,23936046,0.12486733475949018,0.12027491408934708,26030.468940637118,-0.0774192101126398,-0.07341772151898734,-16139.195636131455,0.0774192101126398,0.07341772151898734,16139.195636131455
Lincoln-TP2-hybrids_10_26,137.67422054180622,141.0,28693235,161.59621714472155,168.0,33678914,114.10123120327809,116.0,23780294,0.13214637914057065,0.13009198423127463,27541.15546220289,-0.08446358958705329,-0.08421052631578947,-17603.394560196124,0.08446358958705329,0.08421052631578947,17603.394560196124
Lincoln-TP2-hybrids_10_27,122.63528068433148,122.0,25561730,143.2415022284911,145.0,29856829,97.35780595575642,96.0,20292969,0.14331518403842547,0.1378299120234604,29872.18701541729,-0.08654860549417369,-0.08108108108108109,-18039.93168338908,0.08654860549417369,0.08108108108108109,18039.93168338908
Lincoln-TP2-hybrids_10_28,104.29283915077366,104.0,21737235,133.44135300467795,136.0,27812514,83.84979249130383,82.0,17476393,0.1843733688191263,0.18167456556082148,38428.0193961264,-0.1320270085132623,-0.13,-27517.729249376694,0.1320270085132623,0.13,27517.729249376694
Lincoln-TP2-hybrids_10_29,115.82990324066964,117.0,24133392,145.64875787129472,148.0,30346210,98.27380106742436,97.0,20475543,0.16261657078934533,0.15844155844155844,33881.48775710168,-0.12079657752103062,-0.11917098445595854,-25168.208519661774,0.12079657752103062,0.11917098445595854,25168.208519661774
Lincoln-TP2-hybrids_10_3,122.06037305858246,123.0,25494506,148.87855008905146,154.0,31095965,103.64129498056188,102.0,21647350,0.1501495016798043,0.14867617107942974,31361.42611685736,-0.10867632360577628,-0.10822510822510822,-22699.00635889128,0.10867632360577628,0.10822510822510822,22699.00635889128
Lincoln-TP2-hybrids_10_30,110.13866518204244,111.0,22948272,140.3192438015339,144.0,29236637,90.14512521717428,88.0,18782458,0.17749059756235727,0.17304189435336975,36981.585926897635,-0.12741258928123708,-0.12550607287449392,-26547.432277459993,0.12741258928123708,0.12550607287449392,26547.432277459993
Lincoln-TP2-hybrids_10_31,115.19302135829133,114.0,24000466,138.51894408447325,139.0,28860422,97.52695944324454,95.0,20319742,0.1397461394369743,0.1374764595103578,29116.1081516936,-0.09765992363358442,-0.09815950920245399,-20347.445089057313,0.09765992363358442,0.09815950920245399,20347.445089057313
Lincoln-TP2-hybrids_10_32,140.67443346416783,142.0,29281524,155.3134215065025,159.0,32328644,115.24555731175926,115.0,23988478,0.10500927232852691,0.10059171597633136,21857.785044455206,-0.055912421022457144,-0.05056179775280899,-11638.226348245476,0.055912421022457144,0.05056179775280899,11638.226348245476
Lincoln-TP2-hybrids_10_33,135.7753109542333,137.0,28272493,154.48420016328097,158.0,32168245,112.07222302261921,112.0,23336799,0.11727901757418055,0.11278195488721804,24421.009829471615,-0.06966804837027404,-0.06666666666666667,-14506.977712142165,0.06966804837027404,0.06666666666666667,14506.977712142165
Lincoln-TP2-hybrids_10_34,154.32295792793138,158.0,32102879,167.30726262354344,174.0,34803926,130.2208879744645,132.0,27089070,0.08763667057482476,0.08319738988580751,18230.530759657344,-0.044169906287956785,-0.03864734299516908,-9188.400585645923,0.044169906287956785,0.03864734299516908,9188.400585645923
Lincoln-TP2-hybrids_10_35,136.86647393014422,138.0,28499569,156.9540361813196,160.0,32682382,115.84002708556444,116.0,24121253,0.11375230311399022,0.1111111111111111,23686.52832512307,-0.0718456624453885,-0.07079646017699115,-14960.350445340802,0.0718456624453885,0.07079646017699115,14960.350445340802
Lincoln-TP2-hybrids_10_36,134.77729112939244,137.0,28064271,157.77612893620903,165.0,32853250,120.26417803646981,123.0,25042249,0.11768581557706753,0.11532846715328467,24505.36432016604,-0.09110188130583653,-0.08761329305135952,-18969.871438670423,0.09110188130583653,0.08761329305135952,18969.871438670423
Lincoln-TP2-hybrids_10_37,150.17908906668717,153.0,31271191,163.59836427727566,169.0,34065433,122.15908195902529,124.0,25436697,0.09835755023766861,0.09158878504672897,20480.599255788784,-0.04855176615670708,-0.03927492447129909,-10109.74005974649,0.04855176615670708,0.03927492447129909,10109.74005974649
Lincoln-TP2-hybrids_10_38,123.87166576985165,125.0,25783144,150.1040769851641,153.0,31243263,103.7869455761396,104.0,21602630,0.1448852302608763,0.14285714285714285,30156.991367419836,-0.10073835677235489,-0.10040160642570281,-20968.084532025037,0.10073835677235489,0.10040160642570281,20968.084532025037
Lincoln-TP2-hybrids_10_39,138.75735375415218,140.0,28864721,153.81593381501085,156.0,31997252,113.67671363262716,113.0,23647371,0.10489798823618726,0.10032362459546926,21821.194206856384,-0.05581759666043365,-0.05138339920948617,-11611.343910093388,0.05581759666043365,0.05138339920948617,11611.343910093388
Lincoln-TP2-hybrids_10_4,160.62738499832463,164.0,33556667,168.4456991048777,173.0,35189991,129.29815710114403,131.0,27011678,0.07982548689000898,0.07507507507507508,16676.342466191778,-0.02629552972904359,-0.02088167053364269,-5493.399115694497,0.02629552972904359,0.02088167053364269,5493.399115694497
Lincoln-TP2-hybrids_10_5,140.53127543642927,142.0,29350519,157.04255125590126,161.0,32798965,112.43655376483093,112.0,23482824,0.11414328388514877,0.11010558069381599,23839.281412548862,-0.059377110228880994,-0.054441260744985676,-12401.14697974271,0.059377110228880994,0.054441260744985676,12401.14697974271
Lincoln-TP2-hybrids_10_6,126.9747174457769,130.0,26502290,152.90939579630225,158.0,31915402,109.25135947029767,110.0,22803053,0.13776691305650707,0.13513513513513514,28754.847860067213,-0.09818230598989353,-0.0982367758186398,-20492.709088516567,0.09818230598989353,0.0982367758186398,20492.709088516567
Lincoln-TP2-hybrids_10_7,157.95977741457733,165.0,32956570,169.13284189437258,180.0,35287707,131.38303960429258,136.0,27411626,0.08644054069550121,0.07857142857142857,18034.867970168678,-0.03858146337063705,-0.030878859857482184,-8049.597936186344,0.03858146337063705,0.030878859857482184,8049.597936186344
Lincoln-TP2-hybrids_10_8,119.3982835742268,124.0,24931078,149.39172246008258,157.0,31193888,100.22403570778617,102.0,20927380,0.16847915407595787,0.1589895988112927,35179.45824598446,-0.12455282556919438,-0.11764705882352941,-26007.3772958012,0.12455282556919438,0.11764705882352941,26007.3772958012
Lincoln-TP2-hybrids_10_9,127.55103215409409,130.0,26593880,153.81747851277723,160.0,32070329,108.65893350471951,109.0,22654953,0.1428275029842086,0.13948919449901767,29778.96306219556,-0.10066575716723586,-0.09873417721518987,-20988.407706340007,0.10066575716723586,0.09873417721518987,20988.407706340007
Lincoln-TP2-hybrids_11_10,122.57168863147507,124.0,25585982,152.17928265858018,156.0,31766360,105.69954441586066,106.0,22064040,0.15266938231557464,0.14977307110438728,31868.6648727,-0.1156988589287862,-0.11418685121107267,-24151.32690937162,0.1156988589287862,0.11418685121107267,24151.32690937162
Lincoln-TP2-hybrids_11_11,146.74931608575878,147.0,30630251,163.49292130794106,167.0,34125060,125.14108036890646,124.0,26120072,0.09950680226482973,0.09455587392550144,20769.557302726585,-0.05880765922566536,-0.05370843989769821,-12274.628671877002,0.05880765922566536,0.05370843989769821,12274.628671877002
Lincoln-TP2-hybrids_11_12,111.22712963983345,110.0,23214103,139.42420786837175,141.0,29099087,95.81984006439588,94.0,19998463,0.1568728724970232,0.1554054054054054,32740.780345981213,-0.11865863342266744,-0.12030075187969924,-24765.1247230115,0.11865863342266744,0.12030075187969924,24765.1247230115
Lincoln-TP2-hybrids_11_13,132.68864851900707,138.0,27662266,165.12847583643122,175.0,34425159,112.20212015829236,115.0,23391337,0.16453750171701287,0.1545827633378933,34301.955670454256,-0.12070005861797992,-0.11264367816091954,-25162.944720383362,0.12070005861797992,0.11264367816091954,25162.944720383362
