file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Lincoln-TP2-hybrids_10_10,145.47090096605632,150.0,30372433,158.12839400920555,164.0,33015153,117.07033962842516,119.0,24442765,0.098742069886707,0.0937912813738441,20616.060545435907,-0.0447447304984467,-0.0377833753148614,-9342.118046579191,0.0447447304984467,0.0377833753148614,9342.118046579191,Lincoln-TP2-hybrids,10,10,hybrids,,2.94,27.16,,58.0,1320.57,59.0,1346.07,3.81,64.38,11.68,4.46,1.63,1.3,,195.0,PHB47 X 3IIH6
Lincoln-TP2-hybrids_10_11,146.10794961840108,151.0,30496674,163.82771275398008,171.0,34195267,123.7710741782328,127.0,25834365,0.1032951175877351,0.0985915492957746,21560.4800087352,-0.0605425187144256,-0.0559610705596107,-12636.858303705914,0.0605425187144256,0.0559610705596107,12636.858303705914,Lincoln-TP2-hybrids,10,11,hybrids,,3.21,29.65,,58.0,1320.57,59.0,1346.07,4.62,66.24,10.17,3.83,1.52,1.23,,172.0,PHP02 X PHB47
Lincoln-TP2-hybrids_10_12,112.5719165285376,114.0,23498487,143.9678837991396,148.0,30052144,97.32973239693018,98.0,20316803,0.1695934684312224,0.1648351648351648,35401.27978727024,-0.1330973403657288,-0.1296296296296296,-27783.00502262296,0.1330973403657288,0.1296296296296296,27783.00502262296,Lincoln-TP2-hybrids,10,12,hybrids,,4.76,43.87,,57.0,1295.5,64.0,1479.48,4.86,70.0,10.47,4.21,0.9,1.02,,210.0,F42 X OH43
Lincoln-TP2-hybrids_10_13,106.08870523415978,107.0,22143365,140.20671218109953,145.0,29264646,87.6138459695772,86.0,18287200,0.1979001938317346,0.1933174224343675,41306.71795752882,-0.1499772924494187,-0.1461538461538461,-31304.01036650492,0.1499772924494187,0.1461538461538461,31304.01036650492,Lincoln-TP2-hybrids,10,13,hybrids,,8.51,78.16,,54.0,1209.83,56.0,1268.08,5.12,66.27,12.47,4.12,1.42,1.29,,160.0,PHJ40 X LH82
Lincoln-TP2-hybrids_10_14,107.58946059605192,97.0,22411315,129.04418542130733,124.0,26880420,89.54873646209386,79.0,18653360,0.1574680689904977,0.1552062868369351,32801.22864299664,-0.1084943278476752,-0.1061946902654867,-22599.80246798214,0.1084943278476752,0.1061946902654867,22599.80246798214,Lincoln-TP2-hybrids,10,14,hybrids,,,,,,,,,,,,,,,,,
Lincoln-TP2-hybrids_10_15,111.12992408994192,111.0,23189259,140.4556472482604,143.0,29308599,92.1867176567562,91.0,19236418,0.1717626347546569,0.1682785299806576,35841.365468984746,-0.1252529036372386,-0.1236749116607773,-26136.272896175306,0.1252529036372386,0.1236749116607773,26136.272896175306,Lincoln-TP2-hybrids,10,15,hybrids,,7.52,69.07,,63.0,1451.51,63.0,1451.51,5.25,71.94,9.06,4.51,0.71,0.98,,204.0,PHW52 X PHZ51
Lincoln-TP2-hybrids_10_16,130.25212226957018,133.0,27173328,152.47081549796042,158.0,31808614,112.06911097157044,113.0,23379970,0.1241993246101287,0.1193838254172015,25910.58729948966,-0.0853462918364404,-0.0831099195710455,-17805.02874921005,0.0853462918364404,0.0831099195710455,17805.02874921005,Lincoln-TP2-hybrids,10,16,hybrids,,3.9,35.9,,58.0,1320.57,60.0,1370.73,4.34,65.51,11.6,3.97,1.56,1.22,,150.0,PHP02 X PHK56
Lincoln-TP2-hybrids_10_17,124.3568302841778,126.0,25945436,148.32646654236785,152.0,30946389,100.648470788978,100.0,20998995,0.1466226354192562,0.1436781609195402,30590.906785967352,-0.0935801290641221,-0.0925373134328358,-19524.27738755125,0.0935801290641221,0.0925373134328358,19524.27738755125,Lincoln-TP2-hybrids,10,17,hybrids,,3.15,28.73,,63.0,1451.51,68.0,1570.26,4.72,66.4,9.4,3.79,1.64,1.03,,180.0,B37 X MO17
Lincoln-TP2-hybrids_10_18,121.84390533849113,123.0,25418710,146.45391315185245,151.0,30552776,103.68794968770524,103.0,21631069,0.1390635723797334,0.136231884057971,29011.025279142847,-0.099177656173279,-0.0983606557377049,-20690.14509790096,0.099177656173279,0.0983606557377049,20690.14509790096,Lincoln-TP2-hybrids,10,18,hybrids,,6.59,59.0,,58.0,1320.57,63.0,1451.51,4.71,65.52,13.56,4.54,1.36,1.05,,187.0,LH198 X PHZ51
Lincoln-TP2-hybrids_10_19,97.98998571442267,95.0,20440907,121.6340207668191,123.0,25373100,79.69950911304781,75.0,16625477,0.1693759995342237,0.1694599627560521,35332.172254838144,-0.1190888741301013,-0.12,-24842.177321287407,0.1190888741301013,0.12,24842.177321287407,Lincoln-TP2-hybrids,10,19,hybrids,,12.27,112.43,,59.0,1346.07,60.0,1370.73,4.08,67.66,8.55,3.96,1.54,1.32,,170.0,PIONEER P0589 AMXT
