file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
MOValley-TP6-Hybrids_23_10,-0.04080794670726731,-0.04126040796112297,-5.8763443258464925,0.04080794670726731,0.04126040796112297,5.8763443258464925,125.77777777777776,123.5,18112,115.85416666666669,115.0,16683,104.51388888888889,101.0,15050,0.0032812770647629,0.0025599560028022,0.472503897325863,MOValley-TP6-Hybrids,10,23,28500.0,13.69,128.9,57.0,,,,,5.0,65.51,11.22,4.02,1.57,1.26,0.0,185.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_11,-0.049510382055295246,-0.04823200992555832,-7.129495015962515,0.049510382055295246,0.04823200992555832,7.129495015962515,130.79166666666666,130.0,18834,118.50694444444444,118.0,17065,104.97916666666669,104.0,15117,0.0024659480149924,0.0022826420411707,0.3550965141589191,MOValley-TP6-Hybrids,11,23,25500.0,16.09,150.82,51.0,,,,,5.61,70.05,9.34,3.86,0.8,1.18,0.0,209.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_12,-0.0739315838770265,-0.06926884996191927,-10.646148078291816,0.0739315838770265,0.06926884996191927,10.646148078291816,128.59722222222223,129.0,18518,111.50694444444444,112.0,16057,97.85416666666669,98.0,14091,-0.0093304033771996,-0.0068342803767416,-1.3435780863167488,MOValley-TP6-Hybrids,12,23,30000.0,20.83,195.47,60.0,,,,,5.35,69.21,8.28,4.02,0.97,1.18,0.0,201.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_13,-0.051453099380253886,-0.047431571053618296,-7.40924631075656,0.051453099380253886,0.047431571053618296,7.40924631075656,131.36111111111111,135.0,18916,118.78472222222224,121.0,17105,103.03472222222224,104.0,14837,0.0062407200997991,0.0072735928903935,0.8986636943710801,MOValley-TP6-Hybrids,13,23,29000.0,17.79,166.76,58.0,,,,,5.41,68.16,9.08,3.86,1.4,1.12,3.45,216.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_14,-0.06468329729267291,-0.06452714965942818,-9.3143948101449,0.06468329729267291,0.06452714965942818,9.3143948101449,110.67361111111111,113.0,15937,97.47916666666669,98.0,14037,88.88888888888889,89.0,12800,-0.0132870288937094,-0.010752688172043,-1.913332160694165,MOValley-TP6-Hybrids,14,23,24000.0,13.93,130.72,48.0,,,,,5.39,70.73,10.27,3.95,1.64,1.33,8.33,213.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_15,-0.06427788677809905,-0.06072531581502484,-9.256015696046264,0.06427788677809905,0.06072531581502484,9.256015696046264,133.61805555555554,138.5,19241,117.85416666666669,123.0,16971,105.20138888888889,108.0,15149,-0.0075115182262202,-0.0052580689718679,-1.0816586245757118,MOValley-TP6-Hybrids,15,23,,,,,,,,,5.24,68.68,8.52,4.18,0.91,1.18,,185.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_16,-0.04745372507784188,-0.0465891472868217,-6.833336411209231,0.04745372507784188,0.0465891472868217,6.833336411209231,119.86805555555556,120.0,17261,109.14583333333331,109.0,15717,97.07638888888889,97.5,13979,0.002054877015366,0.0053859964093357,0.2959022902127085,MOValley-TP6-Hybrids,16,23,22500.0,15.61,146.49,45.0,,,,,5.15,67.28,8.66,3.74,1.39,1.26,17.78,197.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_17,-0.061602618762436605,-0.0604523383593151,-8.870777101790871,0.061602618762436605,0.0604523383593151,8.870777101790871,139.13888888888889,143.0,20036,123.29861111111111,126.5,17755,107.35416666666669,109.5,15459,-0.0001788116460836,0.0,-0.0257488770360472,MOValley-TP6-Hybrids,17,23,30500.0,19.63,182.77,61.0,,,,,4.78,71.57,8.44,4.36,0.41,0.98,3.28,193.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_18,-0.054957743316841744,-0.05461647727272727,-7.913915037625211,0.054957743316841744,0.05461647727272727,7.913915037625211,127.40277777777776,127.0,18346,114.20833333333331,115.0,16446,101.0,101.0,14544,-3.871995449922751e-05,0.0,-0.0055756734478887,MOValley-TP6-Hybrids,18,23,29500.0,21.34,200.71,59.0,,,,,5.51,68.72,8.09,4.38,0.5,1.16,5.08,186.0,MOValley,TP6,Hybrids
MOValley-TP6-Hybrids_23_19,-0.06132980957118217,-0.058102025506376595,-8.831492578250232,0.06132980957118217,0.058102025506376595,8.831492578250232,127.21527777777776,129.0,18319,112.88888888888889,115.0,16256,98.53472222222224,100.5,14189,-0.0012260632892386,0.0024570024570024,-0.1765531136503676,MOValley-TP6-Hybrids,19,23,32000.0,19.85,188.37,64.0,,,,,5.24,68.6,8.5,3.66,1.09,0.97,0.0,194.0,MOValley,TP6,Hybrids
