file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum
MOValley-TP2-Hybrids_23_10,77.21389908044331,75.0,18330348,96.74532112874215,95.0,22967049,64.6012249522951,59.0,15336137,0.15648475698340503,0.15492957746478872,37149.0118535894,-0.10517369272617842,-0.11284046692607004,-24967.919132116578,0.10517369272617842,0.11284046692607004,24967.919132116578
MOValley-TP2-Hybrids_23_11,64.03028580092487,57.0,15203223,86.2375525400315,79.0,20476072,52.933511063940905,43.0,12568427,0.2002407736031837,0.1977401129943503,47544.768802792736,-0.14780112526037337,-0.15463917525773196,-35093.60357957253,0.14780112526037337,0.15463917525773196,35093.60357957253
MOValley-TP2-Hybrids_23_12,66.31629520773768,62.0,15749258,87.5785790380105,83.0,20798774,56.58767006194023,49.0,13438836,0.17783505615717743,0.17829457364341086,42233.51398159959,-0.13254527786218875,-0.14018691588785046,-31477.780403657624,0.13254527786218875,0.14018691588785046,31477.780403657624
MOValley-TP2-Hybrids_23_13,68.6194758252415,65.0,16345365,91.13102689722632,89.0,21707684,58.16374269005848,52.0,13854778,0.18969103989766045,0.18411552346570398,45184.97477674241,-0.1427977270438242,-0.1452991452991453,-34014.84697502006,0.1427977270438242,0.1452991452991453,34014.84697502006
MOValley-TP2-Hybrids_23_14,63.46305519918832,59.0,15137081,84.79553744371493,78.0,20225262,53.197515491493306,45.0,12688565,0.1888236976614502,0.18878504672897195,45037.85071881378,-0.1365414691028261,-0.14537444933920704,-32567.598127467878,0.1365414691028261,0.14537444933920704,32567.598127467878
MOValley-TP2-Hybrids_23_15,58.42878002727368,53.0,13925039,78.72216091471729,72.0,18761459,49.045895311024864,40.0,11688863,0.19489517623825273,0.19205298013245034,46448.39287698158,-0.14467560672441127,-0.15121951219512195,-34479.813972595315,0.14467560672441127,0.15121951219512195,34479.813972595315
MOValley-TP2-Hybrids_23_16,68.72672352076765,65.0,16415859,88.65173723190026,85.0,21175088,58.245104811665556,52.0,13912251,0.1658260260357928,0.16717325227963525,39608.70710083136,-0.12011441954012883,-0.13043478260869565,-28690.16990809655,0.12011441954012883,0.13043478260869565,28690.16990809655
MOValley-TP2-Hybrids_23_17,69.9369031592456,69.0,16675965,91.45512764056818,90.0,21806835,59.56772058731018,55.0,14203506,0.17555453613015154,0.1743119266055046,41859.75025848173,-0.13013706435222805,-0.13653136531365315,-31030.272035338312,0.13013706435222805,0.13653136531365315,31030.272035338312
MOValley-TP2-Hybrids_23_18,70.75577386313651,69.0,16889757,93.81320458306277,92.0,22393681,60.22720093839676,55.0,14376534,0.1786974473664491,0.18032786885245902,42655.974173608236,-0.13437356151375743,-0.14285714285714285,-32075.64100114147,0.13437356151375743,0.14285714285714285,32075.64100114147
MOValley-TP2-Hybrids_23_19,75.63298101857089,76.0,18054122,96.74409212968199,97.0,23093492,63.72316270574386,61.0,15211165,0.16123391710604695,0.1623931623931624,38487.66465063315,-0.11077690194983951,-0.12217194570135746,-26443.22193374034,0.11077690194983951,0.12217194570135746,26443.22193374034
MOValley-TP2-Hybrids_23_2,69.24921501274946,65.0,16430415,88.48011295387015,84.0,20993234,56.8645565085453,49.0,13491969,0.16737858570254363,0.16731517509727625,39713.080136714016,-0.11198639170745964,-0.11956521739130435,-26570.45122847041,0.11198639170745964,0.11956521739130435,26570.45122847041
MOValley-TP2-Hybrids_23_20,72.75702881089576,71.0,17361646,95.30047145102148,95.0,22741075,61.3685322158198,57.0,14644066,0.17571728762452385,0.1746987951807229,41930.537759402,-0.12423807671473618,-0.13333333333333333,-29646.31105605392,0.12423807671473618,0.13333333333333333,29646.31105605392
MOValley-TP2-Hybrids_23_21,60.18023072691156,55.0,14329936,83.850384474859,78.0,19966202,49.83215394112978,41.0,11865883,0.214533091156547,0.21305182341650672,51083.976066923504,-0.15898064827334504,-0.16666666666666666,-37855.9950249041,0.15898064827334504,0.16666666666666666,37855.9950249041
