file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
MOValley-TP3-Hybrids_23_10,115.96671760207154,116.0,30811893,123.1963860953872,124.0,32732787,82.65045013850416,78.0,21959894,0.1012005340776037,0.1020408163265306,26888.577102283,-0.0136885724588354,-0.0258064516129032,-3636.998948022733,0.0136885724588354,0.0258064516129032,3636.998948022733,MOValley-TP3-Hybrids,23,10,Hybrids,28500.0,13.69,128.9,57.0,,,,,5.0,65.51,11.22,4.02,1.57,1.26,0.0,185.0,PHP02 X LH145
MOValley-TP3-Hybrids_23_11,79.35192797319303,74.0,21099757,97.11646063760573,93.0,25823364,55.477749237498166,48.0,14751589,0.1738533978395429,0.1782945736434108,46227.79233893232,-0.0887784209047794,-0.1,-23606.27089700176,0.0887784209047794,0.1,23606.27089700176,MOValley-TP3-Hybrids,23,11,Hybrids,25500.0,16.09,150.82,51.0,,,,,5.61,70.05,9.34,3.86,0.8,1.18,0.0,209.0,LH82 X W606S
MOValley-TP3-Hybrids_23_12,67.69931743439619,62.0,17991906,87.34164402736283,81.0,23212090,53.72061468531995,47.0,14276898,0.1752340751944855,0.1764705882352941,46570.55829183685,-0.1186795317892831,-0.1246200607902735,-31540.509727383454,0.1186795317892831,0.1246200607902735,31540.509727383454,MOValley-TP3-Hybrids,23,12,Hybrids,30000.0,20.83,195.47,60.0,,,,,5.35,69.21,8.28,4.02,0.97,1.18,0.0,201.0,PIONEER 1311 AMXT
MOValley-TP3-Hybrids_23_13,77.80609961143941,75.0,20684985,96.64173810338796,95.0,25692496,62.21290337141202,57.0,16539487,0.1606524425662013,0.1612903225806451,42709.93381355233,-0.1020275759868225,-0.109375,-27124.337158824743,0.1020275759868225,0.109375,27124.337158824743,MOValley-TP3-Hybrids,23,13,Hybrids,29000.0,17.79,166.76,58.0,,,,,5.41,68.16,9.08,3.86,1.4,1.12,3.45,216.0,B73 X PHM49
MOValley-TP3-Hybrids_23_14,78.78777956142362,73.0,20957313,93.45068553404738,87.0,24857602,60.98237198163889,53.0,16221128,0.1398600081727772,0.1428571428571428,37202.34259393422,-0.0749837367853991,-0.0835734870317002,-19945.44903370581,0.0749837367853991,0.0835734870317002,19945.44903370581,MOValley-TP3-Hybrids,23,14,Hybrids,24000.0,13.93,130.72,48.0,,,,,5.39,70.73,10.27,3.95,1.64,1.33,8.33,213.0,PHN46 X PHK56
MOValley-TP3-Hybrids_23_15,60.73359016763136,55.0,16158779,79.72218296624821,73.0,21210884,47.72948583026385,39.0,12698907,0.1913797374460082,0.1918367346938775,50918.49294488494,-0.1314402817094073,-0.1372549019607843,-34971.001351604915,0.1314402817094073,0.1372549019607843,34971.001351604915,MOValley-TP3-Hybrids,23,15,Hybrids,,,,,,,,,5.24,68.68,8.52,4.18,0.91,1.18,,185.0,PHB47 X PHJ89
MOValley-TP3-Hybrids_23_16,78.24942990348745,76.0,20828668,96.39345863560033,94.0,25658300,60.22623533433765,55.0,16031200,0.1631114762016731,0.1636363636363636,43417.50206978997,-0.0963266533342555,-0.1020408163265306,-25640.51756447215,0.0963266533342555,0.1020408163265306,25640.51756447215,MOValley-TP3-Hybrids,23,16,Hybrids,22500.0,15.61,146.49,45.0,,,,,5.15,67.28,8.66,3.74,1.39,1.26,17.78,197.0,PHK56 X 3IIH6
MOValley-TP3-Hybrids_23_17,79.04135267733041,79.0,21040650,98.79987077288334,99.0,26300328,62.21432542693784,58.0,16561329,0.1657727392478357,0.1666666666666666,44128.371642295366,-0.1016511608317082,-0.1105121293800539,-27059.335711079075,0.1016511608317082,0.1105121293800539,27059.335711079075,MOValley-TP3-Hybrids,23,17,Hybrids,30500.0,19.63,182.77,61.0,,,,,4.78,71.57,8.44,4.36,0.41,0.98,3.28,193.0,PHW52 X PHN82
MOValley-TP3-Hybrids_23_18,78.27839494817145,77.0,20850155,99.43854346952796,99.0,26486351,61.14729369009495,56.0,16287132,0.1709361633874885,0.1728813559322033,45530.38554372805,-0.1089186011189194,-0.1170568561872909,-29011.44967543428,0.1089186011189194,0.1170568561872909,29011.44967543428,MOValley-TP3-Hybrids,23,18,Hybrids,29500.0,21.34,200.71,59.0,,,,,5.51,68.72,8.09,4.38,0.5,1.16,5.08,186.0,LH82 X PHJ89
MOValley-TP3-Hybrids_23_19,82.298632875621,81.0,21900160,102.2291793495825,102.0,27203798,64.24808910734819,60.0,17096802,0.166028803349091,0.1643835616438356,44181.26074401323,-0.098851240846755,-0.10625,-26304.908296766607,0.098851240846755,0.10625,26304.908296766607,MOValley-TP3-Hybrids,23,19,Hybrids,32000.0,19.85,188.37,64.0,,,,,5.24,68.6,8.5,3.66,1.09,0.97,0.0,194.0,LH74 X PHM49
MOValley-TP3-Hybrids_23_2,80.1600647794065,78.0,21234321,97.41976375901758,95.0,25806398,61.74481972374377,56.0,16356141,0.1527586121059894,0.1543624161073825,40465.60358826449,-0.085681948567595,-0.0909090909090909,-22697.06249360736,0.085681948567595,0.0909090909090909,22697.06249360736,MOValley-TP3-Hybrids,23,2,Hybrids,27000.0,16.71,156.64,54.0,,,,,5.01,68.78,8.48,3.97,0.72,1.11,3.7,182.0,PHP02 X PHN46
MOValley-TP3-Hybrids_23_20,83.93457568742801,83.0,22371670,104.6120688684873,107.0,27882987,67.15873968717288,65.0,17900289,0.1674800747920728,0.1658291457286432,44639.63669485471,-0.1065553816455038,-0.1117318435754189,-28400.951757647646,0.1065553816455038,0.1117318435754189,28400.951757647646,MOValley-TP3-Hybrids,23,20,Hybrids,30500.0,17.92,166.09,61.0,,,,,5.56,71.87,7.83,3.99,1.85,1.25,11.48,201.0,B14A X MO17
MOValley-TP3-Hybrids_23_21,60.700512909023374,56.0,16177840,83.26228899252962,78.0,22190982,47.388385068231536,40.0,12629905,0.2115942923839948,0.2112676056338028,56393.89921188993,-0.1494234832961417,-0.1547619047619047,-39824.19734460439,0.1494234832961417,0.1547619047619047,39824.19734460439,MOValley-TP3-Hybrids,23,21,Hybrids,,,,,,,,,,,,,,,,,
MOValley-TP3-Hybrids_23_22,84.51552778715899,80.0,22522543,100.89985365304514,97.0,26888802,65.10807910240534,58.0,17350652,0.1552203557088083,0.1515151515151515,41364.67259284033,-0.0834728582544985,-0.087719298245614,-22244.68199624132,0.0834728582544985,0.087719298245614,22244.68199624132,MOValley-TP3-Hybrids,23,22,Hybrids,27000.0,17.14,161.93,54.0,,,,,5.17,67.53,8.35,4.4,0.98,1.19,3.7,196.0,PHP02 X PHG47
MOValley-TP3-Hybrids_23_23,86.83500026241012,82.0,23163931,101.58137337961747,99.0,27097644,62.82004288531178,56.0,16757749,0.1504212165448031,0.15,40126.0628830586,-0.0684293899153428,-0.0744186046511627,-18254.087195037035,0.0684293899153428,0.0744186046511627,18254.087195037035,MOValley-TP3-Hybrids,23,23,Hybrids,30500.0,12.04,112.61,61.0,,,,,5.72,72.42,7.25,3.72,1.58,1.3,4.92,217.0,B84 X 3IIH6
MOValley-TP3-Hybrids_23_24,93.81853590145376,93.0,25026845,113.97059132247206,117.0,30402567,70.5191409442266,67.0,18811545,0.1652784997925825,0.1646903820816864,44089.36204766972,-0.0879882267190091,-0.0967741935483871,-23471.56338310945,0.0879882267190091,0.0967741935483871,23471.56338310945,MOValley-TP3-Hybrids,23,24,Hybrids,31500.0,16.78,159.23,63.0,,,,,5.27,67.94,7.83,4.13,1.08,1.1,0.0,177.0,PHP02 X PHK76
MOValley-TP3-Hybrids_23_25,99.76859751870713,100.0,26625944,115.76516897297256,118.0,30895061,73.58513472498566,70.0,19638180,0.1432108527956129,0.1428571428571428,38219.6827615348,-0.0610111833127036,-0.0704225352112676,-16282.481568944406,0.0610111833127036,0.0704225352112676,16282.481568944406,MOValley-TP3-Hybrids,23,25,Hybrids,28000.0,15.81,148.86,56.0,,,,,5.3,66.72,10.44,4.26,1.32,1.13,3.57,180.0,PHP02 X LH145
MOValley-TP3-Hybrids_23_26,80.44594346583567,74.0,21478182,99.866151789025,96.0,26663164,60.74344261374064,54.0,16217831,0.1768396377528818,0.1748251748251748,47214.23804400416,-0.1049120702190784,-0.1081967213114754,-28010.36871572153,0.1049120702190784,0.1081967213114754,28010.36871572153,MOValley-TP3-Hybrids,23,26,Hybrids,28000.0,17.04,160.8,56.0,,,,,5.72,66.8,9.23,3.93,1.6,1.22,0.0,212.0,PHK56 X LH145
MOValley-TP3-Hybrids_23_27,89.10369104758907,89.0,23780795,107.56735946404685,109.0,28708545,63.91188096924189,60.0,17057378,0.170255795854823,0.1703056768558952,45439.399099897855,-0.0862131305763118,-0.0939226519337016,-23009.336206381304,0.0862131305763118,0.0939226519337016,23009.336206381304,MOValley-TP3-Hybrids,23,27,Hybrids,27500.0,18.4,173.64,55.0,,,,,5.02,68.59,8.58,4.0,0.86,1.07,3.64,198.0,PHK76 X LH82
MOValley-TP3-Hybrids_23_28,81.28737971595756,79.0,21726816,99.2532923781446,97.0,26528817,63.27408299785996,58.0,16912150,0.1543682439194955,0.1555555555555555,41260.16170777843,-0.0914349962883685,-0.0967741935483871,-24439.111547940287,0.0914349962883685,0.0967741935483871,24439.111547940287,MOValley-TP3-Hybrids,23,28,Hybrids,23500.0,16.66,155.82,47.0,,,,,4.6,69.37,8.63,3.78,0.53,1.05,6.38,195.0,PHP02 X PHN46
MOValley-TP3-Hybrids_23_29,71.92127580017947,68.0,19234626,94.48180900388871,91.0,25268215,56.61316556984744,51.0,15140625,0.1899878220756162,0.192200557103064,50810.34313590281,-0.1288341866031695,-0.1377245508982036,-34455.414865151666,0.1288341866031695,0.1377245508982036,34455.414865151666,MOValley-TP3-Hybrids,23,29,Hybrids,28000.0,20.9,195.03,56.0,,,,,5.29,69.21,7.08,3.9,0.97,0.94,0.0,220.0,PHK56 X W606S
MOValley-TP3-Hybrids_23_3,87.34740894508398,86.0,23142696,103.96951500283072,103.0,27546723,67.24173995093413,63.0,17815699,0.1453103353533108,0.1470588235294117,38499.9733518597,-0.076053130145161,-0.0837988826815642,-20150.27683196041,0.076053130145161,0.0837988826815642,20150.27683196041,MOValley-TP3-Hybrids,23,3,Hybrids,24000.0,13.8,130.08,48.0,,,,,5.17,68.95,9.38,4.53,0.93,0.96,0.0,213.0,LH198 X PHB47
MOValley-TP3-Hybrids_23_30,87.92440101566503,83.0,23511952,102.54402399302946,98.0,27421400,66.16255127874321,59.0,17692594,0.1444869005067373,0.14214463840399,38637.38655140715,-0.0687578296774031,-0.0729613733905579,-18386.59999186405,0.0687578296774031,0.0729613733905579,18386.59999186405,MOValley-TP3-Hybrids,23,30,Hybrids,29500.0,18.18,171.18,59.0,,,,,4.9,68.49,8.09,3.78,1.13,1.13,3.39,194.0,PHP02 X PHG47
