file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp,genotype
Scottsbluff-TP2-n150_10_10,-0.0061894489503669,-0.0049506163762468,-0.990311832058706,0.0061894489503669,0.0049506163762468,0.990311832058706,116.2,116.0,18592,114.6125,114.0,18338,94.50625,94.0,15121,0.042787447969245,0.0436689549961861,6.84599167507921,Scottsbluff-TP2-n150,10,10,,,,,,,,,,,,,,,,,Scottsbluff,TP2,n150,PHB47 X 3IIH6
Scottsbluff-TP2-n150_10_11,-0.0075244224973598,-0.0084745762711864,-1.2039075995775783,0.0075244224973598,0.0084745762711864,1.2039075995775783,115.9,117.0,18544,114.01875,115.0,18243,93.8,95.0,15008,0.0425941566648099,0.042316258351893,6.815065066369599,Scottsbluff-TP2-n150,10,11,,15.6,109.78,,66.0,1221.26,70.0,1309.51,9.45,67.97,10.59,4.05,1.07,1.3,,150.0,Scottsbluff,TP2,n150,LH145 X LH162
Scottsbluff-TP2-n150_10_12,0.009990576006763,0.0100708502024291,1.5984921610820906,-0.009990576006763,-0.0100708502024291,-1.5984921610820906,107.00625,106.0,17121,108.99375,108.0,17439,88.41875,87.0,14147,0.0552643497406224,0.0565185910813918,8.842295958499596,Scottsbluff-TP2-n150,10,12,,22.63,150.17,,70.0,1309.51,76.0,1437.65,9.61,72.19,8.32,3.86,0.85,1.18,,180.0,Scottsbluff,TP2,n150,PHK76 X W606S
Scottsbluff-TP2-n150_10_13,-0.0035228702333136,-0.004528224567155,-0.5636592373301816,0.0035228702333136,0.004528224567155,0.5636592373301816,100.625,102.0,16100,99.7875,100.0,15966,82.6125,83.0,13218,0.0433428789857587,0.0436903499469777,6.934860637721395,Scottsbluff-TP2-n150,10,13,,24.61,165.53,,71.0,1328.45,77.0,1459.11,8.34,72.6,7.46,3.3,1.25,1.17,,183.0,Scottsbluff,TP2,n150,PHN46 X PHB47
Scottsbluff-TP2-n150_10_14,0.0133675627733254,0.0135924718617381,2.138810043732073,-0.0133675627733254,-0.0135924718617381,-2.138810043732073,105.68125,103.0,16909,108.325,107.0,17332,87.10625,86.0,13937,0.0591889913714692,0.0589625921290502,9.470238619435086,Scottsbluff-TP2-n150,10,14,,21.31,140.02,,74.0,1393.15,76.0,1437.65,8.43,70.42,7.72,3.62,1.34,1.21,,168.0,Scottsbluff,TP2,n150,LH74 X PHM49
Scottsbluff-TP2-n150_10_15,0.0126609437906575,0.0114289446185997,2.0257510065052013,-0.0126609437906575,-0.0114289446185997,-2.0257510065052013,98.225,96.5,15716,100.45,99.0,16072,81.23125,80.0,12997,0.0576940862613206,0.0572886584628347,9.2310538018113,Scottsbluff-TP2-n150,10,15,,23.19,156.55,,78.0,1483.45,82.0,1573.4,8.11,71.84,8.88,3.84,1.52,1.24,,203.0,Scottsbluff,TP2,n150,LH123HT X 3IIH6
Scottsbluff-TP2-n150_10_16,0.0303377569752529,0.0292857142857142,4.854041116040478,-0.0303377569752529,-0.0292857142857142,-4.854041116040478,100.7,101.0,16112,106.69375,107.0,17071,84.68125,84.0,13549,0.0714407117617058,0.0697184004114697,11.43051388187293,Scottsbluff-TP2-n150,10,16,,29.62,200.92,,68.0,1263.61,72.0,1350.26,9.0,72.07,8.21,3.44,1.52,1.3,,180.0,Scottsbluff,TP2,n150,PIONEER P0589 AMXT
Scottsbluff-TP2-n150_11_10,-0.0057790150651246,-0.0044052863436123,-0.9246424104199474,0.0057790150651246,0.0044052863436123,0.9246424104199474,112.63125,112.5,18021,111.175,112.0,17788,91.5875,92.0,14654,0.0432339849864208,0.0447058823529411,6.9174375978273375,Scottsbluff-TP2-n150,11,10,,,,,,,,,,,,,,,,,Scottsbluff,TP2,n150,LH198 X PHZ51
Scottsbluff-TP2-n150_11_11,0.0012432051284582,0.0,0.1989128205533128,-0.0012432051284582,0.0,-0.1989128205533128,110.3625,111.0,17658,110.50625,110.0,17681,90.4125,91.0,14466,0.0485702713985814,0.0486862732802408,7.771243423773032,Scottsbluff-TP2-n150,11,11,,21.5,140.56,,84.0,1622.26,88.0,1717.51,11.07,72.73,6.81,4.17,1.06,1.27,,216.0,Scottsbluff,TP2,n150,2369 X PHZ51
Scottsbluff-TP2-n150_11_12,-0.0009706353279831,0.0,-0.1553016524772988,0.0009706353279831,0.0,0.1553016524772988,110.8375,112.0,17734,110.44375,111.0,17671,89.14375,89.0,14263,0.0504712638407571,0.0504597773709572,8.075402214521137,Scottsbluff-TP2-n150,11,12,,23.53,166.16,,69.0,1286.36,76.0,1437.65,8.9,70.97,7.49,3.41,1.31,1.3,,175.0,Scottsbluff,TP2,n150,PHK76 X 3IIH6
