file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Scottsbluff-TP4-n150_10_10,0.11307997719611539,0.0684931506849315,17.979716374182345,-0.11307997719611539,-0.0684931506849315,-17.979716374182345,61.37106918238994,65.0,9758,72.44654088050315,75.0,11519,59.85534591194968,62.0,9517,0.1034922635671334,0.0806451612903225,16.455269907174216,Scottsbluff-TP4-n150,10,10,,,,,,,,,,,,,,,,,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_10_11,0.17426903334910118,0.11940298507462686,27.185969202459784,-0.17426903334910118,-0.11940298507462686,-27.185969202459784,55.99358974358975,59.0,8735,72.72435897435898,75.0,11345,57.32051282051282,58.0,8942,0.1441134733292179,0.1194968553459119,22.481701839358,Scottsbluff-TP4-n150,10,11,,15.6,109.78,,66.0,1221.26,70.0,1309.51,9.45,67.97,10.59,4.05,1.07,1.3,,150.0,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_10_12,0.15437528814332105,0.10559006211180125,23.310668509641477,-0.15437528814332105,-0.10559006211180125,-23.310668509641477,61.85430463576159,66.0,9340,79.12582781456953,81.0,11948,64.13245033112582,67.0,9684,0.1269213945950645,0.1070110701107011,19.16513058385474,Scottsbluff-TP4-n150,10,12,,22.63,150.17,,70.0,1309.51,76.0,1437.65,9.61,72.19,8.32,3.86,0.85,1.18,,180.0,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_10_13,0.1357491143202704,0.1067629179331307,20.6338653766811,-0.1357491143202704,-0.1067629179331307,-20.6338653766811,63.91447368421053,68.0,9715,79.92105263157895,83.0,12148,64.76315789473684,67.5,9844,0.1169064299505883,0.1051841314999209,17.769777352489427,Scottsbluff-TP4-n150,10,13,,24.61,165.53,,71.0,1328.45,77.0,1459.11,8.34,72.6,7.46,3.3,1.25,1.17,,183.0,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_10_14,0.11653798713813783,0.09210526315789473,17.13108410930626,-0.11653798713813783,-0.09210526315789473,-17.13108410930626,68.10884353741497,66.0,10012,82.29931972789116,81.0,12098,67.38775510204081,67.0,9906,0.1081835027608879,0.0958904109589041,15.902974905850533,Scottsbluff-TP4-n150,10,14,,21.31,140.02,,74.0,1393.15,76.0,1437.65,8.43,70.42,7.72,3.62,1.34,1.21,,168.0,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_10_15,0.11295750268243772,0.08771929824561403,16.37883788895347,-0.11295750268243772,-0.08771929824561403,-16.37883788895347,68.02758620689656,72.0,9864,81.7448275862069,84.0,11853,67.54482758620689,69.0,9794,0.1024220151957449,0.0927835051546391,14.851192203383016,Scottsbluff-TP4-n150,10,15,,23.19,156.55,,78.0,1483.45,82.0,1573.4,8.11,71.84,8.88,3.84,1.52,1.24,,203.0,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_10_16,0.12871548278422348,0.08536585365853659,19.436037900417745,-0.12871548278422348,-0.08536585365853659,-19.436037900417745,66.86754966887418,72.0,10097,81.49668874172185,86.0,12306,66.96026490066225,69.0,10111,0.1120008442758729,0.0909090909090909,16.91212748565681,Scottsbluff-TP4-n150,10,16,,29.62,200.92,,68.0,1263.61,72.0,1350.26,9.0,72.07,8.21,3.44,1.52,1.3,,180.0,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_11_10,0.14368287162983925,0.10867231301443397,22.127162230995246,-0.14368287162983925,-0.10867231301443397,-22.127162230995246,58.422077922077925,60.0,8997,73.90259740259741,75.0,11381,56.91558441558441,59.0,8765,0.1365179894876573,0.1178410274210343,21.02377038109923,Scottsbluff-TP4-n150,11,10,,,,,,,,,,,,,,,,,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_11_11,0.15473423062662997,0.11764705882352941,23.674337285874387,-0.15473423062662997,-0.11764705882352941,-23.674337285874387,61.56209150326797,65.0,9419,80.24183006535948,81.0,12277,61.55555555555556,62.0,9418,0.1429098199220404,0.1242603550295858,21.8652024480722,Scottsbluff-TP4-n150,11,11,,21.5,140.56,,84.0,1622.26,88.0,1717.51,11.07,72.73,6.81,4.17,1.06,1.27,,216.0,Scottsbluff,TP4,n150
Scottsbluff-TP4-n150_11_12,0.1099106607376473,0.09413113728760555,16.70642043212239,-0.1099106607376473,-0.09413113728760555,-16.70642043212239,68.52631578947368,71.0,10416,82.82894736842105,84.0,12590,66.42763157894737,67.0,10097,0.1097121994378885,0.102518800398659,16.676254314559063,Scottsbluff-TP4-n150,11,12,,23.53,166.16,,69.0,1286.36,76.0,1437.65,8.9,70.97,7.49,3.41,1.31,1.3,,175.0,Scottsbluff,TP4,n150
