file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,GNDVI_mean,GNDVI_median,GNDVI_sum,SAVI_mean,SAVI_median,SAVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Scottsbluff-TP3-n150_10_11,513.404,496.5,128351,697.58,701.5,174395,511.0,512.0,127750,0.1776388886584695,0.1615494760552527,44.409722164617385,0.1920318398299426,0.1663200767316754,48.00795995748566,-0.1920318398299426,-0.1663200767316754,-48.00795995748566,0.7780521664089536,0.7858161860573136,194.5130416022384,0.704201962821699,0.7126307804016343,176.05049070542475,1.1669435423569945,1.1786045264784146,291.73588558924854,0.3151549785591397,0.3273619637144762,78.78874463978492,2068.4,2114.5,517100,480.596,478.5,120149,3987.9,4058.5,996975,Scottsbluff-TP3-n150,10,11,n150,,15.6,109.78,,66.0,1221.26,70.0,1309.51,9.45,67.97,10.59,4.05,1.07,1.3,,150.0,LH145 X LH162
Scottsbluff-TP3-n150_10_12,494.4308300395257,478.0,125091,661.2411067193676,661.0,167294,495.9486166007905,496.0,125475,0.1611537721910856,0.1511194029850746,40.77190436434466,0.1720430214191221,0.1572327044025157,43.5268844190379,-0.1720430214191221,-0.1572327044025157,-43.5268844190379,0.780127490465258,0.7919178388033044,197.37225508771027,0.7127330662996401,0.721937770775896,180.3214657738089,1.1700548352303966,1.187744167875879,296.0238733132903,0.3220026377149937,0.3319448894585068,81.46666734189341,2007.3833992094865,2048.0,507868,461.7786561264822,460.0,116830,3930.4387351778655,4065.0,994401,Scottsbluff-TP3-n150,10,12,n150,,22.63,150.17,,70.0,1309.51,76.0,1437.65,9.61,72.19,8.32,3.86,0.85,1.18,,180.0,PHK76 X W606S
Scottsbluff-TP3-n150_10_13,515.2292490118577,505.0,130353,704.9881422924901,706.0,178362,504.8102766798419,510.0,127717,0.1846122877321017,0.1698425849212924,46.70690879622173,0.1939883689715181,0.1720345640219953,49.07905734979409,-0.1939883689715181,-0.1720345640219953,-49.07905734979409,0.7817776680735954,0.7859809207797595,197.78975002261964,0.7083678552677565,0.7124081948202551,179.2170673827424,1.1725359594203308,1.1788491446345255,296.6515977333437,0.3203745361930487,0.3274534509309814,81.05475765684132,2104.9407114624505,2135.0,532550,479.6837944664032,473.0,121360,4099.739130434783,4121.0,1037234,Scottsbluff-TP3-n150,10,13,n150,,24.61,165.53,,71.0,1328.45,77.0,1459.11,8.34,72.6,7.46,3.3,1.25,1.17,,183.0,PHN46 X PHB47
Scottsbluff-TP3-n150_10_14,592.0237154150198,587.0,149782,735.4901185770751,746.0,186079,553.4308300395257,558.0,140018,0.1563203450814384,0.1308900523560209,39.549047305603935,0.1557471890132648,0.1180811808118081,39.40403882035601,-0.1557471890132648,-0.1180811808118081,-39.40403882035601,0.747459374875687,0.7441020191285866,189.1072218435488,0.6881434548843784,0.6866063612489057,174.10029408574775,1.1210570421529824,1.1160344277972585,283.62743166470455,0.3104104432568553,0.3193377709506741,78.53384214398439,2049.395256916996,2083.0,518497,513.3320158102766,511.0,129873,3905.5375494071145,4016.0,988101,Scottsbluff-TP3-n150,10,14,n150,,21.31,140.02,,74.0,1393.15,76.0,1437.65,8.43,70.42,7.72,3.62,1.34,1.21,,168.0,LH74 X PHM49
Scottsbluff-TP3-n150_10_15,569.5328185328185,585.0,147509,732.2162162162163,743.0,189644,532.5830115830116,546.0,137939,0.1629981726130334,0.1502472422974515,42.21652670677567,0.1580175006729947,0.1370911621433542,40.926532674305626,-0.1580175006729947,-0.1370911621433542,-40.926532674305626,0.7452572221522311,0.7506556384910228,193.02162053742785,0.6801767178483821,0.6848300740459464,176.16576992273096,1.1177541760497065,1.1258698940998486,289.498331596874,0.3033700761897679,0.3144835545297172,78.57284973314991,2037.4401544401544,2062.0,527697,483.2123552123552,486.0,125152,3826.401544401545,3916.0,991038,Scottsbluff-TP3-n150,10,15,n150,,23.19,156.55,,78.0,1483.45,82.0,1573.4,8.11,71.84,8.88,3.84,1.52,1.24,,203.0,LH123HT X 3IIH6
Scottsbluff-TP3-n150_10_16,539.7537878787879,534.5,142495,710.8257575757576,721.5,187658,521.8371212121212,531.0,137765,0.1608689666265728,0.15229388530212,42.46940718941522,0.1611211011200626,0.1509008358008091,42.53597069569653,-0.1611211011200626,-0.1509008358008091,-42.53597069569653,0.758402956658676,0.7692153961958539,200.21838055789044,0.6899953090258348,0.6968813731326892,182.1587615828204,1.137471504815282,1.1537035510278466,300.2924772712344,0.3067069607833705,0.3134316451503649,80.97063764680982,2042.4469696969695,2078.0,539206,481.3863636363636,485.0,127086,3860.469696969697,3962.5,1019164,Scottsbluff-TP3-n150,10,16,n150,,29.62,200.92,,68.0,1263.61,72.0,1350.26,9.0,72.07,8.21,3.44,1.52,1.3,,180.0,PIONEER P0589 AMXT
Scottsbluff-TP3-n150_10_17,630.0509803921568,597.0,160663,787.9960784313726,785.0,200939,576.1137254901961,569.0,146909,0.145793628875118,0.1514071962949768,37.17737536315511,0.1302755294201109,0.1336996336996337,33.22026000212828,-0.1302755294201109,-0.1336996336996337,-33.22026000212828,0.7322562187856347,0.7496081504702194,186.72533579033689,0.6733681875195533,0.6822218023805026,171.7088878174861,1.0982635529130715,1.124302086394358,280.05720599283325,0.2950137196111642,0.2984358061019049,75.22849850084688,2186.5372549019608,2227.0,557567,518.4980392156863,509.0,132217,4028.1372549019607,4156.0,1027175,Scottsbluff-TP3-n150,10,17,n150,,33.21,216.31,,73.0,1371.7,76.0,1437.65,8.28,71.42,7.48,3.85,2.44,1.58,,188.0,SYNGENTA NK0760-3111
Scottsbluff-TP3-n150_11_11,518.597609561753,487.0,130168,693.8247011952192,690.0,174150,501.2310756972112,491.0,125809,0.1775739756049383,0.1675675675675675,44.57106787683952,0.1843860210376323,0.1702325581395349,46.28089128044571,-0.1843860210376323,-0.1702325581395349,-46.28089128044571,0.7732050903355143,0.7880794701986755,194.0744776742141,0.702371051825578,0.7118934348239772,176.2951340082201,1.159673001523967,1.1820006019865557,291.0779233825157,0.3098803043537805,0.3158171308460326,77.77995639279892,2071.776892430279,2107.0,520016,468.8924302788845,461.0,117692,3945.027888446215,3981.0,990202,Scottsbluff-TP3-n150,11,11,n150,,21.5,140.56,,84.0,1622.26,88.0,1717.51,11.07,72.73,6.81,4.17,1.06,1.27,,216.0,2369 X PHZ51
Scottsbluff-TP3-n150_11_12,528.5,504.5,134239,699.2598425196851,697.5,177612,520.2795275590552,516.5,132151,0.157987990774003,0.1526559510337564,40.12894965659677,0.1643215602372915,0.1546936474426638,41.73767630027204,-0.1643215602372915,-0.1546936474426638,-41.73767630027204,0.7778486647753134,0.7879398354846583,197.5735608529296,0.7139548588687615,0.7215775085549447,181.34453415266543,1.166647065303253,1.181796471529066,296.32835458702624,0.3221199526850929,0.3278288727493143,81.8184679820136,2139.8976377952754,2166.5,543534,476.24015748031496,484.5,120965,4183.968503937008,4286.5,1062728,Scottsbluff-TP3-n150,11,12,n150,,23.53,166.16,,69.0,1286.36,76.0,1437.65,8.9,70.97,7.49,3.41,1.31,1.3,,175.0,PHK76 X 3IIH6
Scottsbluff-TP3-n150_11_13,518.4435797665369,507.0,133240,693.1634241245137,696.0,178143,506.2451361867704,504.0,130105,0.1638057309810211,0.1542619542619542,42.09807286212243,0.1648726298629203,0.1528316524437548,42.37226587477052,-0.1648726298629203,-0.1528316524437548,-42.37226587477052,0.7826337291359784,0.7891325071496663,201.13686838794644,0.7167951797232262,0.7210857592446892,184.21636118886912,1.1738223706518742,1.1835859307978267,301.67234925753166,0.3203966819032123,0.32330615687377,82.34194724912557,2145.303501945525,2193.0,551343,476.1634241245136,480.0,122374,4178.634241245136,4292.0,1073909,Scottsbluff-TP3-n150,11,13,n150,,23.93,165.46,,67.0,1240.4,72.0,1350.26,8.39,71.39,7.84,3.69,1.59,1.31,,170.0,PHB47 X 3IIH6
