file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum
Scottsbluff-TP1-n150_10_11,184.34120489161123,194.0,25791731,169.9024250784416,178.0,23771558,115.74966586378679,121.0,16194883,0.06889461807373383,0.040892193308550186,9639.252698550321,0.04012949182442254,0.053864168618266976,5614.637589630431,-0.04012949182442254,-0.053864168618266976,-5614.637589630431
Scottsbluff-TP1-n150_10_12,180.21770832588695,190.0,25210475,164.3971863405986,172.0,22997358,111.26097834711807,117.0,15564187,0.06780516817646835,0.04440497335701599,9485.197171037982,0.04563257874742905,0.05623471882640587,6383.495808399102,-0.04563257874742905,-0.05623471882640587,-6383.495808399102
Scottsbluff-TP1-n150_10_13,179.32897953931283,187.0,25084179,164.95403851928108,173.0,23073441,107.67099901342598,111.0,15060804,0.07728036076698959,0.05517241379310345,10809.82230336497,0.040797038864342584,0.05426356589147287,5706.608202266512,-0.040797038864342584,-0.05426356589147287,-5706.608202266512
Scottsbluff-TP1-n150_10_14,185.8524739024739,197.0,25993327,171.17555412555413,181.0,23940613,120.0934076934077,126.0,16796264,0.06330473379840369,0.03550295857988166,8853.80006904474,0.040437937620050095,0.05286343612334802,5655.649955540206,-0.040437937620050095,-0.05286343612334802,-5655.649955540206
Scottsbluff-TP1-n150_10_15,179.84645092079384,191.0,25147030,163.46290720543536,174.0,22856201,109.36117289468979,116.0,15291426,0.06820827800669621,0.040229885057471264,9537.222472286297,0.048201460691012464,0.061855670103092786,6739.769241120818,-0.048201460691012464,-0.061855670103092786,-6739.769241120818
Scottsbluff-TP1-n150_10_16,187.3716347666867,197.0,26196803,166.9491316911281,175.0,23341492,115.71752782307671,122.0,16178699,0.053592903105808866,0.03363914373088685,7492.930969029349,0.05934359489148137,0.06467661691542288,8296.946688967793,-0.05934359489148137,-0.06467661691542288,-8296.946688967793
Scottsbluff-TP1-n150_10_17,186.87527540129904,197.0,26124416,170.30175398437723,180.0,23807504,117.45536352971473,124.0,16419790,0.06253662174462489,0.036823023359631515,8742.36957341158,0.046571888380644855,0.058823529411764705,6510.563708060628,-0.046571888380644855,-0.058823529411764705,-6510.563708060628
Scottsbluff-TP1-n150_11_11,181.21268432784638,190.0,25363977,167.13196587791495,175.0,23393127,111.97222222222223,117.0,15672528,0.07274960192885158,0.0446927374301676,10182.616282777497,0.03977813763672558,0.05463182897862233,5567.666368737206,-0.03977813763672558,-0.05463182897862233,-5567.666368737206
Scottsbluff-TP1-n150_11_12,170.88000314371044,177.0,23916707,161.36527057344136,170.0,22585006,104.37229390834655,106.0,14608155,0.08894529259647443,0.0670391061452514,12448.961042387755,0.026676441398167196,0.043478260869565216,3733.6880909702772,-0.026676441398167196,-0.043478260869565216,-3733.6880909702772
Scottsbluff-TP1-n150_11_13,176.03986364318538,185.0,24632730,163.1209845133534,173.0,22825030,106.40523987507773,110.0,14888966,0.08057146758359775,0.05641025641025641,11274.123744570083,0.0363655676798755,0.05309734513274336,5088.524788741939,-0.0363655676798755,-0.05309734513274336,-5088.524788741939
Scottsbluff-TP1-n150_11_14,184.73561764264426,195.0,25846545,167.59952398310355,176.0,23449017,115.54738369391971,121.0,16166350,0.06179997025782491,0.037783375314861464,8646.49563874254,0.04894005408465327,0.05829596412556054,6847.251907037923,-0.04894005408465327,-0.05829596412556054,-6847.251907037923
Scottsbluff-TP1-n150_11_15,176.30917304626908,188.0,24665477,161.95576094182232,173.0,22657449,106.56727353304885,113.0,14908655,0.07586423645919343,0.04661654135338346,10613.330816404703,0.04189303181022837,0.05934065934065934,5860.7932572191385,-0.04189303181022837,-0.05934065934065934,-5860.7932572191385
Scottsbluff-TP1-n150_11_16,182.77486237220276,193.0,25564720,165.2199613927218,174.0,23109316,112.52049045542289,118.0,15738241,0.06333835273059252,0.03768115942028986,8859.135396427975,0.05093205922097588,0.06103286384976526,7123.8671232378965,-0.05093205922097588,-0.06103286384976526,-7123.8671232378965
Scottsbluff-TP1-n150_11_17,186.06774498026428,196.0,26021202,169.32032635432756,178.0,23679109,118.65790000572049,124.0,16594070,0.05961309289789398,0.03492063492063492,8336.771815584678,0.04693926339894867,0.05817174515235457,6564.362107816173,-0.04693926339894867,-0.05817174515235457,-6564.362107816173
Scottsbluff-TP1-n150_12_11,175.10355883066993,185.0,24522553,162.84547934250176,172.0,22805858,107.46354055096182,112.0,15049839,0.07875736485211451,0.05174825174825175,11029.65391807923,0.035327646112077615,0.052083333333333336,4947.495527412022,-0.035327646112077615,-0.052083333333333336,-4947.495527412022
Scottsbluff-TP1-n150_12_12,175.31248526754143,187.0,24543222,163.112159546276,174.0,22835213,106.65853554004728,113.0,14931875,0.08177128782489311,0.05500705218617771,11447.734981621561,0.034977792741037315,0.05235602094240838,4896.786050367001,-0.034977792741037315,-0.05235602094240838,-4896.786050367001
Scottsbluff-TP1-n150_12_13,176.63557923758776,186.0,24729511,163.229559366585,172.0,22852628,107.64352192453019,112.0,15070416,0.07787080901852202,0.04918032786885246,10902.146875020138,0.037625313109124585,0.05543237250554324,5267.6567112167695,-0.037625313109124585,-0.05543237250554324,-5267.6567112167695
Scottsbluff-TP1-n150_12_14,184.22905235482395,195.0,25786172,167.00210762459992,177.0,23374951,114.52325531550069,121.0,16029591,0.06193457950411925,0.03870162297128589,8668.859224032563,0.050149264467862636,0.05912596401028278,7019.292249037798,-0.050149264467862636,-0.05912596401028278,-7019.292249037798
Scottsbluff-TP1-n150_12_15,177.22229367631297,187.0,24802260,161.0435798499464,169.0,22538049,107.6165844944623,112.0,15060941,0.06831021704552433,0.04477611940298507,9560.01487552113,0.04732067780623683,0.061124694376528114,6622.528858982845,-0.04732067780623683,-0.061124694376528114,-6622.528858982845
Scottsbluff-TP1-n150_12_16,178.50423074724145,191.0,24977740,164.1829512320622,176.0,22973792,109.07453833400034,115.0,15262582,0.07426217381977004,0.04462809917355372,10391.357458252784,0.04214730710233001,0.058004640371229696,5897.588388214834,-0.04214730710233001,-0.058004640371229696,-5897.588388214834
Scottsbluff-TP1-n150_12_17,194.6484715064792,205.0,27233073,173.4739652202503,182.0,24270569,124.67589647556626,133.0,17443280,0.04612746308139087,0.02606310013717421,6453.647232254315,0.0589617593053336,0.06382978723404255,8249.28078264992,-0.0589617593053336,-0.06382978723404255,-8249.28078264992
Scottsbluff-TP1-n150_13_11,183.87412282893467,194.0,25757271,168.29490080739,176.0,23574918,114.77416637516865,121.0,16077680,0.06671897516126538,0.03816793893129771,9346.060759565215,0.04351183952659924,0.05714285714285714,6095.181992725548,-0.04351183952659924,-0.05714285714285714,-6095.181992725548
Scottsbluff-TP1-n150_13_12,180.72882311788808,190.0,25316855,164.8133236247341,173.0,23087380,110.894069188047,116.0,15534263,0.06855647326372048,0.043478260869565216,9603.527887728493,0.0459687285501196,0.0584958217270195,6439.391432757854,-0.0459687285501196,-0.0584958217270195,-6439.391432757854
Scottsbluff-TP1-n150_13_13,181.99043830960167,193.0,25485577,165.84866250589127,175.0,23225115,110.1495237007098,117.0,15425119,0.07146871215330497,0.04251386321626617,10008.335512524522,0.04531573911573378,0.06053268765133172,6345.925474289127,-0.04531573911573378,-0.06053268765133172,-6345.925474289127
Scottsbluff-TP1-n150_13_14,185.02570694087404,195.0,25911000,167.12399314481576,175.0,23404044,116.15936875178521,121.0,16266958,0.057780344122066285,0.037037037037037035,8091.559390854162,0.051620635172910996,0.0593607305936073,7228.953749614456,-0.051620635172910996,-0.0593607305936073,-7228.953749614456
Scottsbluff-TP1-n150_13_15,188.18053640941395,196.0,26346216,166.9606014070926,173.0,23375319,112.95954430198921,118.0,15814901,0.05589901572754885,0.03631961259079903,7826.141696935477,0.06119921279295016,0.0675990675990676,8568.195787076987,-0.06119921279295016,-0.0675990675990676,-8568.195787076987
Scottsbluff-TP1-n150_13_16,177.41340638460494,188.0,24836635,161.88052974077274,173.0,22662141,108.61256634260285,114.0,15204999,0.06951606056023174,0.041379310344827586,9731.761866008523,0.04675018045868012,0.059602649006622516,6544.698012952005,-0.04675018045868012,-0.059602649006622516,-6544.698012952005
Scottsbluff-TP1-n150_13_17,190.6860157745835,202.0,26690703,171.252264738662,180.0,23970522,120.28001314548624,128.0,16835834,0.05388908552882364,0.030223390275952694,7542.963079640503,0.05437248099234651,0.06235565819861432,7610.624909460726,-0.05437248099234651,-0.06235565819861432,-7610.624909460726
Scottsbluff-TP1-n150_14_11,182.24017694695158,192.0,25541872,166.34828582640648,174.0,23314544,112.01451963897114,118.0,15699395,0.06812232876547822,0.0387858347386172,9547.6849881256,0.04504632761569967,0.06,6313.468046978387,-0.04504632761569967,-0.06,-6313.468046978387
Scottsbluff-TP1-n150_14_12,176.68948266141408,186.0,24757907,161.70673203873795,171.0,22658509,108.03295009313379,113.0,15137685,0.07098328475942488,0.04672897196261682,9946.248843775373,0.044687096425520774,0.056433408577878104,6261.600638240397,-0.044687096425520774,-0.056433408577878104,-6261.600638240397
Scottsbluff-TP1-n150_14_13,179.61258001669913,190.0,25168572,164.66406902310047,174.0,23073882,109.76079556402406,116.0,15380451,0.07205464512608237,0.04470588235294118,10096.801257582543,0.042520765601826,0.057736720554272515,5958.307321487072,-0.042520765601826,-0.057736720554272515,-5958.307321487072
Scottsbluff-TP1-n150_14_14,185.48262815616457,195.0,25982963,170.55682702397863,180.0,23892112,115.42462682838031,120.0,16169028,0.06896810992946727,0.042212518195050945,9661.259743249562,0.042204522867721576,0.05569007263922518,5912.136176879041,-0.042204522867721576,-0.05569007263922518,-5912.136176879041
Scottsbluff-TP1-n150_14_15,182.17501070969584,192.0,25515432,164.96872054833642,174.0,23105519,109.33508496358704,114.0,15313472,0.06786744367466371,0.04279115254166753,9505.514161073399,0.049987002189775746,0.06265664160401002,7001.179526699991,-0.049987002189775746,-0.06265664160401002,-7001.179526699991
Scottsbluff-TP1-n150_14_16,178.00773987176376,189.0,24930696,163.12498750481956,175.0,22846307,109.85886158196125,115.0,15386173,0.06978878098747492,0.04195804195804196,9774.197932419811,0.04505545984133991,0.056910569105691054,6310.197372619019,-0.04505545984133991,-0.056910569105691054,-6310.197372619019
