file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Scottsbluff-TP2-n150_10_11,157.8743218015285,156.0,21648990,151.9698019368765,154.0,20839315,150.71907269120825,148.0,20667805,-0.0061335782626514,-0.0132939438700147,-841.0853200008695,0.0171160870366666,0.0246913580246913,2347.0947831640274,-0.0171160870366666,-0.0246913580246913,-2347.0947831640274,Scottsbluff-TP2-n150,10,11,n150,,15.6,109.78,,66.0,1221.26,70.0,1309.51,9.45,67.97,10.59,4.05,1.07,1.3,,150.0,LH145 X LH162
Scottsbluff-TP2-n150_10_12,156.50244380707093,153.0,21389502,149.00877282837743,150.0,20365327,146.9767765160384,143.0,20087610,-0.0083766935343486,-0.015531660692951,-1144.859458726499,0.0234529137343359,0.0289389067524115,3205.3566258991677,-0.0234529137343359,-0.0289389067524115,-3205.3566258991677,Scottsbluff-TP2-n150,10,12,n150,,22.63,150.17,,70.0,1309.51,76.0,1437.65,9.61,72.19,8.32,3.86,0.85,1.18,,180.0,PHK76 X W606S
Scottsbluff-TP2-n150_10_13,150.1855704673524,146.0,20602006,146.5054200048113,147.0,20097174,137.99567711788418,133.0,18929833,0.0103241807010135,0.002710027100271,1416.2401360229385,0.0104563216470724,0.0179028132992327,1434.3668345804535,-0.0104563216470724,-0.0179028132992327,-1434.3668345804535,Scottsbluff-TP2-n150,10,13,n150,,24.61,165.53,,71.0,1328.45,77.0,1459.11,8.34,72.6,7.46,3.3,1.25,1.17,,183.0,PHN46 X PHB47
Scottsbluff-TP2-n150_10_14,159.0999098656779,157.0,21711251,156.68591486336956,159.0,21381830,148.90750606391475,146.0,20320365,0.0096034091032101,0.0013175230566534,1310.51001645136,0.0060551873118551,0.0129310344827586,826.3090261376954,-0.0060551873118551,-0.0129310344827586,-826.3090261376954,Scottsbluff-TP2-n150,10,14,n150,,21.31,140.02,,74.0,1393.15,76.0,1437.65,8.43,70.42,7.72,3.62,1.34,1.21,,168.0,LH74 X PHM49
Scottsbluff-TP2-n150_10_15,152.86348087792703,147.0,20824592,153.28082654334582,152.0,20881447,134.05949497173896,128.0,18262925,0.0346425368713993,0.0253164556962025,4719.352797990737,-0.0017281285496483,0.0037453183520599,-235.42295231859325,0.0017281285496483,-0.0037453183520599,235.42295231859325,Scottsbluff-TP2-n150,10,15,n150,,23.19,156.55,,78.0,1483.45,82.0,1573.4,8.11,71.84,8.88,3.84,1.52,1.24,,203.0,LH123HT X 3IIH6
Scottsbluff-TP2-n150_10_16,154.6828900415701,151.0,21023725,149.86814553213406,151.0,20369329,126.4289960637163,120.0,17183597,0.0353904454420881,0.0238907849829351,4810.092392261409,0.0148046246812802,0.0221238938053097,2012.1705635562105,-0.0148046246812802,-0.0221238938053097,-2012.1705635562105,Scottsbluff-TP2-n150,10,16,n150,,29.62,200.92,,68.0,1263.61,72.0,1350.26,9.0,72.07,8.21,3.44,1.52,1.3,,180.0,PIONEER P0589 AMXT
Scottsbluff-TP2-n150_10_17,167.39874231393665,165.0,22786819,164.87039662658037,166.0,22442653,133.9442856828016,129.0,18232898,0.0475866599561644,0.042316258351893,6477.638913212975,0.0075246036270452,0.0106382978723404,1024.271619524287,-0.0075246036270452,-0.0106382978723404,-1024.271619524287,Scottsbluff-TP2-n150,10,17,n150,,33.21,216.31,,73.0,1371.7,76.0,1437.65,8.28,71.42,7.48,3.85,2.44,1.58,,188.0,SYNGENTA NK0760-3111
Scottsbluff-TP2-n150_11_11,154.08366181320892,151.0,21069554,153.89117382496838,156.0,21043233,137.53240066987956,133.0,18806318,0.0310483806576461,0.024793388429752,4245.586619507188,-0.0020526119417839,0.0,-280.67620953147355,0.0020526119417839,0.0,280.67620953147355,Scottsbluff-TP2-n150,11,11,n150,,21.5,140.56,,84.0,1622.26,88.0,1717.51,11.07,72.73,6.81,4.17,1.06,1.27,,216.0,2369 X PHZ51
Scottsbluff-TP2-n150_11_12,145.59773757969225,139.0,19937135,149.41293917463284,146.0,20459562,131.97560850927096,124.0,18071816,0.0407791378420542,0.0389610389610389,5584.0096821260095,-0.0153298192101118,-0.0158730158730158,-2099.158133898243,0.0153298192101118,0.0158730158730158,2099.158133898243,Scottsbluff-TP2-n150,11,12,n150,,23.53,166.16,,69.0,1286.36,76.0,1437.65,8.9,70.97,7.49,3.41,1.31,1.3,,175.0,PHK76 X 3IIH6
Scottsbluff-TP2-n150_11_13,146.49453188879804,141.0,20066235,149.24668555075343,147.0,20443214,134.11498364677024,127.0,18370534,0.0337448145769834,0.0302374977667806,4622.2297214968885,-0.0113042559177578,-0.0126582278481012,-1548.4117585908048,0.0113042559177578,0.0126582278481012,1548.4117585908048,Scottsbluff-TP2-n150,11,13,n150,,23.93,165.46,,67.0,1240.4,72.0,1350.26,8.39,71.39,7.84,3.69,1.59,1.31,,170.0,PHB47 X 3IIH6
