signalname,R2,location
GRVI_mean_TP2,0.009296960891169524,Ames
NGRDI_mean_TP2,0.009296960891169524,Ames
NDVI_mean_TP2,0.09686710815819806,Ames
GNDVI_mean_TP2,0.105736241489027,Ames
SAVI_mean_TP2,0.09683417943963778,Ames
Red_mean_TP2,0.14735295340920224,Ames
Green_mean_TP2,0.1449001011765648,Ames
Blue_mean_TP2,0.138648748496375,Ames
GLI_mean_TP2,0.00026286205915926466,Ames
NDRE_mean_TP2,0.07537393541729073,Ames
RedEdge_mean_TP2,0.03647322200836431,Ames
DeepBlue_mean_TP2,0.11193157765457745,Ames
Nir_mean_TP2,4.8499644446496145e-06,Ames
GRVI_median_TP2,0.010213152883237884,Ames
NGRDI_median_TP2,0.010213152883237884,Ames
NDVI_median_TP2,0.09616031657537456,Ames
GNDVI_median_TP2,0.11298771271072443,Ames
SAVI_median_TP2,0.09612748811145577,Ames
Red_median_TP2,0.13113182573476068,Ames
Green_median_TP2,0.1431000794418758,Ames
Blue_median_TP2,0.12270633111986876,Ames
GLI_median_TP2,0.00054226267754572,Ames
NDRE_median_TP2,0.08337954024709321,Ames
RedEdge_median_TP2,0.03523664201675168,Ames
DeepBlue_median_TP2,0.09428435479078895,Ames
Nir_median_TP2,0.0001175249594992375,Ames
GRVI_sum_TP2,0.004196016438681452,Ames
NGRDI_sum_TP2,0.004196016438681452,Ames
NDVI_sum_TP2,0.0026324686883647318,Ames
GNDVI_sum_TP2,0.005131789127360444,Ames
SAVI_sum_TP2,0.0026320592967003413,Ames
Red_sum_TP2,0.10961389479647418,Ames
Green_sum_TP2,0.09520134578708342,Ames
Blue_sum_TP2,0.0757112978994328,Ames
GLI_sum_TP2,0.0014986680928160202,Ames
NDRE_sum_TP2,0.017358294343883085,Ames
RedEdge_sum_TP2,0.02469900818939872,Ames
DeepBlue_sum_TP2,0.04744198016665803,Ames
Nir_sum_TP2,0.0009830055727525567,Ames
GRVI_mean_TP4,0.09227550947720901,Ames
NGRDI_mean_TP4,0.09227550947720901,Ames
NDVI_mean_TP4,0.2904758036500665,Ames
GNDVI_mean_TP4,0.3046496847663041,Ames
SAVI_mean_TP4,0.29049945274783695,Ames
Red_mean_TP4,0.21656888619477893,Ames
Green_mean_TP4,0.138934366482079,Ames
Blue_mean_TP4,0.13760318812748173,Ames
GLI_mean_TP4,0.012627597143454008,Ames
NDRE_mean_TP4,0.23701773983010596,Ames
RedEdge_mean_TP4,0.005795648548803387,Ames
DeepBlue_mean_TP4,0.06585216169634965,Ames
Nir_mean_TP4,0.2618797649626792,Ames
GRVI_median_TP4,0.13248005218368913,Ames
NGRDI_median_TP4,0.13248005218368913,Ames
NDVI_median_TP4,0.3139709315561801,Ames
GNDVI_median_TP4,0.31415068339246116,Ames
SAVI_median_TP4,0.31398197081650703,Ames
Red_median_TP4,0.22769615754848377,Ames
Green_median_TP4,0.14528644088222908,Ames
Blue_median_TP4,0.14925077307353068,Ames
GLI_median_TP4,0.031264590892311796,Ames
NDRE_median_TP4,0.23974499378668565,Ames
RedEdge_median_TP4,0.006124373239889313,Ames
DeepBlue_median_TP4,0.06731945902607214,Ames
Nir_median_TP4,0.2531460303630197,Ames
