signalname,R2,location
Blue_mean_TP1,0.00615116323146534,Ames
Blue_mean_TP1,0.0846538356745757,Movalley
Blue_mean_TP1,0.0094418547609686,Crawfordsville
Blue_mean_TP2,0.0247226404538521,Ames
Blue_mean_TP2,0.0361523959294603,Movalley
Blue_mean_TP2,0.00739165200866118,Crawfordsville
Blue_mean_TP3,0.0227166490119411,Ames
Blue_mean_TP3,0.0173758579743293,Movalley
Blue_mean_TP3,0.00674467799905087,Crawfordsville
Blue_mean_TP4,0.0348119689488611,Ames
Blue_mean_TP4,0.0240499233280115,Movalley
Blue_mean_TP4,0.0306939402203238,Crawfordsville
Blue_mean_TP5,0.0171352198387292,Ames
Blue_mean_TP5,0.022246158263922,Movalley
Blue_mean_TP5,8.90536218265283E-07,Crawfordsville
Blue_mean_TP6,0.00580301117930371,Ames
Blue_mean_TP6,0.00426771709669492,Movalley
Blue_mean_TP6,0.007803908704907,Crawfordsville
Blue_median_TP1,0.00937952070964048,Ames
Blue_median_TP1,0.0350963695084378,Movalley
Blue_median_TP1,0.00906379134782284,Crawfordsville
Blue_median_TP2,0.0278511624755307,Ames
Blue_median_TP2,0.022043700536392,Movalley
Blue_median_TP2,0.00675193342108896,Crawfordsville
Blue_median_TP3,0.0275032691099123,Ames
Blue_median_TP3,0.0226641313016177,Movalley
Blue_median_TP3,0.00268070206544516,Crawfordsville
Blue_median_TP4,0.0387670195078316,Ames
Blue_median_TP4,0.00622205942734852,Movalley
Blue_median_TP4,0.0225373761505427,Crawfordsville
Blue_median_TP5,0.0187907020759145,Ames
Blue_median_TP5,0.00985219209980816,Movalley
Blue_median_TP5,0.000975665882722393,Crawfordsville
Blue_median_TP6,0.00759347772953817,Ames
Blue_median_TP6,0.00225287543237447,Movalley
Blue_median_TP6,0.00730314256402777,Crawfordsville
Blue_sum_TP1,0.000145009205955084,Ames
Blue_sum_TP1,0.077638686009494,Movalley
Blue_sum_TP1,0.00378362746216484,Crawfordsville
Blue_sum_TP2,0.0109326471432501,Ames
Blue_sum_TP2,0.0309841948233114,Movalley
Blue_sum_TP2,0.00318676320118873,Crawfordsville
Blue_sum_TP3,0.0125155992740808,Ames
Blue_sum_TP3,0.0203977994001412,Movalley
Blue_sum_TP3,0.000833885708105702,Crawfordsville
Blue_sum_TP4,0.0200238016711375,Ames
Blue_sum_TP4,0.0248671548187934,Movalley
Blue_sum_TP4,0.0119499088836195,Crawfordsville
Blue_sum_TP5,0.00996336556552589,Ames
Blue_sum_TP5,0.0204513223730469,Movalley
Blue_sum_TP5,0.000803132671490512,Crawfordsville
Blue_sum_TP6,0.000988086789827711,Ames
Blue_sum_TP6,0.00390845807299799,Movalley
Blue_sum_TP6,0.00650431695289656,Crawfordsville
DeepBlue_mean_TP1,0.0125082372201537,Ames
DeepBlue_mean_TP1,0.0606283321210132,Movalley
DeepBlue_mean_TP1,0.0104945299869517,Crawfordsville
DeepBlue_mean_TP2,0.0271279075974546,Ames
DeepBlue_mean_TP2,0.0380469920063626,Movalley
DeepBlue_mean_TP2,0.0115348760264054,Crawfordsville
DeepBlue_mean_TP3,0.0195752584101509,Ames
DeepBlue_mean_TP3,0.0112937799351418,Movalley
DeepBlue_mean_TP3,0.0021360445372367,Crawfordsville
DeepBlue_mean_TP4,0.0420788889924015,Ames
DeepBlue_mean_TP4,0.0581407364493587,Movalley
DeepBlue_mean_TP4,0.0436337072065962,Crawfordsville
DeepBlue_mean_TP5,0.0142278190993749,Ames
DeepBlue_mean_TP5,0.0645296259995139,Movalley
DeepBlue_mean_TP5,1.04904573300801E-06,Crawfordsville
DeepBlue_mean_TP6,0.00315609451100047,Ames
DeepBlue_mean_TP6,0.000435385190370895,Movalley
DeepBlue_mean_TP6,0.00828611141055223,Crawfordsville
DeepBlue_median_TP1,0.0140402024844194,Ames
DeepBlue_median_TP1,0.0184352642192098,Movalley
DeepBlue_median_TP1,0.0110704290413578,Crawfordsville
DeepBlue_median_TP2,0.0346265427749714,Ames
DeepBlue_median_TP2,0.0172278861033669,Movalley
DeepBlue_median_TP2,0.0135465210616178,Crawfordsville
DeepBlue_median_TP3,0.0268695042897276,Ames
DeepBlue_median_TP3,0.0100920138785483,Movalley
DeepBlue_median_TP3,0.000654199219473788,Crawfordsville
DeepBlue_median_TP4,0.0465464733395762,Ames
DeepBlue_median_TP4,0.0335185759841039,Movalley
DeepBlue_median_TP4,0.0378157349505018,Crawfordsville
DeepBlue_median_TP5,0.0150358347350573,Ames
DeepBlue_median_TP5,0.0385507489500075,Movalley
DeepBlue_median_TP5,0.00136010004641042,Crawfordsville
DeepBlue_median_TP6,0.00581712252082513,Ames
DeepBlue_median_TP6,0.00450530983847731,Movalley
DeepBlue_median_TP6,0.00980788335874158,Crawfordsville
DeepBlue_sum_TP1,0.000300317874756404,Ames
DeepBlue_sum_TP1,0.048908874479742,Movalley
DeepBlue_sum_TP1,0.00292348106521301,Crawfordsville
DeepBlue_sum_TP2,0.00788154553039295,Ames
DeepBlue_sum_TP2,0.0294200725715885,Movalley
DeepBlue_sum_TP2,0.00384535642764682,Crawfordsville
DeepBlue_sum_TP3,0.00630310836713243,Ames
DeepBlue_sum_TP3,0.0104942551984412,Movalley
DeepBlue_sum_TP3,2.94650030729166E-05,Crawfordsville
DeepBlue_sum_TP4,0.0167030391921067,Ames
DeepBlue_sum_TP4,0.0564082183920691,Movalley
DeepBlue_sum_TP4,0.0103010571963683,Crawfordsville
DeepBlue_sum_TP5,0.00508178441463036,Ames
DeepBlue_sum_TP5,0.0609397602941367,Movalley
DeepBlue_sum_TP5,0.00120444204846907,Crawfordsville
DeepBlue_sum_TP6,1.2949234603914E-06,Ames
DeepBlue_sum_TP6,0.000404199172267795,Movalley
DeepBlue_sum_TP6,0.00629732056785183,Crawfordsville
GLI_mean_TP1,0.115154638923675,Ames
GLI_mean_TP1,0.352216896221015,Movalley
GLI_mean_TP1,0.000432765296922383,Crawfordsville
GLI_mean_TP2,0.0246963264457681,Ames
GLI_mean_TP2,0.152273437785569,Movalley
GLI_mean_TP2,0.000237129255454698,Crawfordsville
GLI_mean_TP3,0.00373960017461383,Ames
GLI_mean_TP3,0.151185451630687,Movalley
GLI_mean_TP3,0.00730123186385732,Crawfordsville
GLI_mean_TP4,2.83833266733468E-06,Ames
GLI_mean_TP4,0.0660501199781154,Movalley
GLI_mean_TP4,0.00434033820448709,Crawfordsville
GLI_mean_TP5,0.000433987257373741,Ames
GLI_mean_TP5,0.0725689723260437,Movalley
GLI_mean_TP5,0.00552801447601176,Crawfordsville
GLI_mean_TP6,0.000271296596524188,Ames
GLI_mean_TP6,0.0195983773190285,Movalley
GLI_mean_TP6,0.00105784427626938,Crawfordsville
GLI_median_TP1,0.125123637627238,Ames
GLI_median_TP1,0.30273299536699,Movalley
GLI_median_TP1,0.0020631074321548,Crawfordsville
GLI_median_TP2,0.0425273138983201,Ames
GLI_median_TP2,0.114179753701148,Movalley
GLI_median_TP2,0.000799819206504341,Crawfordsville
GLI_median_TP3,0.00299980387487247,Ames
GLI_median_TP3,0.0956397215038373,Movalley
GLI_median_TP3,0.00388197640209061,Crawfordsville
GLI_median_TP4,0.000920829563087834,Ames
GLI_median_TP4,0.0545158270121214,Movalley
GLI_median_TP4,0.00402615708995143,Crawfordsville
GLI_median_TP5,0.000690364241509863,Ames
GLI_median_TP5,0.0579110662305337,Movalley
GLI_median_TP5,0.00617804870670953,Crawfordsville
GLI_median_TP6,0.000230509111479823,Ames
GLI_median_TP6,0.0109550437546191,Movalley
GLI_median_TP6,0.00182770512273321,Crawfordsville
GLI_sum_TP1,0.101872352942472,Ames
GLI_sum_TP1,0.343291703404862,Movalley
GLI_sum_TP1,1.64326262851772E-05,Crawfordsville
GLI_sum_TP2,0.0189113477158996,Ames
GLI_sum_TP2,0.150912001947814,Movalley
GLI_sum_TP2,2.5288644719788E-05,Crawfordsville
GLI_sum_TP3,0.00100763674285246,Ames
GLI_sum_TP3,0.134203675910473,Movalley
GLI_sum_TP3,0.00912989783350256,Crawfordsville
GLI_sum_TP4,0.000315475651221158,Ames
GLI_sum_TP4,0.0649584781933006,Movalley
GLI_sum_TP4,0.00452411685381163,Crawfordsville
GLI_sum_TP5,0.000159211525202759,Ames
GLI_sum_TP5,0.0723003782624228,Movalley
GLI_sum_TP5,0.00671102035984195,Crawfordsville
GLI_sum_TP6,0.000183748504283642,Ames
GLI_sum_TP6,0.0197026641104067,Movalley
GLI_sum_TP6,0.00122929425877745,Crawfordsville
GNDVI_mean_TP1,0.155977294173636,Ames
GNDVI_mean_TP1,0.233211131200881,Movalley
GNDVI_mean_TP1,2.6759987596058E-05,Crawfordsville
GNDVI_mean_TP2,0.0405593845325018,Ames
GNDVI_mean_TP2,0.0527386175059107,Movalley
GNDVI_mean_TP2,0.00223629354891929,Crawfordsville
GNDVI_mean_TP3,0.000721503645836164,Ames
GNDVI_mean_TP3,0.0164806882844441,Movalley
GNDVI_mean_TP3,0.00853510664341389,Crawfordsville
GNDVI_mean_TP4,0.00283515849399277,Ames
GNDVI_mean_TP4,0.0124948851428637,Movalley
GNDVI_mean_TP4,0.0054503210048773,Crawfordsville
GNDVI_mean_TP5,0.000102684808404356,Ames
GNDVI_mean_TP5,8.46478720309792E-05,Movalley
GNDVI_mean_TP5,0.0130381641437174,Crawfordsville
GNDVI_mean_TP6,0.00118465248971119,Ames
GNDVI_mean_TP6,0.00675399899875239,Movalley
GNDVI_mean_TP6,0.0103563734388351,Crawfordsville
GNDVI_median_TP1,0.156756619202754,Ames
GNDVI_median_TP1,0.186242848583498,Movalley
GNDVI_median_TP1,0.000108086221650515,Crawfordsville
GNDVI_median_TP2,0.0372662164679858,Ames
GNDVI_median_TP2,0.0352819415223747,Movalley
GNDVI_median_TP2,0.00365235170451445,Crawfordsville
GNDVI_median_TP3,0.00120402257204568,Ames
GNDVI_median_TP3,0.00953019481233898,Movalley
GNDVI_median_TP3,0.006910681947042,Crawfordsville
GNDVI_median_TP4,0.00310978032735865,Ames
GNDVI_median_TP4,0.0141345644404367,Movalley
GNDVI_median_TP4,0.00606042723308084,Crawfordsville
GNDVI_median_TP5,0.000189642217590806,Ames
GNDVI_median_TP5,0.0161493458901248,Movalley
GNDVI_median_TP5,0.0130756115699767,Crawfordsville
GNDVI_median_TP6,0.000956781693422345,Ames
GNDVI_median_TP6,0.0146170483482511,Movalley
