index,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,range,row,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow,file_,NDRE_mean,predicted,residual
1564,MV$HYBRID-HIPS$REP1$PLOT1$ROW23$RANGE2$PHP02 X PHK76,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,54,2,23,2,201,PHP02 X PHN46,2022-04-29,,,,,,,,,81,182,27000,16.71,156.64,10.9,58.3,14.8,13.4,4.1,2.4,33.5,14.5,466,27.2,128.8,17.8,5.01,68.78,8.48,3.97,0.72,1.11,yellow,3.7,2022-10-11,,2-23,MOValley-TP3-Hybrids_23_2,0.319514273804408,165.531663786976,-8.89166378697561
1568,MV$HYBRID-HIPS$REP1$PLOT5$ROW23$RANGE3$PHP02 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,48,2,23,3,205,LH198 X PHB47,2022-04-29,,,,,,,,,102,213,24000,13.8,130.08,10.4,61.2,16.4,15.4,4,2.5,40.8,13,500,24.4,121.9,23.4,5.17,68.95,9.38,4.53,0.93,0.96,yellow,0,2022-10-11,,3-23,MOValley-TP3-Hybrids_23_3,0.31122503485461,158.496375690799,-28.4163756907986
1572,MV$HYBRID-HIPS$REP1$PLOT9$ROW23$RANGE4$PHK56 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,46,2,23,4,209,PHK76 X W606S,2022-04-29,,,,,,,,,75,181,23000,11.96,112.49,10.6,60.4,17.6,16.2,3.2,2.4,36.5,14,444,22.7,99.1,22.6,5.05,71.21,10.08,4.79,0.35,0.87,orange,4.35,2022-10-11,,4-23,MOValley-TP3-Hybrids_23_4,0.301710429687738,150.421088094952,-37.9310880949517
1575,MV$HYBRID-HIPS$REP1$PLOT13$ROW23$RANGE5$PHK76 X LH82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,2,23,5,213,LH74 X PHN82,2022-04-29,,,,,,,,,97,197,27500,14.71,138.66,10.4,59.7,16.4,15,3.6,2.4,36.5,15,549,22.7,125.2,19.6,5.12,68.59,9.93,3.93,1.19,1.16,yellow,1.82,2022-10-11,,5-23,MOValley-TP3-Hybrids_23_5,0.293336626708892,143.314028354776,-4.65402835477622
1579,MV$HYBRID-HIPS$REP1$PLOT17$ROW23$RANGE6$PHP02 X PHN46,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,35,2,23,6,217,PHN46 X W606S,2022-04-29,,,,,,,,,92,201,17500,13.58,127.44,10.8,59.4,19,16.1,4.4,3,36.5,14.5,538,29.9,159,31.3,5.17,72.23,9.39,3.95,0.41,0.91,yellow,8.57,2022-10-11,,6-23,MOValley-TP3-Hybrids_23_6,0.312149725776082,159.281184413514,-31.8411844135145
1583,MV$HYBRID-HIPS$REP1$PLOT21$ROW23$RANGE7$PHK56 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,60,2,23,7,221,SYNGENTA NK0760-3111,2022-04-29,,,,,,,,,100,205,30000,16.6,155.25,11.1,56.4,16.8,15.6,3.5,2.4,38.8,16,490,20.8,104.2,20.7,6.03,69.57,10.74,4.08,2.35,1.62,yellow,0,2022-10-11,,7-23,MOValley-TP3-Hybrids_23_7,0.312043392387557,159.190936559997,-3.94093655999657
1587,MV$HYBRID-HIPS$REP1$PLOT25$ROW23$RANGE8$PHP02 X PHG47,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,60,2,23,8,225,B105 X 3IIH6,2022-04-29,,,,,,,,,85,168,30000,9.89,92.91,10.7,55.2,17.9,15.6,4,2.6,34.8,17,500,23.3,115.8,19.2,5.28,69.96,9.31,4.46,1.29,1.37,yellow,60,2022-10-11,,8-23,MOValley-TP3-Hybrids_23_8,0.282646943848022,134.241422408869,-41.3314224088695
1591,MV$HYBRID-HIPS$REP1$PLOT29$ROW23$RANGE9$PHK56 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,61,2,23,9,229,PHP02 X PHJ89,2022-04-29,,,,,,,,,80,189,30500,14.01,131.47,10.8,55.2,17,16.1,4.6,3,36.8,15.8,482,25,124.8,17.6,5.11,67.6,9.62,4.34,0.91,1.18,yellow,9.84,2022-10-11,,9-23,MOValley-TP3-Hybrids_23_9,0.240291445234168,98.2932325918857,33.1767674081143
1595,MV$HYBRID-HIPS$REP1$PLOT33$ROW23$RANGE10$PHN46 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,57,2,23,10,233,PHP02 X LH145,2022-04-29,,,,,,,,,93,185,28500,13.69,128.9,10.5,56.4,18.4,17,3.9,2.6,43,14,478,28,138.3,26.2,5,65.51,11.22,4.02,1.57,1.26,yellow,0,2022-10-11,,10-23,MOValley-TP3-Hybrids_23_10,0.251083248123877,107.452510405696,21.4474895943043
1599,MV$HYBRID-HIPS$REP1$PLOT37$ROW23$RANGE11$PHP02 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,51,2,23,11,237,LH82 X W606S,2022-04-29,,,,,,,,,88,209,25500,16.09,150.82,10.9,57.3,17.5,15,3.9,2.5,37.2,17.5,478,21.8,111.4,19,5.61,70.05,9.34,3.86,0.8,1.18,orange,0,2022-10-11,,11-23,MOValley-TP3-Hybrids_23_11,0.301277202929038,150.053397517218,0.766602482782389
