index,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,range,row,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow,file_,NGRDI_mean,range_y,row_y,predicted,residual
1480,MV$HYBRID-HIPS$REP2$PLOT1$ROW23$RANGE24$PHP02 X PHN46,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,63,1,23,24,101,PHP02 X PHK76,2022-04-29,,,,,,,,,95,177,31500,16.78,159.23,9.8,60.6,15.8,,3.8,2,35,14,482,27.4,113.1,18.7,5.27,67.94,7.83,4.13,1.08,1.1,yellow,0,2022-10-11,,24-23,MOValley-TP1-Hybrids_23_24,-0.18010661985524,23,24,57.409592055143,5.59040794485696
1481,MV$HYBRID-HIPS$REP2$PLOT2$ROW25$RANGE24$PHW52 X PHZ51,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,46,1,25,24,102,LH185 X LH82,2022-04-29,,,,,,,,,55,160,23000,18.02,169.29,10.7,59.5,19.1,,4.4,2.6,45,17.2,722,26.4,192.9,25.3,5.58,68.09,8.32,3.99,1.25,1.21,yellow,6.52,2022-10-11,,24-25,MOValley-TP1-Hybrids_25_24,-0.180476689254615,25,24,57.4717064727786,-11.4717064727786
1482,MV$HYBRID-HIPS$REP2$PLOT3$ROW27$RANGE24$2369 X PHP02,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,56,1,27,24,103,LH82 X W606S,2022-04-29,,,,,,,,,86,168,28000,17.25,161.33,11.1,60.3,20.5,,4.4,3,41.8,17.5,716,25,185.8,30.8,5.72,68.97,8.35,3.95,0.95,1.05,orange,0,2022-10-11,,24-27,MOValley-TP1-Hybrids_27_24,-0.173820692221795,27,24,56.3545285051434,-0.35452850514335
1483,MV$HYBRID-HIPS$REP2$PLOT4$ROW29$RANGE24$PHG39 X PHM49,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,57,1,29,24,104,PIONEER 1311 AMXT,2022-04-29,,,,,,,,,92,218,28500,21.65,203.85,10.5,60.1,18.6,,4.2,2.5,35.2,18.2,528,29.1,207.6,19.7,4.57,69.29,6.95,3.94,1.3,1.18,yellow,8.77,2022-10-11,,24-29,MOValley-TP1-Hybrids_29_24,-0.196723582462295,29,24,60.1986715006541,-3.19867150065409
1484,MV$HYBRID-HIPS$REP2$PLOT5$ROW23$RANGE25$LH198 X PHB47,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,56,1,23,25,105,PHP02 X LH145,2022-04-29,,,,,,,,,83,180,28000,15.81,148.86,10.5,59,18.4,,4,2.6,41.8,15,598,24,136.1,24.1,5.3,66.72,10.44,4.26,1.32,1.13,yellow,3.57,2022-10-11,,25-23,MOValley-TP1-Hybrids_23_25,-0.182106843794987,23,25,57.7453202871124,-1.74532028711239
1485,MV$HYBRID-HIPS$REP2$PLOT6$ROW25$RANGE25$B37 X MO17,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,59,1,25,25,106,LH185 X LH145,2022-04-29,,,,,,,,,72,190,29500,17.71,166.01,10.9,57.3,19,,3.8,2,45.2,13,631,20.5,120.8,19.4,5.87,72.36,8.44,3.93,1.42,1.18,yellow,0,2022-10-11,,25-25,MOValley-TP1-Hybrids_25_25,-0.207694904043682,25,25,62.0401565082539,-3.0401565082539
1486,MV$HYBRID-HIPS$REP2$PLOT7$ROW27$RANGE25$B73 X PHZ51,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,1,27,25,107,PHP02 X W606S,2022-04-29,,,,,,,,,99,195,25000,15.28,144.2,10.3,59.4,18.1,,4.1,3,39,16.2,564,22.2,133.5,20.4,5.68,69.08,7.81,4.13,0.72,1.05,orange,8,2022-10-11,,25-27,MOValley-TP1-Hybrids_27_25,-0.175183568164113,27,25,56.5832808570254,-6.58328085702544
1487,MV$HYBRID-HIPS$REP2$PLOT8$ROW29$RANGE25$PHK76 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,53,1,29,25,108,PHK76 X W606S,2022-04-29,,,,,,,,,99,206,26500,16.79,157.91,10.6,62.8,16.9,,3.6,2.5,33.8,15.2,453,23.2,108.9,20.3,5.58,72.29,6.54,3.99,0.42,0.8,orange,1.89,2022-10-11,,25-29,MOValley-TP1-Hybrids_29_25,-0.168649788132886,29,25,55.4866164414211,-2.48661644142106
1488,MV$HYBRID-HIPS$REP2$PLOT9$ROW23$RANGE26$PHK76 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,56,1,23,26,109,PHK56 X LH145,2022-04-29,,,,,,,,,97,212,28000,17.04,160.8,10.3,59.3,17.1,,3.8,2.4,42.2,15.8,645,21.9,140.6,21.1,5.72,66.8,9.23,3.93,1.6,1.22,yellow,0,2022-10-11,,26-23,MOValley-TP1-Hybrids_23_26,-0.22618809033311,23,26,65.144151322562,-9.14415132256201
1489,MV$HYBRID-HIPS$REP2$PLOT10$ROW25$RANGE26$LH123HT X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,62,1,25,26,110,LH195 X LH185,2022-04-29,,,,,,,,,75,203,31000,17.12,160.66,10.8,60.3,17.9,,3.8,2.4,38.2,13.5,397,31.6,116.2,22.1,5.72,67.36,9.05,3.97,1.3,1.07,yellow,0,2022-10-11,,26-25,MOValley-TP1-Hybrids_25_26,-0.203675781126842,25,26,61.3655655266517,0.634434473348335
1490,MV$HYBRID-HIPS$REP2$PLOT11$ROW27$RANGE26$SOLAR 4,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,65,1,27,26,111,B73 X PHZ51,2022-04-29,,,,,,,,,99,223,32500,15.09,141.61,10.8,61.5,17.4,,3.9,2.6,39.5,16.2,596,24.3,149,26.1,5.32,69.8,6.74,3.85,0.78,1.03,yellow,0,2022-10-11,,26-27,MOValley-TP1-Hybrids_27_26,-0.185466306959654,27,26,58.3091904649598,6.69080953504017
1491,MV$HYBRID-HIPS$REP2$PLOT12$ROW29$RANGE26$PHK76 X LH198,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,58,1,29,26,112,PHW52 X PHN82,2022-04-29,,,,,,,,,78,193,29000,19.85,184.4,11.7,61.4,19.4,,4,2.4,42.5,15.2,630,27.2,173.1,22.6,5.21,70.97,7.55,3.91,0.43,0.97,yellow,1.72,2022-10-11,,26-29,MOValley-TP1-Hybrids_29_26,-0.194144570349514,29,26,59.7657963812007,-1.76579638120069
1492,MV$HYBRID-HIPS$REP2$PLOT13$ROW23$RANGE27$LH74 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,1,23,27,113,PHK76 X LH82,2022-04-29,,,,,,,,,88,198,27500,18.4,173.64,10.3,61,15.4,,3.5,2.1,33.8,14.5,303,21.9,65,15.6,5.02,68.59,8.58,4,0.86,1.07,orange,3.64,2022-10-11,,27-23,MOValley-TP1-Hybrids_23_27,-0.20014436395787,23,27,60.7728336735197,-5.77283367351967
1493,MV$HYBRID-HIPS$REP2$PLOT14$ROW25$RANGE27$PHP02 X LH82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,68,1,25,27,114,2369 X PHZ51,2022-04-29,,,,,,,,,109,240,34000,16.91,158.87,10.7,61.4,18.6,,4,2.6,42.8,14.5,584,26.6,159,28.3,4.94,69.31,8.25,3.33,0.84,1.02,yellow,0,2022-10-11,,27-25,MOValley-TP1-Hybrids_25_27,-0.210332078759296,25,27,62.4827939485294,5.51720605147061
1494,MV$HYBRID-HIPS$REP2$PLOT15$ROW27$RANGE27$2369 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,63,1,27,27,115,LH74 X PHN82,2022-04-29,,,,,,,,,96,187,31500,16.4,154.59,10.4,61.2,16,,4,2.4,35.8,15,435,26.5,114.8,20,5.38,68.44,8,3.48,1.22,0.99,yellow,0,2022-10-11,,27-27,MOValley-TP1-Hybrids_27_27,-0.199485010276256,27,27,60.6621642422765,2.33783575772348
1495,MV$HYBRID-HIPS$REP2$PLOT16$ROW29$RANGE27$LH195 X LH123HT,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,66,1,29,27,116,2369 X LH123HT,2022-04-29,,,,,,,,,110,237,33000,15.76,145.57,12.2,61.7,18.6,,4,2.6,46.5,14.5,589,26,163.7,31.6,5.17,70.95,8.73,4.01,1.01,0.84,yellow,1.52,2022-10-11,,27-29,MOValley-TP1-Hybrids_29_27,-0.199896419268838,29,27,60.7312173172604,5.26878268273964
1496,MV$HYBRID-HIPS$REP2$PLOT17$ROW23$RANGE28$PHN46 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,47,1,23,28,117,PHP02 X PHN46,2022-04-29,,,,,,,,,81,195,23500,16.66,155.82,11.1,58,15.2,,4.2,2.6,33.8,16.5,507,23.5,120.1,16.3,4.6,69.37,8.63,3.78,0.53,1.05,yellow,6.38,2022-10-11,,28-23,MOValley-TP1-Hybrids_23_28,-0.156041871754887,23,28,53.3704366526028,-6.37043665260276
1497,MV$HYBRID-HIPS$REP2$PLOT18$ROW25$RANGE28$PHB47 X PHK56,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,69,1,25,28,118,PHW52 X LH185,2022-04-29,,,,,,,,,77,175,34500,18.2,171.18,10.6,60.2,18.6,,4.2,2.5,40.2,15,522,29.1,151.4,22.3,4.94,68.06,8.65,4.18,1.26,1.12,yellow,4.35,2022-10-11,,28-25,MOValley-TP1-Hybrids_25_28,-0.214149428329482,25,28,63.1235182177178,5.87648178228221
