time,location,model,image,r2,rep,Location,Date,Image
TP1,Scottsbluff,RF,Satellite,0.0083195817998916,1,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,PSLR,Satellite,0.0237851055103153,1,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LR,Satellite,0.00329119655550879,1,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LASSO,Satellite,,1,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,SVM,Satellite,0.00594098406197293,1,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,GB,Satellite,0.0383772878403778,1,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,RF,Satellite,0.137694958815521,2,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,PSLR,Satellite,0.0446103475942548,2,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LR,Satellite,0.0182695990977561,2,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LASSO,Satellite,,2,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,SVM,Satellite,0.0859915770217388,2,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,GB,Satellite,0.108211381063165,2,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,RF,Satellite,0.00896985280826459,3,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,PSLR,Satellite,0.000107241159997881,3,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LR,Satellite,0.0352660805058142,3,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LASSO,Satellite,,3,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,SVM,Satellite,0.00386503872792943,3,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,GB,Satellite,0.0285213745579634,3,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,RF,Satellite,0.0338217417051757,4,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,PSLR,Satellite,0.00020964472238177,4,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LR,Satellite,0.00489343824693934,4,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LASSO,Satellite,,4,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,SVM,Satellite,0.0162883143924388,4,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,GB,Satellite,0.0406997255785081,4,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,RF,Satellite,3.3547010462848E-05,5,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,PSLR,Satellite,0.0313157305188304,5,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LR,Satellite,0.0105361130194693,5,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LASSO,Satellite,,5,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,SVM,Satellite,0.0219616854253181,5,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,GB,Satellite,0.0129864980685543,5,Scottsbluff,2022-07-04,Satellite
TP2,Scottsbluff,RF,Satellite,0.0105139603990977,1,Scottsbluff,2022-07-17,Satellite
TP2,Scottsbluff,PSLR,Satellite,0.0507351128181462,1,Scottsbluff,2022-07-17,Satellite
TP2,Scottsbluff,LR,Satellite,0.00142851848642779,1,Scottsbluff,2022-07-17,Satellite
TP2,Scottsbluff,LASSO,Satellite,,1,Scottsbluff,2022-07-17,Satellite
