model,testset,r2
Scottsbluff_TP1,Scottsbluff_TP1,0.32459
Scottsbluff_TP1,Scottsbluff_TP2,0.0283
Scottsbluff_TP1,Scottsbluff_TP4,0.11128
Scottsbluff_TP1,Scottsbluff_TP3,0.06986
Scottsbluff_TP1,Scottsbluff_TP6,0.05745
Scottsbluff_TP1,Scottsbluff_TP5,0.11072
Scottsbluff_TP1,Crawfordsville_TP3,0.02527
Scottsbluff_TP1,Crawfordsville_TP2,0.03695
Scottsbluff_TP1,Crawfordsville_TP4,0.04493
Scottsbluff_TP1,Crawfordsville_TP5,0.01986
Scottsbluff_TP1,Crawfordsville_TP1,0.05634
Scottsbluff_TP1,Crawfordsville_TP6,0.0001
Scottsbluff_TP1,Lincoln_TP1,0.05638
Scottsbluff_TP1,Lincoln_TP2,0.04075
Scottsbluff_TP1,Lincoln_TP4,0.00492
Scottsbluff_TP1,Lincoln_TP3,0.00024
Scottsbluff_TP1,Lincoln_TP6,0.01454
Scottsbluff_TP1,Lincoln_TP5,0.01146
Scottsbluff_TP1,Movalley_TP1,0.03261
Scottsbluff_TP1,Movalley_TP2,0.04805
Scottsbluff_TP1,Movalley_TP4,0.03306
Scottsbluff_TP1,Movalley_TP3,0.14244
Scottsbluff_TP1,Movalley_TP6,0.07445
Scottsbluff_TP1,Movalley_TP5,0.06273
Scottsbluff_TP1,Ames_TP1,0.00394
Scottsbluff_TP1,Ames_TP2,0.04267
Scottsbluff_TP1,Ames_TP4,0.11103
Scottsbluff_TP1,Ames_TP3,0.02695
Scottsbluff_TP1,Ames_TP6,0.00742
Scottsbluff_TP1,Ames_TP5,0.08503
Scottsbluff_TP2,Scottsbluff_TP1,0.01341
Scottsbluff_TP2,Scottsbluff_TP2,0.31687
Scottsbluff_TP2,Scottsbluff_TP4,0.1319
Scottsbluff_TP2,Scottsbluff_TP3,0.1402
Scottsbluff_TP2,Scottsbluff_TP6,0.10968
Scottsbluff_TP2,Scottsbluff_TP5,0.15993
Scottsbluff_TP2,Crawfordsville_TP3,0.03365
Scottsbluff_TP2,Crawfordsville_TP2,0.05308
Scottsbluff_TP2,Crawfordsville_TP4,8e-05
Scottsbluff_TP2,Crawfordsville_TP5,0.00205
Scottsbluff_TP2,Crawfordsville_TP1,0.10512
Scottsbluff_TP2,Crawfordsville_TP6,0.04222
Scottsbluff_TP2,Lincoln_TP1,0.06796
Scottsbluff_TP2,Lincoln_TP2,0.02446
Scottsbluff_TP2,Lincoln_TP4,0.01589
Scottsbluff_TP2,Lincoln_TP3,0.04755
Scottsbluff_TP2,Lincoln_TP6,0.07917
Scottsbluff_TP2,Lincoln_TP5,0.05894
Scottsbluff_TP2,Movalley_TP1,0.00426
Scottsbluff_TP2,Movalley_TP2,0.05167
Scottsbluff_TP2,Movalley_TP4,0.06978
Scottsbluff_TP2,Movalley_TP3,0.01845
Scottsbluff_TP2,Movalley_TP6,0.0
Scottsbluff_TP2,Movalley_TP5,0.00745
Scottsbluff_TP2,Ames_TP1,0.00639
Scottsbluff_TP2,Ames_TP2,0.05156
Scottsbluff_TP2,Ames_TP4,0.01335
Scottsbluff_TP2,Ames_TP3,0.05741
Scottsbluff_TP2,Ames_TP6,0.00184
Scottsbluff_TP2,Ames_TP5,0.00051
Scottsbluff_TP4,Scottsbluff_TP1,0.00824
Scottsbluff_TP4,Scottsbluff_TP2,0.0225
Scottsbluff_TP4,Scottsbluff_TP4,0.69241
Scottsbluff_TP4,Scottsbluff_TP3,0.18292
Scottsbluff_TP4,Scottsbluff_TP6,0.2074
Scottsbluff_TP4,Scottsbluff_TP5,0.26157
Scottsbluff_TP4,Crawfordsville_TP3,0.08851
Scottsbluff_TP4,Crawfordsville_TP2,0.10849
Scottsbluff_TP4,Crawfordsville_TP4,0.01285
Scottsbluff_TP4,Crawfordsville_TP5,0.00266
Scottsbluff_TP4,Crawfordsville_TP1,0.12713
Scottsbluff_TP4,Crawfordsville_TP6,0.02242
Scottsbluff_TP4,Lincoln_TP1,0.24348
Scottsbluff_TP4,Lincoln_TP2,0.16634
Scottsbluff_TP4,Lincoln_TP4,0.11438
Scottsbluff_TP4,Lincoln_TP3,0.09316
Scottsbluff_TP4,Lincoln_TP6,0.04564
Scottsbluff_TP4,Lincoln_TP5,0.0606
Scottsbluff_TP4,Movalley_TP1,0.09487
Scottsbluff_TP4,Movalley_TP2,0.11418
Scottsbluff_TP4,Movalley_TP4,0.07914
Scottsbluff_TP4,Movalley_TP3,0.23051
Scottsbluff_TP4,Movalley_TP6,0.0004
Scottsbluff_TP4,Movalley_TP5,0.00632
Scottsbluff_TP4,Ames_TP1,0.00105
Scottsbluff_TP4,Ames_TP2,0.05521
Scottsbluff_TP4,Ames_TP4,0.1227
Scottsbluff_TP4,Ames_TP3,0.14188
Scottsbluff_TP4,Ames_TP6,0.00022
Scottsbluff_TP4,Ames_TP5,0.023
Scottsbluff_TP3,Scottsbluff_TP1,0.0069
Scottsbluff_TP3,Scottsbluff_TP2,0.06609
Scottsbluff_TP3,Scottsbluff_TP4,0.23706
Scottsbluff_TP3,Scottsbluff_TP3,0.50748
Scottsbluff_TP3,Scottsbluff_TP6,0.20102
Scottsbluff_TP3,Scottsbluff_TP5,0.22738
Scottsbluff_TP3,Crawfordsville_TP3,0.08868
Scottsbluff_TP3,Crawfordsville_TP2,0.10228
Scottsbluff_TP3,Crawfordsville_TP4,0.00857
Scottsbluff_TP3,Crawfordsville_TP5,0.03019
Scottsbluff_TP3,Crawfordsville_TP1,0.13734
Scottsbluff_TP3,Crawfordsville_TP6,0.01458
Scottsbluff_TP3,Lincoln_TP1,0.2218
