model,testset,r2
Scottsbluff_TP1,Scottsbluff_TP1,0.35088
Scottsbluff_TP1,Scottsbluff_TP2,0.03365
Scottsbluff_TP1,Scottsbluff_TP4,0.03656
Scottsbluff_TP1,Scottsbluff_TP3,0.04355
Scottsbluff_TP1,Scottsbluff_TP6,0.0838
Scottsbluff_TP1,Scottsbluff_TP5,0.05666
Scottsbluff_TP1,Crawfordsville_TP1,0.02969
Scottsbluff_TP1,Crawfordsville_TP2,0.05008
Scottsbluff_TP1,Crawfordsville_TP4,0.00033
Scottsbluff_TP1,Crawfordsville_TP3,0.07779
Scottsbluff_TP1,Crawfordsville_TP6,0.05534
Scottsbluff_TP1,Crawfordsville_TP5,0.0048
Scottsbluff_TP1,Lincoln_TP1,0.09193
Scottsbluff_TP1,Lincoln_TP2,0.13345
Scottsbluff_TP1,Lincoln_TP4,0.00605
Scottsbluff_TP1,Lincoln_TP3,0.00018
Scottsbluff_TP1,Lincoln_TP6,0.03858
Scottsbluff_TP1,Lincoln_TP5,0.04125
Scottsbluff_TP1,Movalley_TP1,0.17989
Scottsbluff_TP1,Movalley_TP2,0.16058
Scottsbluff_TP1,Movalley_TP4,0.07113
Scottsbluff_TP1,Movalley_TP3,0.21561
Scottsbluff_TP1,Movalley_TP6,0.00994
Scottsbluff_TP1,Movalley_TP5,0.01475
Scottsbluff_TP1,Ames_TP1,0.00157
Scottsbluff_TP1,Ames_TP2,0.01212
Scottsbluff_TP1,Ames_TP4,0.19315
Scottsbluff_TP1,Ames_TP3,0.08282
Scottsbluff_TP1,Ames_TP6,0.01211
Scottsbluff_TP1,Ames_TP5,0.11058
Scottsbluff_TP2,Scottsbluff_TP1,0.04788
Scottsbluff_TP2,Scottsbluff_TP2,0.54265
Scottsbluff_TP2,Scottsbluff_TP4,0.04634
Scottsbluff_TP2,Scottsbluff_TP3,0.09084
Scottsbluff_TP2,Scottsbluff_TP6,0.05415
Scottsbluff_TP2,Scottsbluff_TP5,0.0756
Scottsbluff_TP2,Crawfordsville_TP1,0.02414
Scottsbluff_TP2,Crawfordsville_TP2,0.01159
Scottsbluff_TP2,Crawfordsville_TP4,0.02337
Scottsbluff_TP2,Crawfordsville_TP3,0.00459
Scottsbluff_TP2,Crawfordsville_TP6,0.00772
Scottsbluff_TP2,Crawfordsville_TP5,0.02521
Scottsbluff_TP2,Lincoln_TP1,0.00502
Scottsbluff_TP2,Lincoln_TP2,0.0
Scottsbluff_TP2,Lincoln_TP4,0.0977
Scottsbluff_TP2,Lincoln_TP3,0.09468
Scottsbluff_TP2,Lincoln_TP6,0.08719
Scottsbluff_TP2,Lincoln_TP5,0.08079
Scottsbluff_TP2,Movalley_TP1,0.03365
Scottsbluff_TP2,Movalley_TP2,0.02707
Scottsbluff_TP2,Movalley_TP4,0.01705
Scottsbluff_TP2,Movalley_TP3,0.01525
Scottsbluff_TP2,Movalley_TP6,0.08547
Scottsbluff_TP2,Movalley_TP5,0.02008
Scottsbluff_TP2,Ames_TP1,0.00157
Scottsbluff_TP2,Ames_TP2,0.0058
Scottsbluff_TP2,Ames_TP4,0.06858
Scottsbluff_TP2,Ames_TP3,0.00805
Scottsbluff_TP2,Ames_TP6,0.0443
Scottsbluff_TP2,Ames_TP5,0.05841
Scottsbluff_TP4,Scottsbluff_TP1,0.01777
Scottsbluff_TP4,Scottsbluff_TP2,0.0048
Scottsbluff_TP4,Scottsbluff_TP4,0.53576
Scottsbluff_TP4,Scottsbluff_TP3,0.19613
Scottsbluff_TP4,Scottsbluff_TP6,0.16261
Scottsbluff_TP4,Scottsbluff_TP5,0.25167
Scottsbluff_TP4,Crawfordsville_TP1,0.04588
Scottsbluff_TP4,Crawfordsville_TP2,0.07515
Scottsbluff_TP4,Crawfordsville_TP4,0.05033
Scottsbluff_TP4,Crawfordsville_TP3,0.05424
Scottsbluff_TP4,Crawfordsville_TP6,0.0
Scottsbluff_TP4,Crawfordsville_TP5,0.01009
Scottsbluff_TP4,Lincoln_TP1,0.16292
Scottsbluff_TP4,Lincoln_TP2,0.20416
Scottsbluff_TP4,Lincoln_TP4,0.11627
Scottsbluff_TP4,Lincoln_TP3,0.06758
Scottsbluff_TP4,Lincoln_TP6,0.11081
Scottsbluff_TP4,Lincoln_TP5,0.11224
Scottsbluff_TP4,Movalley_TP1,0.09369
Scottsbluff_TP4,Movalley_TP2,0.13548
Scottsbluff_TP4,Movalley_TP4,0.06649
Scottsbluff_TP4,Movalley_TP3,0.21806
Scottsbluff_TP4,Movalley_TP6,0.00164
Scottsbluff_TP4,Movalley_TP5,0.02767
Scottsbluff_TP4,Ames_TP1,0.01093
Scottsbluff_TP4,Ames_TP2,0.00627
Scottsbluff_TP4,Ames_TP4,0.03179
Scottsbluff_TP4,Ames_TP3,0.05153
Scottsbluff_TP4,Ames_TP6,0.00087
Scottsbluff_TP4,Ames_TP5,0.0
Scottsbluff_TP3,Scottsbluff_TP1,0.0071
Scottsbluff_TP3,Scottsbluff_TP2,0.0227
Scottsbluff_TP3,Scottsbluff_TP4,0.20008
Scottsbluff_TP3,Scottsbluff_TP3,0.52442
Scottsbluff_TP3,Scottsbluff_TP6,0.11767
Scottsbluff_TP3,Scottsbluff_TP5,0.18412
Scottsbluff_TP3,Crawfordsville_TP1,0.04324
Scottsbluff_TP3,Crawfordsville_TP2,0.03837
Scottsbluff_TP3,Crawfordsville_TP4,0.08134
Scottsbluff_TP3,Crawfordsville_TP3,0.02124
Scottsbluff_TP3,Crawfordsville_TP6,0.00118
Scottsbluff_TP3,Crawfordsville_TP5,0.01967
Scottsbluff_TP3,Lincoln_TP1,0.06006
Scottsbluff_TP3,Lincoln_TP2,0.07785
Scottsbluff_TP3,Lincoln_TP4,0.00564
Scottsbluff_TP3,Lincoln_TP3,0.00022
Scottsbluff_TP3,Lincoln_TP6,0.00987
Scottsbluff_TP3,Lincoln_TP5,0.01082
Scottsbluff_TP3,Movalley_TP1,0.01435
Scottsbluff_TP3,Movalley_TP2,0.04694
Scottsbluff_TP3,Movalley_TP4,0.02952
Scottsbluff_TP3,Movalley_TP3,0.05422
Scottsbluff_TP3,Movalley_TP6,0.02815
Scottsbluff_TP3,Movalley_TP5,0.02973
Scottsbluff_TP3,Ames_TP1,0.00347
Scottsbluff_TP3,Ames_TP2,0.00984
Scottsbluff_TP3,Ames_TP4,0.02516
Scottsbluff_TP3,Ames_TP3,0.01682
Scottsbluff_TP3,Ames_TP6,0.01175
Scottsbluff_TP3,Ames_TP5,0.00326
Scottsbluff_TP6,Scottsbluff_TP1,0.0234
Scottsbluff_TP6,Scottsbluff_TP2,0.00757
Scottsbluff_TP6,Scottsbluff_TP4,0.16359
Scottsbluff_TP6,Scottsbluff_TP3,0.11538
Scottsbluff_TP6,Scottsbluff_TP6,0.42258
Scottsbluff_TP6,Scottsbluff_TP5,0.1751
Scottsbluff_TP6,Crawfordsville_TP1,0.07443
Scottsbluff_TP6,Crawfordsville_TP2,0.07425
Scottsbluff_TP6,Crawfordsville_TP4,0.00092
Scottsbluff_TP6,Crawfordsville_TP3,0.1063
Scottsbluff_TP6,Crawfordsville_TP6,0.00113
Scottsbluff_TP6,Crawfordsville_TP5,0.01111
Scottsbluff_TP6,Lincoln_TP1,0.25528
Scottsbluff_TP6,Lincoln_TP2,0.16909
Scottsbluff_TP6,Lincoln_TP4,0.13808
Scottsbluff_TP6,Lincoln_TP3,0.1238
Scottsbluff_TP6,Lincoln_TP6,0.04476
Scottsbluff_TP6,Lincoln_TP5,0.05704
Scottsbluff_TP6,Movalley_TP1,0.14137
Scottsbluff_TP6,Movalley_TP2,0.12721
Scottsbluff_TP6,Movalley_TP4,0.01912
Scottsbluff_TP6,Movalley_TP3,0.2007
Scottsbluff_TP6,Movalley_TP6,0.00337
Scottsbluff_TP6,Movalley_TP5,0.00142
Scottsbluff_TP6,Ames_TP1,0.00018
Scottsbluff_TP6,Ames_TP2,0.03241
Scottsbluff_TP6,Ames_TP4,0.04668
Scottsbluff_TP6,Ames_TP3,0.06284
Scottsbluff_TP6,Ames_TP6,7e-05
Scottsbluff_TP6,Ames_TP5,0.00368
Scottsbluff_TP5,Scottsbluff_TP1,0.01516
Scottsbluff_TP5,Scottsbluff_TP2,0.01208
Scottsbluff_TP5,Scottsbluff_TP4,0.23675
Scottsbluff_TP5,Scottsbluff_TP3,0.15402
Scottsbluff_TP5,Scottsbluff_TP6,0.18056
Scottsbluff_TP5,Scottsbluff_TP5,0.7062
Scottsbluff_TP5,Crawfordsville_TP1,0.02405
Scottsbluff_TP5,Crawfordsville_TP2,0.04347
Scottsbluff_TP5,Crawfordsville_TP4,0.06154
Scottsbluff_TP5,Crawfordsville_TP3,0.03682
Scottsbluff_TP5,Crawfordsville_TP6,0.0004
Scottsbluff_TP5,Crawfordsville_TP5,0.02532
Scottsbluff_TP5,Lincoln_TP1,0.15586
Scottsbluff_TP5,Lincoln_TP2,0.17305
Scottsbluff_TP5,Lincoln_TP4,0.02953
Scottsbluff_TP5,Lincoln_TP3,0.01381
Scottsbluff_TP5,Lincoln_TP6,0.01767
Scottsbluff_TP5,Lincoln_TP5,0.02334
Scottsbluff_TP5,Movalley_TP1,0.04886
Scottsbluff_TP5,Movalley_TP2,0.1145
Scottsbluff_TP5,Movalley_TP4,0.02937
Scottsbluff_TP5,Movalley_TP3,0.16697
Scottsbluff_TP5,Movalley_TP6,0.02454
Scottsbluff_TP5,Movalley_TP5,0.04411
Scottsbluff_TP5,Ames_TP1,0.00538
Scottsbluff_TP5,Ames_TP2,0.01027
Scottsbluff_TP5,Ames_TP4,0.03598
Scottsbluff_TP5,Ames_TP3,0.04252
Scottsbluff_TP5,Ames_TP6,0.00204
Scottsbluff_TP5,Ames_TP5,0.001
Crawfordsville_TP1,Scottsbluff_TP1,0.01755
Crawfordsville_TP1,Scottsbluff_TP2,0.00517
Crawfordsville_TP1,Scottsbluff_TP4,0.03807
Crawfordsville_TP1,Scottsbluff_TP3,0.02684
Crawfordsville_TP1,Scottsbluff_TP6,0.07492
Crawfordsville_TP1,Scottsbluff_TP5,0.04321
Crawfordsville_TP1,Crawfordsville_TP1,0.59133
Crawfordsville_TP1,Crawfordsville_TP2,0.15134
Crawfordsville_TP1,Crawfordsville_TP4,0.01525
Crawfordsville_TP1,Crawfordsville_TP3,0.15739
Crawfordsville_TP1,Crawfordsville_TP6,0.05136
Crawfordsville_TP1,Crawfordsville_TP5,0.00511
Crawfordsville_TP1,Lincoln_TP1,0.22309
Crawfordsville_TP1,Lincoln_TP2,0.17307
Crawfordsville_TP1,Lincoln_TP4,0.23635
Crawfordsville_TP1,Lincoln_TP3,0.11267
Crawfordsville_TP1,Lincoln_TP6,0.05556
Crawfordsville_TP1,Lincoln_TP5,0.08687
Crawfordsville_TP1,Movalley_TP1,0.07928
Crawfordsville_TP1,Movalley_TP2,0.23134
Crawfordsville_TP1,Movalley_TP4,0.05084
Crawfordsville_TP1,Movalley_TP3,0.16054
Crawfordsville_TP1,Movalley_TP6,0.00954
Crawfordsville_TP1,Movalley_TP5,0.00585
Crawfordsville_TP1,Ames_TP1,0.01944
Crawfordsville_TP1,Ames_TP2,0.13996
Crawfordsville_TP1,Ames_TP4,0.23969
Crawfordsville_TP1,Ames_TP3,0.2587
Crawfordsville_TP1,Ames_TP6,0.03574
Crawfordsville_TP1,Ames_TP5,0.1396
Crawfordsville_TP2,Scottsbluff_TP1,0.02228
Crawfordsville_TP2,Scottsbluff_TP2,0.01524
Crawfordsville_TP2,Scottsbluff_TP4,0.03872
Crawfordsville_TP2,Scottsbluff_TP3,0.02378
Crawfordsville_TP2,Scottsbluff_TP6,0.06585
Crawfordsville_TP2,Scottsbluff_TP5,0.04868
Crawfordsville_TP2,Crawfordsville_TP1,0.17153
Crawfordsville_TP2,Crawfordsville_TP2,0.57476
Crawfordsville_TP2,Crawfordsville_TP4,0.01198
Crawfordsville_TP2,Crawfordsville_TP3,0.21454
Crawfordsville_TP2,Crawfordsville_TP6,0.03928
Crawfordsville_TP2,Crawfordsville_TP5,0.00268
Crawfordsville_TP2,Lincoln_TP1,0.24823
Crawfordsville_TP2,Lincoln_TP2,0.19934
Crawfordsville_TP2,Lincoln_TP4,0.1251
Crawfordsville_TP2,Lincoln_TP3,0.12055
Crawfordsville_TP2,Lincoln_TP6,0.05095
Crawfordsville_TP2,Lincoln_TP5,0.06372
Crawfordsville_TP2,Movalley_TP1,0.19075
Crawfordsville_TP2,Movalley_TP2,0.26418
Crawfordsville_TP2,Movalley_TP4,0.1293
Crawfordsville_TP2,Movalley_TP3,0.33731
Crawfordsville_TP2,Movalley_TP6,0.00225
Crawfordsville_TP2,Movalley_TP5,0.06909
Crawfordsville_TP2,Ames_TP1,0.00664
Crawfordsville_TP2,Ames_TP2,0.11768
Crawfordsville_TP2,Ames_TP4,0.25377
Crawfordsville_TP2,Ames_TP3,0.2362
Crawfordsville_TP2,Ames_TP6,0.03842
Crawfordsville_TP2,Ames_TP5,0.10588
Crawfordsville_TP4,Scottsbluff_TP1,0.00183
Crawfordsville_TP4,Scottsbluff_TP2,0.01531
Crawfordsville_TP4,Scottsbluff_TP4,0.02385
Crawfordsville_TP4,Scottsbluff_TP3,0.02935
Crawfordsville_TP4,Scottsbluff_TP6,0.02513
Crawfordsville_TP4,Scottsbluff_TP5,0.03136
Crawfordsville_TP4,Crawfordsville_TP1,0.05981
Crawfordsville_TP4,Crawfordsville_TP2,0.07394
Crawfordsville_TP4,Crawfordsville_TP4,0.53795
Crawfordsville_TP4,Crawfordsville_TP3,0.05724
Crawfordsville_TP4,Crawfordsville_TP6,0.0
Crawfordsville_TP4,Crawfordsville_TP5,0.02423
Crawfordsville_TP4,Lincoln_TP1,0.10073
Crawfordsville_TP4,Lincoln_TP2,0.15687
Crawfordsville_TP4,Lincoln_TP4,0.04202
Crawfordsville_TP4,Lincoln_TP3,0.00536
Crawfordsville_TP4,Lincoln_TP6,0.07262
Crawfordsville_TP4,Lincoln_TP5,0.08256
Crawfordsville_TP4,Movalley_TP1,0.0407
Crawfordsville_TP4,Movalley_TP2,0.09623
Crawfordsville_TP4,Movalley_TP4,0.12213
Crawfordsville_TP4,Movalley_TP3,0.24239
Crawfordsville_TP4,Movalley_TP6,0.0542
Crawfordsville_TP4,Movalley_TP5,0.06547
Crawfordsville_TP4,Ames_TP1,1e-05
Crawfordsville_TP4,Ames_TP2,0.02089
Crawfordsville_TP4,Ames_TP4,0.226
Crawfordsville_TP4,Ames_TP3,0.09909
Crawfordsville_TP4,Ames_TP6,0.09767
Crawfordsville_TP4,Ames_TP5,0.14971
Crawfordsville_TP3,Scottsbluff_TP1,0.02436
Crawfordsville_TP3,Scottsbluff_TP2,0.0058
Crawfordsville_TP3,Scottsbluff_TP4,0.0263
Crawfordsville_TP3,Scottsbluff_TP3,0.01559
Crawfordsville_TP3,Scottsbluff_TP6,0.07229
Crawfordsville_TP3,Scottsbluff_TP5,0.03926
Crawfordsville_TP3,Crawfordsville_TP1,0.13139
Crawfordsville_TP3,Crawfordsville_TP2,0.16479
Crawfordsville_TP3,Crawfordsville_TP4,0.01974
Crawfordsville_TP3,Crawfordsville_TP3,0.48552
Crawfordsville_TP3,Crawfordsville_TP6,0.04604
Crawfordsville_TP3,Crawfordsville_TP5,0.00577
Crawfordsville_TP3,Lincoln_TP1,0.28262
Crawfordsville_TP3,Lincoln_TP2,0.26758
Crawfordsville_TP3,Lincoln_TP4,0.24969
Crawfordsville_TP3,Lincoln_TP3,0.17799
Crawfordsville_TP3,Lincoln_TP6,0.14769
Crawfordsville_TP3,Lincoln_TP5,0.1674
Crawfordsville_TP3,Movalley_TP1,0.18383
Crawfordsville_TP3,Movalley_TP2,0.25885
Crawfordsville_TP3,Movalley_TP4,0.16389
Crawfordsville_TP3,Movalley_TP3,0.39863
Crawfordsville_TP3,Movalley_TP6,0.03372
Crawfordsville_TP3,Movalley_TP5,0.0632
Crawfordsville_TP3,Ames_TP1,0.01403
Crawfordsville_TP3,Ames_TP2,0.13318
Crawfordsville_TP3,Ames_TP4,0.29704
Crawfordsville_TP3,Ames_TP3,0.30491
Crawfordsville_TP3,Ames_TP6,0.03115
Crawfordsville_TP3,Ames_TP5,0.13107
Crawfordsville_TP6,Scottsbluff_TP1,0.00383
Crawfordsville_TP6,Scottsbluff_TP2,0.00067
Crawfordsville_TP6,Scottsbluff_TP4,0.01078
Crawfordsville_TP6,Scottsbluff_TP3,0.01292
Crawfordsville_TP6,Scottsbluff_TP6,0.0001
Crawfordsville_TP6,Scottsbluff_TP5,0.00982
Crawfordsville_TP6,Crawfordsville_TP1,0.0259
Crawfordsville_TP6,Crawfordsville_TP2,0.00662
Crawfordsville_TP6,Crawfordsville_TP4,0.02002
Crawfordsville_TP6,Crawfordsville_TP3,0.0033
Crawfordsville_TP6,Crawfordsville_TP6,0.37359
Crawfordsville_TP6,Crawfordsville_TP5,0.03217
Crawfordsville_TP6,Lincoln_TP1,0.02361
Crawfordsville_TP6,Lincoln_TP2,1e-05
Crawfordsville_TP6,Lincoln_TP4,0.06089
Crawfordsville_TP6,Lincoln_TP3,0.08583
Crawfordsville_TP6,Lincoln_TP6,0.00963
Crawfordsville_TP6,Lincoln_TP5,0.00199
Crawfordsville_TP6,Movalley_TP1,3e-05
Crawfordsville_TP6,Movalley_TP2,0.00283
Crawfordsville_TP6,Movalley_TP4,0.00861
Crawfordsville_TP6,Movalley_TP3,0.00661
Crawfordsville_TP6,Movalley_TP6,0.08913
Crawfordsville_TP6,Movalley_TP5,0.0282
Crawfordsville_TP6,Ames_TP1,0.02881
Crawfordsville_TP6,Ames_TP2,0.01745
Crawfordsville_TP6,Ames_TP4,0.00188
Crawfordsville_TP6,Ames_TP3,0.06879
Crawfordsville_TP6,Ames_TP6,0.00314
Crawfordsville_TP6,Ames_TP5,0.00362
Crawfordsville_TP5,Scottsbluff_TP1,0.00147
Crawfordsville_TP5,Scottsbluff_TP2,0.00141
Crawfordsville_TP5,Scottsbluff_TP4,0.01961
Crawfordsville_TP5,Scottsbluff_TP3,0.02535
Crawfordsville_TP5,Scottsbluff_TP6,0.00967
Crawfordsville_TP5,Scottsbluff_TP5,0.0298
Crawfordsville_TP5,Crawfordsville_TP1,4e-05
Crawfordsville_TP5,Crawfordsville_TP2,0.00316
Crawfordsville_TP5,Crawfordsville_TP4,0.01607
Crawfordsville_TP5,Crawfordsville_TP3,0.00706
Crawfordsville_TP5,Crawfordsville_TP6,0.09347
Crawfordsville_TP5,Crawfordsville_TP5,0.29018
Crawfordsville_TP5,Lincoln_TP1,0.05018
Crawfordsville_TP5,Lincoln_TP2,0.05245
Crawfordsville_TP5,Lincoln_TP4,0.18528
Crawfordsville_TP5,Lincoln_TP3,0.09961
Crawfordsville_TP5,Lincoln_TP6,0.08311
Crawfordsville_TP5,Lincoln_TP5,0.06881
Crawfordsville_TP5,Movalley_TP1,6e-05
Crawfordsville_TP5,Movalley_TP2,0.00063
Crawfordsville_TP5,Movalley_TP4,0.01441
Crawfordsville_TP5,Movalley_TP3,0.0069
Crawfordsville_TP5,Movalley_TP6,0.05313
Crawfordsville_TP5,Movalley_TP5,0.0321
Crawfordsville_TP5,Ames_TP1,0.00085
Crawfordsville_TP5,Ames_TP2,0.0003
Crawfordsville_TP5,Ames_TP4,0.00388
Crawfordsville_TP5,Ames_TP3,0.04248
Crawfordsville_TP5,Ames_TP6,0.02759
Crawfordsville_TP5,Ames_TP5,0.00746
Lincoln_TP1,Scottsbluff_TP1,0.01138
Lincoln_TP1,Scottsbluff_TP2,0.00575
Lincoln_TP1,Scottsbluff_TP4,0.07953
Lincoln_TP1,Scottsbluff_TP3,0.06715
Lincoln_TP1,Scottsbluff_TP6,0.08648
Lincoln_TP1,Scottsbluff_TP5,0.08484
Lincoln_TP1,Crawfordsville_TP1,0.10842
Lincoln_TP1,Crawfordsville_TP2,0.09788
Lincoln_TP1,Crawfordsville_TP4,0.00228
Lincoln_TP1,Crawfordsville_TP3,0.10952
Lincoln_TP1,Crawfordsville_TP6,0.04711
Lincoln_TP1,Crawfordsville_TP5,0.0085
Lincoln_TP1,Lincoln_TP1,0.60841
Lincoln_TP1,Lincoln_TP2,0.27421
Lincoln_TP1,Lincoln_TP4,0.20583
Lincoln_TP1,Lincoln_TP3,0.172
Lincoln_TP1,Lincoln_TP6,0.06707
Lincoln_TP1,Lincoln_TP5,0.08878
Lincoln_TP1,Movalley_TP1,0.11012
Lincoln_TP1,Movalley_TP2,0.21833
Lincoln_TP1,Movalley_TP4,0.04942
Lincoln_TP1,Movalley_TP3,0.27788
Lincoln_TP1,Movalley_TP6,0.00684
Lincoln_TP1,Movalley_TP5,0.02272
Lincoln_TP1,Ames_TP1,0.0187
Lincoln_TP1,Ames_TP2,0.12512
Lincoln_TP1,Ames_TP4,0.1517
Lincoln_TP1,Ames_TP3,0.24332
Lincoln_TP1,Ames_TP6,0.00048
Lincoln_TP1,Ames_TP5,0.01462
Lincoln_TP2,Scottsbluff_TP1,0.01208
Lincoln_TP2,Scottsbluff_TP2,0.00029
Lincoln_TP2,Scottsbluff_TP4,0.03074
Lincoln_TP2,Scottsbluff_TP3,0.01211
Lincoln_TP2,Scottsbluff_TP6,0.03982
Lincoln_TP2,Scottsbluff_TP5,0.03266
Lincoln_TP2,Crawfordsville_TP1,0.04772
Lincoln_TP2,Crawfordsville_TP2,0.06422
Lincoln_TP2,Crawfordsville_TP4,0.05255
Lincoln_TP2,Crawfordsville_TP3,0.10968
Lincoln_TP2,Crawfordsville_TP6,0.01684
Lincoln_TP2,Crawfordsville_TP5,0.00531
Lincoln_TP2,Lincoln_TP1,0.26143
Lincoln_TP2,Lincoln_TP2,0.62827
Lincoln_TP2,Lincoln_TP4,0.24798
Lincoln_TP2,Lincoln_TP3,0.12501
Lincoln_TP2,Lincoln_TP6,0.26277
Lincoln_TP2,Lincoln_TP5,0.26281
Lincoln_TP2,Movalley_TP1,0.09484
Lincoln_TP2,Movalley_TP2,0.1707
Lincoln_TP2,Movalley_TP4,0.16267
Lincoln_TP2,Movalley_TP3,0.34632
Lincoln_TP2,Movalley_TP6,0.00341
Lincoln_TP2,Movalley_TP5,0.07097
Lincoln_TP2,Ames_TP1,0.00244
Lincoln_TP2,Ames_TP2,0.0652
Lincoln_TP2,Ames_TP4,0.21897
Lincoln_TP2,Ames_TP3,0.22048
Lincoln_TP2,Ames_TP6,0.00557
Lincoln_TP2,Ames_TP5,0.0715
Lincoln_TP4,Scottsbluff_TP1,0.00866
Lincoln_TP4,Scottsbluff_TP2,0.00208
Lincoln_TP4,Scottsbluff_TP4,0.00116
Lincoln_TP4,Scottsbluff_TP3,0.01203
Lincoln_TP4,Scottsbluff_TP6,0.00882
Lincoln_TP4,Scottsbluff_TP5,0.00385
Lincoln_TP4,Crawfordsville_TP1,0.04157
Lincoln_TP4,Crawfordsville_TP2,0.03654
Lincoln_TP4,Crawfordsville_TP4,0.00895
Lincoln_TP4,Crawfordsville_TP3,0.07837
Lincoln_TP4,Crawfordsville_TP6,0.10941
Lincoln_TP4,Crawfordsville_TP5,0.04912
Lincoln_TP4,Lincoln_TP1,0.17764
Lincoln_TP4,Lincoln_TP2,0.25185
Lincoln_TP4,Lincoln_TP4,0.64272
Lincoln_TP4,Lincoln_TP3,0.29472
Lincoln_TP4,Lincoln_TP6,0.31862
Lincoln_TP4,Lincoln_TP5,0.35835
Lincoln_TP4,Movalley_TP1,0.03803
Lincoln_TP4,Movalley_TP2,0.08817
Lincoln_TP4,Movalley_TP4,0.04845
Lincoln_TP4,Movalley_TP3,0.16
Lincoln_TP4,Movalley_TP6,0.14822
Lincoln_TP4,Movalley_TP5,0.0
Lincoln_TP4,Ames_TP1,0.03126
Lincoln_TP4,Ames_TP2,0.03278
Lincoln_TP4,Ames_TP4,0.11335
Lincoln_TP4,Ames_TP3,0.29194
Lincoln_TP4,Ames_TP6,0.00404
Lincoln_TP4,Ames_TP5,0.04718
Lincoln_TP3,Scottsbluff_TP1,0.00535
Lincoln_TP3,Scottsbluff_TP2,0.00167
Lincoln_TP3,Scottsbluff_TP4,0.01892
Lincoln_TP3,Scottsbluff_TP3,0.00019
Lincoln_TP3,Scottsbluff_TP6,0.05014
Lincoln_TP3,Scottsbluff_TP5,0.00999
Lincoln_TP3,Crawfordsville_TP1,0.05129
Lincoln_TP3,Crawfordsville_TP2,0.05382
Lincoln_TP3,Crawfordsville_TP4,0.02889
Lincoln_TP3,Crawfordsville_TP3,0.07662
Lincoln_TP3,Crawfordsville_TP6,0.08671
Lincoln_TP3,Crawfordsville_TP5,0.03641
Lincoln_TP3,Lincoln_TP1,0.14091
Lincoln_TP3,Lincoln_TP2,0.13084
Lincoln_TP3,Lincoln_TP4,0.38065
Lincoln_TP3,Lincoln_TP3,0.56658
Lincoln_TP3,Lincoln_TP6,0.07476
Lincoln_TP3,Lincoln_TP5,0.07405
Lincoln_TP3,Movalley_TP1,0.07305
Lincoln_TP3,Movalley_TP2,0.09924
Lincoln_TP3,Movalley_TP4,0.00476
Lincoln_TP3,Movalley_TP3,0.09024
