testset,Ames_TP1,Ames_TP2,Ames_TP3,Ames_TP4,Ames_TP5,Ames_TP6,Crawfordsville_TP1,Crawfordsville_TP2,Crawfordsville_TP3,Crawfordsville_TP4,Crawfordsville_TP5,Crawfordsville_TP6,Lincoln_TP1,Lincoln_TP2,Lincoln_TP3,Lincoln_TP4,Lincoln_TP5,Lincoln_TP6,Movalley_TP1,Movalley_TP2,Movalley_TP3,Movalley_TP4,Movalley_TP5,Movalley_TP6,Scottsbluff_TP1,Scottsbluff_TP2,Scottsbluff_TP3,Scottsbluff_TP4,Scottsbluff_TP5,Scottsbluff_TP6
Ames_TP1,0.34027,0.04817,0.03156,0.01004,0.00365,0.00186,0.01436,0.00118,0.01121,8e-05,0.00033,0.02702,0.02157,0.0034,0.03174,0.03827,0.00102,1e-05,5e-05,0.00724,0.00024,0.00259,0.00198,0.00824,0.00516,0.00212,0.00463,0.00921,0.00634,3e-05
Ames_TP2,0.18602,0.3598,0.18912,0.11396,0.06612,0.0663,0.12771,0.10577,0.12762,0.01985,0.0,0.01526,0.12675,0.0687,0.04824,0.04669,1e-05,0.00041,0.05644,0.10577,0.05816,0.06936,0.06112,0.00488,0.00353,0.00635,0.00743,0.0061,0.01043,0.03121
Ames_TP3,0.31844,0.36009,0.48702,0.30873,0.20576,0.19658,0.24284,0.23704,0.30813,0.10232,0.01195,0.03517,0.25203,0.21322,0.22873,0.30866,0.09699,0.07286,0.17337,0.25206,0.20776,0.21703,0.18796,0.09531,0.05706,0.01193,0.01928,0.05239,0.04401,0.08221
Ames_TP4,0.15706,0.2573,0.29231,0.45687,0.33105,0.22831,0.23614,0.25445,0.28909,0.22293,0.00215,0.01095,0.16559,0.21967,0.02379,0.12557,0.05907,0.04573,0.20853,0.23643,0.2382,0.26487,0.26425,0.00874,0.16353,0.07586,0.01745,0.02734,0.03629,0.05812
Ames_TP5,0.03592,0.09233,0.10943,0.15582,0.3891,0.18896,0.13584,0.09559,0.13104,0.15136,0.03403,0.0112,0.01873,0.07161,0.00457,0.04868,0.03123,0.03351,0.11717,0.09226,0.11127,0.11138,0.09402,0.00673,0.10365,0.06757,0.00796,0.00016,0.00109,0.00365
Ames_TP6,0.00337,0.04337,0.05094,0.04732,0.11739,0.34183,0.04041,0.04682,0.03067,0.0933,0.03419,0.00064,0.00026,0.00536,0.0142,0.00324,0.0037,0.00342,0.04322,0.04498,0.03432,0.03527,0.02342,0.00307,0.01007,0.04176,0.01841,0.00021,0.00134,0.00036
Crawfordsville_TP1,0.08104,0.12657,0.11435,0.11343,0.14858,0.10203,0.66412,0.1583,0.13863,0.0516,0.00015,0.02571,0.107,0.04633,0.05612,0.05146,0.0001,0.00124,0.07404,0.11536,0.06402,0.0447,0.03145,0.02938,0.02238,0.02443,0.05627,0.04882,0.02971,0.08109
Crawfordsville_TP2,0.05078,0.11495,0.11557,0.12467,0.09578,0.0706,0.15309,0.36915,0.18198,0.06525,0.00356,0.00393,0.10092,0.06672,0.0548,0.04196,0.00711,0.00193,0.12288,0.12707,0.10052,0.07695,0.06506,0.02077,0.03296,0.01188,0.04543,0.06818,0.04571,0.07077
Crawfordsville_TP3,0.0784,0.14978,0.1671,0.1756,0.13701,0.07058,0.14697,0.21159,0.56372,0.05187,0.00225,0.00041,0.11829,0.11039,0.07468,0.08276,0.03634,0.0216,0.13414,0.13312,0.12145,0.10013,0.07932,0.02682,0.05376,0.0058,0.02578,0.0496,0.0414,0.1183
Crawfordsville_TP4,0.00509,0.00593,0.02317,0.08226,0.13115,0.10679,0.02322,0.04876,0.02331,0.60882,0.04097,0.02197,0.0021,0.05467,0.0331,0.00787,0.03619,0.03829,0.03384,0.06688,0.07859,0.08356,0.06752,0.04123,0.00052,0.02016,0.06057,0.04738,0.06242,0.00196
