testset,Ames_TP1,Ames_TP2,Ames_TP3,Ames_TP4,Ames_TP5,Ames_TP6,Crawfordsville_TP1,Crawfordsville_TP2,Crawfordsville_TP3,Crawfordsville_TP4,Crawfordsville_TP5,Crawfordsville_TP6,Lincoln_TP1,Lincoln_TP2,Lincoln_TP3,Lincoln_TP4,Lincoln_TP5,Lincoln_TP6,Movalley_TP1,Movalley_TP2,Movalley_TP3,Movalley_TP4,Movalley_TP5,Movalley_TP6,Scottsbluff_TP1,Scottsbluff_TP2,Scottsbluff_TP3,Scottsbluff_TP4,Scottsbluff_TP5,Scottsbluff_TP6
Ames_TP1,0.33998,0.04691,0.03495,0.00963,0.00392,0.00369,0.01934,0.0065,0.01708,0.00013,0.00036,0.02854,0.01929,0.00355,0.03532,0.0332,0.00066,0.0,0.00014,0.00708,0.00028,0.0028,0.0016,0.01218,0.003,0.00212,0.0045,0.00951,0.00669,0.00079
Ames_TP2,0.17947,0.36262,0.19076,0.11843,0.06073,0.07506,0.14129,0.12697,0.14738,0.02321,6e-05,0.01373,0.12334,0.06947,0.06446,0.04082,0.00026,0.00079,0.06284,0.10651,0.05685,0.07266,0.06168,0.00832,0.00855,0.00571,0.00835,0.00796,0.00895,0.02811
Ames_TP3,0.31658,0.36048,0.48636,0.30967,0.19411,0.21124,0.25986,0.24983,0.31549,0.11484,0.01959,0.0306,0.23787,0.21555,0.24516,0.29227,0.08973,0.06779,0.1781,0.25174,0.2037,0.22099,0.19008,0.10417,0.07658,0.01023,0.02137,0.05909,0.0429,0.07578
Ames_TP4,0.15125,0.25169,0.28641,0.46011,0.3309,0.23967,0.23735,0.25438,0.28915,0.21633,7e-05,0.01061,0.14776,0.22512,0.04432,0.12055,0.04642,0.0442,0.21972,0.2378,0.23153,0.27184,0.2686,0.00019,0.1853,0.07245,0.0238,0.03369,0.03784,0.05412
Ames_TP5,0.03596,0.09115,0.10359,0.14736,0.39159,0.19721,0.13992,0.0956,0.12082,0.14619,0.02,0.007,0.01106,0.0729,0.0,0.04522,0.02862,0.03128,0.11989,0.09702,0.10643,0.11093,0.09386,0.00251,0.11653,0.06626,0.00357,1e-05,0.00145,0.00354
Ames_TP6,0.00079,0.04237,0.04991,0.04363,0.11212,0.33379,0.03975,0.03417,0.03557,0.09332,0.02865,0.00116,0.00021,0.00592,0.00954,0.00205,0.00315,0.00371,0.04488,0.04808,0.03451,0.03531,0.02311,0.00657,0.0117,0.03916,0.01149,0.00034,0.00095,7e-05
Crawfordsville_TP1,0.07677,0.1253,0.11435,0.10761,0.14464,0.10275,0.60218,0.17667,0.13127,0.05378,8e-05,0.026,0.1073,0.04895,0.05933,0.04731,0.00044,0.00208,0.07173,0.11378,0.0585,0.04778,0.03317,0.02716,0.02204,0.02513,0.0524,0.05107,0.02823,0.07971
Crawfordsville_TP2,0.05233,0.11621,0.11873,0.12737,0.09554,0.07078,0.15629,0.56934,0.1519,0.06047,0.0041,0.00285,0.09753,0.06675,0.05951,0.0374,0.00669,0.00173,0.13016,0.12707,0.09313,0.07953,0.06494,0.02077,0.03975,0.01046,0.05126,0.08248,0.04179,0.0657
Crawfordsville_TP3,0.07675,0.15582,0.1668,0.17816,0.13849,0.07907,0.15943,0.21075,0.37294,0.0555,0.00581,0.00019,0.10851,0.11094,0.08266,0.07885,0.033,0.0217,0.14268,0.13364,0.11425,0.10278,0.08123,0.02626,0.06023,0.0058,0.03184,0.06041,0.03445,0.11067
Crawfordsville_TP4,0.00693,0.0037,0.02675,0.075,0.11787,0.09487,0.01959,0.01971,0.02719,0.55458,0.03579,0.02312,0.00149,0.05697,0.01954,0.00572,0.03556,0.04132,0.03745,0.06856,0.07959,0.08217,0.06831,0.03615,0.00327,0.02158,0.07421,0.04473,0.06475,0.00138
