model,testset,r2
Scottsbluff_TP3,Scottsbluff_TP3,0.52158
Scottsbluff_TP3,Scottsbluff_TP2,0.00109
Scottsbluff_TP3,Scottsbluff_TP1,0.00747
Scottsbluff_TP3,Crawfordsville_TP3,0.0078
Scottsbluff_TP3,Crawfordsville_TP2,0.04089
Scottsbluff_TP3,Crawfordsville_TP1,0.0325
Scottsbluff_TP3,Lincoln_TP3,0.01149
Scottsbluff_TP3,Lincoln_TP2,0.02446
Scottsbluff_TP3,Lincoln_TP1,0.00416
Scottsbluff_TP3,Movalley_TP3,0.00135
Scottsbluff_TP3,Movalley_TP2,0.00148
Scottsbluff_TP3,Movalley_TP1,0.01334
Scottsbluff_TP3,Ames_TP3,1e-05
Scottsbluff_TP3,Ames_TP2,0.028
Scottsbluff_TP3,Ames_TP1,0.01076
Scottsbluff_TP2,Scottsbluff_TP3,3e-05
Scottsbluff_TP2,Scottsbluff_TP2,0.42903
Scottsbluff_TP2,Scottsbluff_TP1,0.01768
Scottsbluff_TP2,Crawfordsville_TP3,0.02538
Scottsbluff_TP2,Crawfordsville_TP2,0.02282
Scottsbluff_TP2,Crawfordsville_TP1,0.07737
Scottsbluff_TP2,Lincoln_TP3,0.25601
Scottsbluff_TP2,Lincoln_TP2,0.34348
Scottsbluff_TP2,Lincoln_TP1,0.21263
Scottsbluff_TP2,Movalley_TP3,0.31165
Scottsbluff_TP2,Movalley_TP2,0.03197
Scottsbluff_TP2,Movalley_TP1,0.06835
Scottsbluff_TP2,Ames_TP3,0.21994
Scottsbluff_TP2,Ames_TP2,0.07344
Scottsbluff_TP2,Ames_TP1,0.02376
Scottsbluff_TP1,Scottsbluff_TP3,0.00097
Scottsbluff_TP1,Scottsbluff_TP2,0.00146
Scottsbluff_TP1,Scottsbluff_TP1,0.51019
Scottsbluff_TP1,Crawfordsville_TP3,0.00083
Scottsbluff_TP1,Crawfordsville_TP2,0.00262
Scottsbluff_TP1,Crawfordsville_TP1,0.0131
Scottsbluff_TP1,Lincoln_TP3,0.07645
Scottsbluff_TP1,Lincoln_TP2,0.08014
Scottsbluff_TP1,Lincoln_TP1,0.00505
Scottsbluff_TP1,Movalley_TP3,0.03046
Scottsbluff_TP1,Movalley_TP2,0.00089
Scottsbluff_TP1,Movalley_TP1,0.0316
Scottsbluff_TP1,Ames_TP3,0.00711
Scottsbluff_TP1,Ames_TP2,0.09435
Scottsbluff_TP1,Ames_TP1,0.00701
Crawfordsville_TP3,Scottsbluff_TP3,0.00038
Crawfordsville_TP3,Scottsbluff_TP2,0.02412
Crawfordsville_TP3,Scottsbluff_TP1,0.00309
Crawfordsville_TP3,Crawfordsville_TP3,0.32196
Crawfordsville_TP3,Crawfordsville_TP2,0.00399
Crawfordsville_TP3,Crawfordsville_TP1,0.0066
Crawfordsville_TP3,Lincoln_TP3,0.08991
Crawfordsville_TP3,Lincoln_TP2,0.03115
Crawfordsville_TP3,Lincoln_TP1,0.00816
Crawfordsville_TP3,Movalley_TP3,0.0647
Crawfordsville_TP3,Movalley_TP2,0.01058
Crawfordsville_TP3,Movalley_TP1,5e-05
Crawfordsville_TP3,Ames_TP3,0.02218
Crawfordsville_TP3,Ames_TP2,0.01522
Crawfordsville_TP3,Ames_TP1,0.01274
Crawfordsville_TP2,Scottsbluff_TP3,0.01347
Crawfordsville_TP2,Scottsbluff_TP2,0.03868
Crawfordsville_TP2,Scottsbluff_TP1,8e-05
Crawfordsville_TP2,Crawfordsville_TP3,0.02972
Crawfordsville_TP2,Crawfordsville_TP2,0.27914
Crawfordsville_TP2,Crawfordsville_TP1,0.04854
Crawfordsville_TP2,Lincoln_TP3,0.12337
Crawfordsville_TP2,Lincoln_TP2,0.13196
Crawfordsville_TP2,Lincoln_TP1,0.06411
Crawfordsville_TP2,Movalley_TP3,0.13934
Crawfordsville_TP2,Movalley_TP2,0.0403
Crawfordsville_TP2,Movalley_TP1,0.05609
Crawfordsville_TP2,Ames_TP3,0.21966
Crawfordsville_TP2,Ames_TP2,0.03774
Crawfordsville_TP2,Ames_TP1,0.00388
Crawfordsville_TP1,Scottsbluff_TP3,0.00017
Crawfordsville_TP1,Scottsbluff_TP2,0.00667
Crawfordsville_TP1,Scottsbluff_TP1,0.00032
Crawfordsville_TP1,Crawfordsville_TP3,0.01088
Crawfordsville_TP1,Crawfordsville_TP2,0.01639
Crawfordsville_TP1,Crawfordsville_TP1,0.54725
Crawfordsville_TP1,Lincoln_TP3,0.0973
Crawfordsville_TP1,Lincoln_TP2,0.19173
Crawfordsville_TP1,Lincoln_TP1,0.20099
Crawfordsville_TP1,Movalley_TP3,0.0977
Crawfordsville_TP1,Movalley_TP2,0.07792
Crawfordsville_TP1,Movalley_TP1,0.07476
Crawfordsville_TP1,Ames_TP3,0.22076
Crawfordsville_TP1,Ames_TP2,0.15991
Crawfordsville_TP1,Ames_TP1,0.00379
Lincoln_TP3,Scottsbluff_TP3,0.00061
Lincoln_TP3,Scottsbluff_TP2,0.02963
Lincoln_TP3,Scottsbluff_TP1,0.00016
Lincoln_TP3,Crawfordsville_TP3,0.02198
Lincoln_TP3,Crawfordsville_TP2,0.01531
Lincoln_TP3,Crawfordsville_TP1,0.06675
Lincoln_TP3,Lincoln_TP3,0.59184
Lincoln_TP3,Lincoln_TP2,0.41026
Lincoln_TP3,Lincoln_TP1,0.22829
Lincoln_TP3,Movalley_TP3,0.32918
Lincoln_TP3,Movalley_TP2,0.04223
Lincoln_TP3,Movalley_TP1,0.03144
Lincoln_TP3,Ames_TP3,0.28701
Lincoln_TP3,Ames_TP2,0.10594
Lincoln_TP3,Ames_TP1,0.01583
Lincoln_TP2,Scottsbluff_TP3,0.01704
Lincoln_TP2,Scottsbluff_TP2,0.01749
Lincoln_TP2,Scottsbluff_TP1,0.00108
Lincoln_TP2,Crawfordsville_TP3,0.00541
Lincoln_TP2,Crawfordsville_TP2,0.00982
Lincoln_TP2,Crawfordsville_TP1,0.08902
Lincoln_TP2,Lincoln_TP3,0.31922
Lincoln_TP2,Lincoln_TP2,0.49915
Lincoln_TP2,Lincoln_TP1,0.2689
Lincoln_TP2,Movalley_TP3,0.27653
Lincoln_TP2,Movalley_TP2,0.06253
Lincoln_TP2,Movalley_TP1,0.04761
Lincoln_TP2,Ames_TP3,0.30006
Lincoln_TP2,Ames_TP2,0.14432
Lincoln_TP2,Ames_TP1,0.00599
Lincoln_TP1,Scottsbluff_TP3,0.02767
Lincoln_TP1,Scottsbluff_TP2,0.00033
Lincoln_TP1,Scottsbluff_TP1,0.00176
Lincoln_TP1,Crawfordsville_TP3,0.00089
Lincoln_TP1,Crawfordsville_TP2,0.002
Lincoln_TP1,Crawfordsville_TP1,0.10895
Lincoln_TP1,Lincoln_TP3,0.19848
Lincoln_TP1,Lincoln_TP2,0.33157
Lincoln_TP1,Lincoln_TP1,0.56533
Lincoln_TP1,Movalley_TP3,0.15689
Lincoln_TP1,Movalley_TP2,0.05444
Lincoln_TP1,Movalley_TP1,0.04431
Lincoln_TP1,Ames_TP3,0.31357
Lincoln_TP1,Ames_TP2,0.15192
Lincoln_TP1,Ames_TP1,0.00507
Movalley_TP3,Scottsbluff_TP3,0.00203
Movalley_TP3,Scottsbluff_TP2,0.0309
Movalley_TP3,Scottsbluff_TP1,0.00026
Movalley_TP3,Crawfordsville_TP3,0.00185
Movalley_TP3,Crawfordsville_TP2,0.01175
Movalley_TP3,Crawfordsville_TP1,0.05602
Movalley_TP3,Lincoln_TP3,0.29704
Movalley_TP3,Lincoln_TP2,0.33554
Movalley_TP3,Lincoln_TP1,0.26558
Movalley_TP3,Movalley_TP3,0.5637
Movalley_TP3,Movalley_TP2,0.1081
Movalley_TP3,Movalley_TP1,0.03834
Movalley_TP3,Ames_TP3,0.30357
Movalley_TP3,Ames_TP2,0.0825
Movalley_TP3,Ames_TP1,0.03147
Movalley_TP2,Scottsbluff_TP3,7e-05
Movalley_TP2,Scottsbluff_TP2,0.00917
Movalley_TP2,Scottsbluff_TP1,0.00555
Movalley_TP2,Crawfordsville_TP3,3e-05
Movalley_TP2,Crawfordsville_TP2,0.01225
Movalley_TP2,Crawfordsville_TP1,0.07555
Movalley_TP2,Lincoln_TP3,0.13849
Movalley_TP2,Lincoln_TP2,0.17544
Movalley_TP2,Lincoln_TP1,0.20453
Movalley_TP2,Movalley_TP3,0.2874
Movalley_TP2,Movalley_TP2,0.36102
Movalley_TP2,Movalley_TP1,0.07811
Movalley_TP2,Ames_TP3,0.2761
Movalley_TP2,Ames_TP2,0.05549
Movalley_TP2,Ames_TP1,0.0283
Movalley_TP1,Scottsbluff_TP3,0.00325
Movalley_TP1,Scottsbluff_TP2,0.00827
Movalley_TP1,Scottsbluff_TP1,0.00848
Movalley_TP1,Crawfordsville_TP3,0.00108
Movalley_TP1,Crawfordsville_TP2,0.01268
Movalley_TP1,Crawfordsville_TP1,0.09828
Movalley_TP1,Lincoln_TP3,0.0787
Movalley_TP1,Lincoln_TP2,0.1779
Movalley_TP1,Lincoln_TP1,0.17489
Movalley_TP1,Movalley_TP3,0.12563
Movalley_TP1,Movalley_TP2,0.02877
Movalley_TP1,Movalley_TP1,0.45149
Movalley_TP1,Ames_TP3,0.13622
Movalley_TP1,Ames_TP2,0.09771
Movalley_TP1,Ames_TP1,0.00025
Ames_TP3,Scottsbluff_TP3,0.01709
Ames_TP3,Scottsbluff_TP2,3e-05
Ames_TP3,Scottsbluff_TP1,0.00523
Ames_TP3,Crawfordsville_TP3,0.00069
Ames_TP3,Crawfordsville_TP2,0.01702
Ames_TP3,Crawfordsville_TP1,0.12109
Ames_TP3,Lincoln_TP3,0.21849
Ames_TP3,Lincoln_TP2,0.27956
Ames_TP3,Lincoln_TP1,0.26726
Ames_TP3,Movalley_TP3,0.3066
Ames_TP3,Movalley_TP2,0.14472
Ames_TP3,Movalley_TP1,0.03695
Ames_TP3,Ames_TP3,0.64201
Ames_TP3,Ames_TP2,0.16254
Ames_TP3,Ames_TP1,0.00639
Ames_TP2,Scottsbluff_TP3,0.00876
Ames_TP2,Scottsbluff_TP2,0.01314
Ames_TP2,Scottsbluff_TP1,0.00154
Ames_TP2,Crawfordsville_TP3,0.01945
Ames_TP2,Crawfordsville_TP2,0.01202
Ames_TP2,Crawfordsville_TP1,0.10792
Ames_TP2,Lincoln_TP3,0.17331
Ames_TP2,Lincoln_TP2,0.21653
Ames_TP2,Lincoln_TP1,0.16422
Ames_TP2,Movalley_TP3,0.14421
Ames_TP2,Movalley_TP2,0.05525
Ames_TP2,Movalley_TP1,0.0728
Ames_TP2,Ames_TP3,0.27572
Ames_TP2,Ames_TP2,0.48311
Ames_TP2,Ames_TP1,0.00078
Ames_TP1,Scottsbluff_TP3,0.00621
Ames_TP1,Scottsbluff_TP2,0.00627
Ames_TP1,Scottsbluff_TP1,0.00034
Ames_TP1,Crawfordsville_TP3,0.00556
