testset,Ames_TP1,Ames_TP2,Ames_TP3,Crawfordsville_TP1,Crawfordsville_TP2,Crawfordsville_TP3,Lincoln_TP1,Lincoln_TP2,Lincoln_TP3,Movalley_TP1,Movalley_TP2,Movalley_TP3,Scottsbluff_TP1,Scottsbluff_TP2,Scottsbluff_TP3
Ames_TP1,0.56026,0.00089,0.00631,0.00311,0.00195,0.00832,0.00393,0.00648,0.01874,0.0,0.02443,0.0307,0.00696,0.01197,0.01366
Ames_TP2,0.00036,0.40789,0.16068,0.15997,0.03678,0.0165,0.15406,0.14594,0.10388,0.10776,0.08252,0.08316,0.10472,0.07968,0.04173
Ames_TP3,0.03525,0.25488,0.64008,0.22582,0.18376,0.01533,0.31007,0.29773,0.27313,0.13889,0.30123,0.29935,0.01323,0.20661,0.0001
Crawfordsville_TP1,0.01543,0.10685,0.1206,0.54021,0.05317,0.0057,0.10596,0.08555,0.0586,0.09973,0.08254,0.05982,0.03477,0.07283,0.03091
Crawfordsville_TP2,0.00087,0.01465,0.01768,0.01579,0.49071,0.00347,0.00199,0.00874,0.01578,0.01247,0.01088,0.01203,0.00159,0.01806,0.04466
Crawfordsville_TP3,0.01065,0.01929,0.00065,0.00844,0.06361,0.3561,0.00126,0.00522,0.01997,0.00041,1e-05,0.00186,0.00703,0.02131,0.01001
Lincoln_TP1,0.05204,0.16608,0.26422,0.20936,0.05094,0.00385,0.56323,0.27005,0.23354,0.16611,0.2427,0.27313,0.00854,0.23579,0.00261
Lincoln_TP2,0.06872,0.23099,0.28503,0.20607,0.11678,0.01953,0.33117,0.50224,0.39906,0.16653,0.22287,0.34328,0.0916,0.33,0.02064
Lincoln_TP3,0.08056,0.16919,0.2231,0.09511,0.11506,0.07392,0.19489,0.31763,0.53987,0.07619,0.17732,0.30176,0.07683,0.2383,0.00833
Movalley_TP1,0.00167,0.08854,0.03683,0.07284,0.04558,2e-05,0.04389,0.0451,0.0328,0.45097,0.0739,0.04599,0.03889,0.07478,0.01248
Movalley_TP2,0.09734,0.03499,0.14238,0.06156,0.02496,0.0056,0.0537,0.06292,0.04409,0.02042,0.27889,0.10414,0.00125,0.03622,0.00282
Movalley_TP3,0.15843,0.11274,0.30507,0.08831,0.13991,0.04745,0.15285,0.2773,0.3536,0.11742,0.33101,0.56543,0.03473,0.33591,0.00568
Scottsbluff_TP1,0.00166,0.00177,0.00485,0.00236,1e-05,0.0047,0.00145,0.00073,0.00019,0.00804,0.00265,0.00011,0.40139,0.01455,0.00949
Scottsbluff_TP2,0.00557,0.01249,6e-05,0.00541,0.05096,0.02863,0.00015,0.01424,0.03954,0.00795,0.01414,0.03822,0.00354,0.25522,0.00114
Scottsbluff_TP3,0.00954,0.01034,0.0175,0.00101,0.01512,2e-05,0.02805,0.01789,0.00325,0.00308,0.0,0.00193,0.00202,7e-05,0.5291
