model,testset,r2
Scottsbluff_TP3,Scottsbluff_TP3,0.5291
Scottsbluff_TP3,Scottsbluff_TP2,0.00114
Scottsbluff_TP3,Scottsbluff_TP1,0.00949
Scottsbluff_TP3,Crawfordsville_TP3,0.01001
Scottsbluff_TP3,Crawfordsville_TP2,0.04466
Scottsbluff_TP3,Crawfordsville_TP1,0.03091
Scottsbluff_TP3,Lincoln_TP3,0.00833
Scottsbluff_TP3,Lincoln_TP2,0.02064
Scottsbluff_TP3,Lincoln_TP1,0.00261
Scottsbluff_TP3,Movalley_TP3,0.00568
Scottsbluff_TP3,Movalley_TP2,0.00282
Scottsbluff_TP3,Movalley_TP1,0.01248
Scottsbluff_TP3,Ames_TP3,0.0001
Scottsbluff_TP3,Ames_TP2,0.04173
Scottsbluff_TP3,Ames_TP1,0.01366
Scottsbluff_TP2,Scottsbluff_TP3,7e-05
Scottsbluff_TP2,Scottsbluff_TP2,0.25522
Scottsbluff_TP2,Scottsbluff_TP1,0.01455
Scottsbluff_TP2,Crawfordsville_TP3,0.02131
Scottsbluff_TP2,Crawfordsville_TP2,0.01806
Scottsbluff_TP2,Crawfordsville_TP1,0.07283
Scottsbluff_TP2,Lincoln_TP3,0.2383
Scottsbluff_TP2,Lincoln_TP2,0.33
Scottsbluff_TP2,Lincoln_TP1,0.23579
Scottsbluff_TP2,Movalley_TP3,0.33591
Scottsbluff_TP2,Movalley_TP2,0.03622
Scottsbluff_TP2,Movalley_TP1,0.07478
Scottsbluff_TP2,Ames_TP3,0.20661
Scottsbluff_TP2,Ames_TP2,0.07968
Scottsbluff_TP2,Ames_TP1,0.01197
Scottsbluff_TP1,Scottsbluff_TP3,0.00202
Scottsbluff_TP1,Scottsbluff_TP2,0.00354
Scottsbluff_TP1,Scottsbluff_TP1,0.40139
Scottsbluff_TP1,Crawfordsville_TP3,0.00703
Scottsbluff_TP1,Crawfordsville_TP2,0.00159
Scottsbluff_TP1,Crawfordsville_TP1,0.03477
Scottsbluff_TP1,Lincoln_TP3,0.07683
Scottsbluff_TP1,Lincoln_TP2,0.0916
Scottsbluff_TP1,Lincoln_TP1,0.00854
Scottsbluff_TP1,Movalley_TP3,0.03473
Scottsbluff_TP1,Movalley_TP2,0.00125
Scottsbluff_TP1,Movalley_TP1,0.03889
Scottsbluff_TP1,Ames_TP3,0.01323
Scottsbluff_TP1,Ames_TP2,0.10472
Scottsbluff_TP1,Ames_TP1,0.00696
Crawfordsville_TP3,Scottsbluff_TP3,2e-05
Crawfordsville_TP3,Scottsbluff_TP2,0.02863
Crawfordsville_TP3,Scottsbluff_TP1,0.0047
Crawfordsville_TP3,Crawfordsville_TP3,0.3561
Crawfordsville_TP3,Crawfordsville_TP2,0.00347
Crawfordsville_TP3,Crawfordsville_TP1,0.0057
Crawfordsville_TP3,Lincoln_TP3,0.07392
Crawfordsville_TP3,Lincoln_TP2,0.01953
Crawfordsville_TP3,Lincoln_TP1,0.00385
Crawfordsville_TP3,Movalley_TP3,0.04745
Crawfordsville_TP3,Movalley_TP2,0.0056
Crawfordsville_TP3,Movalley_TP1,2e-05
Crawfordsville_TP3,Ames_TP3,0.01533
Crawfordsville_TP3,Ames_TP2,0.0165
Crawfordsville_TP3,Ames_TP1,0.00832
Crawfordsville_TP2,Scottsbluff_TP3,0.01512
Crawfordsville_TP2,Scottsbluff_TP2,0.05096
Crawfordsville_TP2,Scottsbluff_TP1,1e-05
Crawfordsville_TP2,Crawfordsville_TP3,0.06361
Crawfordsville_TP2,Crawfordsville_TP2,0.49071
Crawfordsville_TP2,Crawfordsville_TP1,0.05317
Crawfordsville_TP2,Lincoln_TP3,0.11506
Crawfordsville_TP2,Lincoln_TP2,0.11678
Crawfordsville_TP2,Lincoln_TP1,0.05094
Crawfordsville_TP2,Movalley_TP3,0.13991
Crawfordsville_TP2,Movalley_TP2,0.02496
Crawfordsville_TP2,Movalley_TP1,0.04558
Crawfordsville_TP2,Ames_TP3,0.18376
Crawfordsville_TP2,Ames_TP2,0.03678
Crawfordsville_TP2,Ames_TP1,0.00195
Crawfordsville_TP1,Scottsbluff_TP3,0.00101
Crawfordsville_TP1,Scottsbluff_TP2,0.00541
Crawfordsville_TP1,Scottsbluff_TP1,0.00236
