model,testset,r2
Scottsbluff_TP1,Scottsbluff_TP1,0.39357
Scottsbluff_TP1,Scottsbluff_TP2,0.05664
Scottsbluff_TP1,Scottsbluff_TP4,0.0519
Scottsbluff_TP1,Scottsbluff_TP3,0.06973
Scottsbluff_TP1,Scottsbluff_TP6,0.08912
Scottsbluff_TP1,Scottsbluff_TP5,0.06896
Scottsbluff_TP1,Crawfordsville_TP1,0.02238
Scottsbluff_TP1,Crawfordsville_TP2,0.03296
Scottsbluff_TP1,Crawfordsville_TP4,0.00052
Scottsbluff_TP1,Crawfordsville_TP3,0.05376
Scottsbluff_TP1,Crawfordsville_TP6,0.0457
Scottsbluff_TP1,Crawfordsville_TP5,0.01031
Scottsbluff_TP1,Lincoln_TP1,0.08472
Scottsbluff_TP1,Lincoln_TP2,0.11958
Scottsbluff_TP1,Lincoln_TP4,8e-05
Scottsbluff_TP1,Lincoln_TP3,0.00061
Scottsbluff_TP1,Lincoln_TP6,0.0134
Scottsbluff_TP1,Lincoln_TP5,0.02386
Scottsbluff_TP1,Movalley_TP1,0.17286
Scottsbluff_TP1,Movalley_TP2,0.12766
Scottsbluff_TP1,Movalley_TP4,0.03884
Scottsbluff_TP1,Movalley_TP3,0.1807
Scottsbluff_TP1,Movalley_TP6,0.00174
Scottsbluff_TP1,Movalley_TP5,0.00407
Scottsbluff_TP1,Ames_TP1,0.00516
Scottsbluff_TP1,Ames_TP2,0.00353
Scottsbluff_TP1,Ames_TP4,0.16353
Scottsbluff_TP1,Ames_TP3,0.05706
Scottsbluff_TP1,Ames_TP6,0.01007
Scottsbluff_TP1,Ames_TP5,0.10365
Scottsbluff_TP2,Scottsbluff_TP1,0.05146
Scottsbluff_TP2,Scottsbluff_TP2,0.54745
Scottsbluff_TP2,Scottsbluff_TP4,0.04896
Scottsbluff_TP2,Scottsbluff_TP3,0.08807
Scottsbluff_TP2,Scottsbluff_TP6,0.05788
Scottsbluff_TP2,Scottsbluff_TP5,0.07223
Scottsbluff_TP2,Crawfordsville_TP1,0.02443
Scottsbluff_TP2,Crawfordsville_TP2,0.01188
Scottsbluff_TP2,Crawfordsville_TP4,0.02016
Scottsbluff_TP2,Crawfordsville_TP3,0.0058
Scottsbluff_TP2,Crawfordsville_TP6,0.00442
Scottsbluff_TP2,Crawfordsville_TP5,0.02528
Scottsbluff_TP2,Lincoln_TP1,0.00813
Scottsbluff_TP2,Lincoln_TP2,0.00024
Scottsbluff_TP2,Lincoln_TP4,0.09975
Scottsbluff_TP2,Lincoln_TP3,0.09003
Scottsbluff_TP2,Lincoln_TP6,0.0908
Scottsbluff_TP2,Lincoln_TP5,0.07907
Scottsbluff_TP2,Movalley_TP1,0.04063
Scottsbluff_TP2,Movalley_TP2,0.0343
Scottsbluff_TP2,Movalley_TP4,0.01303
Scottsbluff_TP2,Movalley_TP3,0.02357
Scottsbluff_TP2,Movalley_TP6,0.0803
Scottsbluff_TP2,Movalley_TP5,0.01828
Scottsbluff_TP2,Ames_TP1,0.00212
Scottsbluff_TP2,Ames_TP2,0.00635
Scottsbluff_TP2,Ames_TP4,0.07586
Scottsbluff_TP2,Ames_TP3,0.01193
Scottsbluff_TP2,Ames_TP6,0.04176
Scottsbluff_TP2,Ames_TP5,0.06757
Scottsbluff_TP4,Scottsbluff_TP1,0.01495
Scottsbluff_TP4,Scottsbluff_TP2,0.00408
Scottsbluff_TP4,Scottsbluff_TP4,0.53273
Scottsbluff_TP4,Scottsbluff_TP3,0.19458
Scottsbluff_TP4,Scottsbluff_TP6,0.16283
Scottsbluff_TP4,Scottsbluff_TP5,0.25288
Scottsbluff_TP4,Crawfordsville_TP1,0.04882
Scottsbluff_TP4,Crawfordsville_TP2,0.06818
Scottsbluff_TP4,Crawfordsville_TP4,0.04738
Scottsbluff_TP4,Crawfordsville_TP3,0.0496
Scottsbluff_TP4,Crawfordsville_TP6,5e-05
Scottsbluff_TP4,Crawfordsville_TP5,0.01089
Scottsbluff_TP4,Lincoln_TP1,0.152
Scottsbluff_TP4,Lincoln_TP2,0.17433
Scottsbluff_TP4,Lincoln_TP4,0.10808
Scottsbluff_TP4,Lincoln_TP3,0.07271
Scottsbluff_TP4,Lincoln_TP6,0.09484
Scottsbluff_TP4,Lincoln_TP5,0.10137
Scottsbluff_TP4,Movalley_TP1,0.09454
Scottsbluff_TP4,Movalley_TP2,0.12944
Scottsbluff_TP4,Movalley_TP4,0.05006
Scottsbluff_TP4,Movalley_TP3,0.19901
Scottsbluff_TP4,Movalley_TP6,3e-05
Scottsbluff_TP4,Movalley_TP5,0.01775
Scottsbluff_TP4,Ames_TP1,0.00921
Scottsbluff_TP4,Ames_TP2,0.0061
Scottsbluff_TP4,Ames_TP4,0.02734
Scottsbluff_TP4,Ames_TP3,0.05239
Scottsbluff_TP4,Ames_TP6,0.00021
Scottsbluff_TP4,Ames_TP5,0.00016
Scottsbluff_TP3,Scottsbluff_TP1,0.0069
Scottsbluff_TP3,Scottsbluff_TP2,0.02031
Scottsbluff_TP3,Scottsbluff_TP4,0.20378
Scottsbluff_TP3,Scottsbluff_TP3,0.68807
Scottsbluff_TP3,Scottsbluff_TP6,0.13525
Scottsbluff_TP3,Scottsbluff_TP5,0.18677
Scottsbluff_TP3,Crawfordsville_TP1,0.05627
Scottsbluff_TP3,Crawfordsville_TP2,0.04543
Scottsbluff_TP3,Crawfordsville_TP4,0.06057
Scottsbluff_TP3,Crawfordsville_TP3,0.02578
Scottsbluff_TP3,Crawfordsville_TP6,4e-05
Scottsbluff_TP3,Crawfordsville_TP5,0.01785
