model,testset,r2
Crawfordsville_TP1,Crawfordsville_TP1,0.33259
Crawfordsville_TP1,Crawfordsville_TP2,0.02491
Crawfordsville_TP1,Crawfordsville_TP4,0.01166
Crawfordsville_TP1,Crawfordsville_TP3,0.00254
Crawfordsville_TP1,Crawfordsville_TP6,0.00719
Crawfordsville_TP1,Crawfordsville_TP5,0.0089
Crawfordsville_TP1,Movalley_TP1,0.06205
Crawfordsville_TP1,Movalley_TP2,0.01312
Crawfordsville_TP1,Movalley_TP4,0.00229
Crawfordsville_TP1,Movalley_TP3,0.00731
Crawfordsville_TP1,Movalley_TP6,0.00811
Crawfordsville_TP1,Movalley_TP5,0.00737
Crawfordsville_TP1,Ames_TP1,0.17247
Crawfordsville_TP1,Ames_TP2,0.13868
Crawfordsville_TP1,Ames_TP4,0.053
Crawfordsville_TP1,Ames_TP3,0.07313
Crawfordsville_TP1,Ames_TP6,0.004
Crawfordsville_TP1,Ames_TP5,0.02021
Crawfordsville_TP2,Crawfordsville_TP1,0.02566
Crawfordsville_TP2,Crawfordsville_TP2,0.31478
Crawfordsville_TP2,Crawfordsville_TP4,0.00793
Crawfordsville_TP2,Crawfordsville_TP3,0.01828
Crawfordsville_TP2,Crawfordsville_TP6,0.00744
Crawfordsville_TP2,Crawfordsville_TP5,0.00794
Crawfordsville_TP2,Movalley_TP1,0.00073
Crawfordsville_TP2,Movalley_TP2,0.00579
Crawfordsville_TP2,Movalley_TP4,0.00233
Crawfordsville_TP2,Movalley_TP3,0.00214
Crawfordsville_TP2,Movalley_TP6,0.00032
Crawfordsville_TP2,Movalley_TP5,0.01337
Crawfordsville_TP2,Ames_TP1,0.0437
Crawfordsville_TP2,Ames_TP2,0.03171
Crawfordsville_TP2,Ames_TP4,0.02005
Crawfordsville_TP2,Ames_TP3,0.00533
Crawfordsville_TP2,Ames_TP6,0.00043
Crawfordsville_TP2,Ames_TP5,0.01451
Crawfordsville_TP4,Crawfordsville_TP1,0.00474
Crawfordsville_TP4,Crawfordsville_TP2,0.00439
Crawfordsville_TP4,Crawfordsville_TP4,0.27679
Crawfordsville_TP4,Crawfordsville_TP3,0.00017
Crawfordsville_TP4,Crawfordsville_TP6,0.00523
Crawfordsville_TP4,Crawfordsville_TP5,0.00716
Crawfordsville_TP4,Movalley_TP1,0.0566
Crawfordsville_TP4,Movalley_TP2,0.03664
Crawfordsville_TP4,Movalley_TP4,0.00828
Crawfordsville_TP4,Movalley_TP3,0.00038
Crawfordsville_TP4,Movalley_TP6,3e-05
Crawfordsville_TP4,Movalley_TP5,0.00614
Crawfordsville_TP4,Ames_TP1,0.00399
Crawfordsville_TP4,Ames_TP2,0.0
Crawfordsville_TP4,Ames_TP4,0.02123
Crawfordsville_TP4,Ames_TP3,0.01172
Crawfordsville_TP4,Ames_TP6,0.00225
Crawfordsville_TP4,Ames_TP5,0.00525
Crawfordsville_TP3,Crawfordsville_TP1,0.00168
Crawfordsville_TP3,Crawfordsville_TP2,0.01302
Crawfordsville_TP3,Crawfordsville_TP4,0.00054
Crawfordsville_TP3,Crawfordsville_TP3,0.31073
Crawfordsville_TP3,Crawfordsville_TP6,0.00472
Crawfordsville_TP3,Crawfordsville_TP5,0.00015
Crawfordsville_TP3,Movalley_TP1,0.2583
Crawfordsville_TP3,Movalley_TP2,0.07912
Crawfordsville_TP3,Movalley_TP4,0.02856
Crawfordsville_TP3,Movalley_TP3,0.07489
Crawfordsville_TP3,Movalley_TP6,0.00915
Crawfordsville_TP3,Movalley_TP5,0.03634
Crawfordsville_TP3,Ames_TP1,0.07099
Crawfordsville_TP3,Ames_TP2,0.02624
Crawfordsville_TP3,Ames_TP4,0.00125
Crawfordsville_TP3,Ames_TP3,0.00195
Crawfordsville_TP3,Ames_TP6,0.00163
Crawfordsville_TP3,Ames_TP5,0.0015
Crawfordsville_TP6,Crawfordsville_TP1,0.00874
Crawfordsville_TP6,Crawfordsville_TP2,0.01689
Crawfordsville_TP6,Crawfordsville_TP4,0.00121
Crawfordsville_TP6,Crawfordsville_TP3,0.00997
Crawfordsville_TP6,Crawfordsville_TP6,0.29466
Crawfordsville_TP6,Crawfordsville_TP5,0.0002
Crawfordsville_TP6,Movalley_TP1,0.03642
Crawfordsville_TP6,Movalley_TP2,0.00011
Crawfordsville_TP6,Movalley_TP4,0.00019
Crawfordsville_TP6,Movalley_TP3,0.00372
Crawfordsville_TP6,Movalley_TP6,0.00492
Crawfordsville_TP6,Movalley_TP5,0.00276
Crawfordsville_TP6,Ames_TP1,0.00114
Crawfordsville_TP6,Ames_TP2,0.00544
Crawfordsville_TP6,Ames_TP4,0.01184
Crawfordsville_TP6,Ames_TP3,0.00839
Crawfordsville_TP6,Ames_TP6,0.00077
Crawfordsville_TP6,Ames_TP5,0.00617
Crawfordsville_TP5,Crawfordsville_TP1,0.00832
Crawfordsville_TP5,Crawfordsville_TP2,0.00625
Crawfordsville_TP5,Crawfordsville_TP4,0.01859
Crawfordsville_TP5,Crawfordsville_TP3,0.00028
Crawfordsville_TP5,Crawfordsville_TP6,0.00401
Crawfordsville_TP5,Crawfordsville_TP5,0.33426
Crawfordsville_TP5,Movalley_TP1,0.02495
Crawfordsville_TP5,Movalley_TP2,0.01563
Crawfordsville_TP5,Movalley_TP4,0.00249
Crawfordsville_TP5,Movalley_TP3,0.04345
Crawfordsville_TP5,Movalley_TP6,0.00429
Crawfordsville_TP5,Movalley_TP5,0.00603
Crawfordsville_TP5,Ames_TP1,0.03624
Crawfordsville_TP5,Ames_TP2,0.03634
Crawfordsville_TP5,Ames_TP4,0.01982
Crawfordsville_TP5,Ames_TP3,0.0012
Crawfordsville_TP5,Ames_TP6,2e-05
Crawfordsville_TP5,Ames_TP5,0.01066
Movalley_TP1,Crawfordsville_TP1,0.00018
Movalley_TP1,Crawfordsville_TP2,0.0002
Movalley_TP1,Crawfordsville_TP4,0.00014
Movalley_TP1,Crawfordsville_TP3,0.01637
Movalley_TP1,Crawfordsville_TP6,0.00579
Movalley_TP1,Crawfordsville_TP5,0.00191
Movalley_TP1,Movalley_TP1,0.60958
Movalley_TP1,Movalley_TP2,0.22662
Movalley_TP1,Movalley_TP4,0.04254
Movalley_TP1,Movalley_TP3,0.13875
Movalley_TP1,Movalley_TP6,0.01741
Movalley_TP1,Movalley_TP5,0.03161
Movalley_TP1,Ames_TP1,0.21377
Movalley_TP1,Ames_TP2,0.05837
Movalley_TP1,Ames_TP4,7e-05
Movalley_TP1,Ames_TP3,0.00033
Movalley_TP1,Ames_TP6,0.00233
Movalley_TP1,Ames_TP5,0.00187
Movalley_TP2,Crawfordsville_TP1,0.0
Movalley_TP2,Crawfordsville_TP2,3e-05
Movalley_TP2,Crawfordsville_TP4,0.0
Movalley_TP2,Crawfordsville_TP3,0.00992
Movalley_TP2,Crawfordsville_TP6,0.00305
