model,testset,r2
Crawfordsville_TP1,Crawfordsville_TP1,0.09119
Crawfordsville_TP1,Crawfordsville_TP2,0.02417
Crawfordsville_TP1,Crawfordsville_TP4,0.00686
Crawfordsville_TP1,Crawfordsville_TP3,8e-05
Crawfordsville_TP1,Crawfordsville_TP6,0.00617
Crawfordsville_TP1,Crawfordsville_TP5,0.0017
Crawfordsville_TP1,Movalley_TP1,0.13241
Crawfordsville_TP1,Movalley_TP2,0.07475
Crawfordsville_TP1,Movalley_TP4,0.01078
Crawfordsville_TP1,Movalley_TP3,0.0456
Crawfordsville_TP1,Movalley_TP6,0.00401
Crawfordsville_TP1,Movalley_TP5,0.00183
Crawfordsville_TP1,Ames_TP1,0.17892
Crawfordsville_TP1,Ames_TP2,0.13372
Crawfordsville_TP1,Ames_TP4,0.06096
Crawfordsville_TP1,Ames_TP3,0.07635
Crawfordsville_TP1,Ames_TP6,0.00332
Crawfordsville_TP1,Ames_TP5,0.02071
Crawfordsville_TP2,Crawfordsville_TP1,0.04013
Crawfordsville_TP2,Crawfordsville_TP2,0.09681
Crawfordsville_TP2,Crawfordsville_TP4,0.00044
Crawfordsville_TP2,Crawfordsville_TP3,0.00771
Crawfordsville_TP2,Crawfordsville_TP6,0.00385
Crawfordsville_TP2,Crawfordsville_TP5,0.00568
Crawfordsville_TP2,Movalley_TP1,0.02797
Crawfordsville_TP2,Movalley_TP2,0.01298
Crawfordsville_TP2,Movalley_TP4,0.01931
Crawfordsville_TP2,Movalley_TP3,0.00771
Crawfordsville_TP2,Movalley_TP6,0.0016
Crawfordsville_TP2,Movalley_TP5,0.00091
Crawfordsville_TP2,Ames_TP1,0.09167
Crawfordsville_TP2,Ames_TP2,0.06796
Crawfordsville_TP2,Ames_TP4,0.03884
Crawfordsville_TP2,Ames_TP3,0.02571
Crawfordsville_TP2,Ames_TP6,0.00046
Crawfordsville_TP2,Ames_TP5,0.01835
Crawfordsville_TP4,Crawfordsville_TP1,0.00234
Crawfordsville_TP4,Crawfordsville_TP2,0.00204
Crawfordsville_TP4,Crawfordsville_TP4,0.09268
Crawfordsville_TP4,Crawfordsville_TP3,0.00089
Crawfordsville_TP4,Crawfordsville_TP6,0.00495
Crawfordsville_TP4,Crawfordsville_TP5,0.00744
Crawfordsville_TP4,Movalley_TP1,0.06912
Crawfordsville_TP4,Movalley_TP2,0.07742
Crawfordsville_TP4,Movalley_TP4,0.01258
Crawfordsville_TP4,Movalley_TP3,0.00849
Crawfordsville_TP4,Movalley_TP6,7e-05
Crawfordsville_TP4,Movalley_TP5,0.02064
Crawfordsville_TP4,Ames_TP1,0.00373
Crawfordsville_TP4,Ames_TP2,8e-05
Crawfordsville_TP4,Ames_TP4,0.02077
Crawfordsville_TP4,Ames_TP3,0.00462
Crawfordsville_TP4,Ames_TP6,0.01132
Crawfordsville_TP4,Ames_TP5,0.00603
Crawfordsville_TP3,Crawfordsville_TP1,0.00696
Crawfordsville_TP3,Crawfordsville_TP2,0.01683
Crawfordsville_TP3,Crawfordsville_TP4,0.0109
Crawfordsville_TP3,Crawfordsville_TP3,0.09779
Crawfordsville_TP3,Crawfordsville_TP6,0.01286
Crawfordsville_TP3,Crawfordsville_TP5,0.00133
Crawfordsville_TP3,Movalley_TP1,0.14967
Crawfordsville_TP3,Movalley_TP2,0.06352
Crawfordsville_TP3,Movalley_TP4,0.00963
Crawfordsville_TP3,Movalley_TP3,0.05483
Crawfordsville_TP3,Movalley_TP6,0.00052
Crawfordsville_TP3,Movalley_TP5,0.00075
Crawfordsville_TP3,Ames_TP1,0.01676
Crawfordsville_TP3,Ames_TP2,0.00056
Crawfordsville_TP3,Ames_TP4,0.00224
Crawfordsville_TP3,Ames_TP3,0.00046
Crawfordsville_TP3,Ames_TP6,0.00087
Crawfordsville_TP3,Ames_TP5,0.00373
Crawfordsville_TP6,Crawfordsville_TP1,0.00057
Crawfordsville_TP6,Crawfordsville_TP2,0.00859
Crawfordsville_TP6,Crawfordsville_TP4,2e-05
Crawfordsville_TP6,Crawfordsville_TP3,0.01783
Crawfordsville_TP6,Crawfordsville_TP6,0.06266
Crawfordsville_TP6,Crawfordsville_TP5,0.00647
Crawfordsville_TP6,Movalley_TP1,0.01433
Crawfordsville_TP6,Movalley_TP2,0.00021
Crawfordsville_TP6,Movalley_TP4,0.00266
Crawfordsville_TP6,Movalley_TP3,0.00017
Crawfordsville_TP6,Movalley_TP6,0.00122
Crawfordsville_TP6,Movalley_TP5,0.00226
Crawfordsville_TP6,Ames_TP1,0.04077
Crawfordsville_TP6,Ames_TP2,0.0482
Crawfordsville_TP6,Ames_TP4,0.00471
