model,image,Date,location,r2_mean,count,sd,r2_se
LASSO,UAV,2022-07-28,Lincoln,0.500301980295057,5,0.105530779265815,0.0471947992313777
LASSO,Satellite,2022-09-27,Lincoln,0.479143992382295,2,0.114175825806492,0.0807345006753448
LR,UAV,2022-07-28,Lincoln,0.478199389658069,5,0.118403502081988,0.0529516558858728
RF,Satellite,2022-08-08,Missouri Valley,0.467669687348564,5,0.0986858932340845,0.0441336731383399
PLSR,Satellite,2022-09-11,Lincoln,0.466575482749936,5,0.149115639300667,0.0666865411969261
LASSO,UAV,2022-07-13,Lincoln,0.46081192931241,5,0.102585165718777,0.0458774808060534
PLSR,UAV,2022-07-28,Lincoln,0.456886122872054,5,0.129886003523432,0.0580867866408341
LASSO,UAV,2022-08-04,Lincoln,0.448090425489243,5,0.0953645028536829,0.0426483022042615
PLSR,Satellite,2022-09-19,Lincoln,0.444158963910221,5,0.104838525790032,0.0468852140654752
PLSR,Satellite,2022-09-27,Lincoln,0.443604918770027,5,0.092380386222119,0.0413137646760686
GB,Satellite,2022-08-08,Missouri Valley,0.432127546656155,5,0.106099796147595,0.0474492713169785
RF,Satellite,2022-09-19,Lincoln,0.431765734222697,5,0.108925383582585,0.0487129124331798
RF,Satellite,2022-09-27,Lincoln,0.429326721551105,5,0.0970310700948601,0.0433936137323308
RF,UAV,2022-08-10,Ames,0.422245333802841,5,0.111254797978207,0.0497546582204552
RF,UAV,2022-08-10,Missouri Valley,0.416106189420033,5,0.165435678121215,0.0739850844365622
PLSR,UAV,2022-08-04,Lincoln,0.415946852721007,5,0.0619907499394783,0.0277231061681729
SVM,Satellite,2022-08-08,Missouri Valley,0.409791131750923,5,0.133719257067267,0.0598010697406357
RF,Satellite,2022-09-11,Lincoln,0.407159839984082,5,0.132543831409112,0.0592754034058091
GB,UAV,2022-08-10,Missouri Valley,0.406616640694571,5,0.189452725892112,0.0847258347234792
LASSO,UAV,2022-08-10,Missouri Valley,0.399228173572032,5,0.13756743267059,0.0615220261883129
SVM,Satellite,2022-09-27,Lincoln,0.398568798320445,5,0.116013634689494,0.0518828746965073
GB,UAV,2022-08-10,Ames,0.391647559431375,5,0.0789442698588234,0.0353049507676834
PLSR,Satellite,2022-08-08,Missouri Valley,0.391541603501678,5,0.120287735029837,0.0537943104772397
SVM,Satellite,2022-09-11,Lincoln,0.387805488253372,5,0.146068229949304,0.0653236983039431
PLSR,UAV,2022-07-13,Lincoln,0.386279917309007,5,0.0959910800496785,0.042928516044941
RF,UAV,2022-07-28,Lincoln,0.386101018906943,5,0.10541724409049,0.0471440247574046
GB,Satellite,2022-09-19,Lincoln,0.382833296631246,5,0.101332905533805,0.0453174530262304
RF,UAV,2022-07-13,Lincoln,0.381473901844959,5,0.12858722845301,0.0575059567718453
LASSO,Satellite,2022-09-11,Lincoln,0.380883166036029,3,0.0235299610344622,0.0135850293372682
GB,Satellite,2022-09-27,Lincoln,0.378141745667003,5,0.089127885553281,0.0398592021575915
SVM,Satellite,2022-09-19,Lincoln,0.377700482974973,5,0.121303959006221,0.0542487796555514
SVM,UAV,2022-08-10,Missouri Valley,0.375851449894932,5,0.188011172785613,0.0840811525756178
RF,Satellite,2022-08-06,Lincoln,0.3757223866636,5,0.0683150232794302,0.0305514071874573
LR,UAV,2022-07-13,Lincoln,0.368918412507589,5,0.076038168149801,0.0340053025735029
GB,Satellite,2022-09-11,Lincoln,0.36545812956585,5,0.122160655645637,0.0546319060399176
SVM,UAV,2022-08-10,Ames,0.364883006436384,5,0.108075619725691,0.0483328864834126
LASSO,Satellite,2022-08-31,Ames,0.362286027316451,2,0.106055551948711,0.0749925999654159
