location,model,Date,image,time,r2_mean,count,r2_sd,r2_se
Ames,GB,2022-07-12,UAV,TP1,0.116200694442517,5,0.0746425520245452,0.0333811640681895
Ames,GB,2022-07-15,Satellite,TP1,0.0438488679083798,5,0.0240952236279411,0.0107757115930271
Ames,GB,2022-07-23,Satellite,TP2,0.0863521381909293,5,0.0178566842972136,0.00798575198826453
Ames,GB,2022-07-26,UAV,TP2,0.123604959572101,5,0.0449609572089935,0.0201071513305538
Ames,GB,2022-08-10,Satellite,TP3,0.313517281321092,5,0.0692391690238782,0.0309646977285979
Ames,GB,2022-08-10,UAV,TP3,0.372361501009812,5,0.0602904054453241,0.0269626889933536
Ames,GB,2022-08-31,Satellite,TP4,0.325433265514115,5,0.0870757416365171,0.0389414554980922
Ames,GB,2022-09-11,Satellite,TP5,0.245068030733685,5,0.126700244340332,0.0566620718221632
Ames,GB,2022-09-24,Satellite,TP6,0.0621090835872416,5,0.0639682723559591,0.028607481078229
Ames,LASSO,2022-07-12,UAV,TP1,0.102675383149196,5,0.0688082304764717,0.0307719761513727
Ames,LASSO,2022-07-15,Satellite,TP1,NA,5,NA,NA
Ames,LASSO,2022-07-23,Satellite,TP2,NA,5,NA,NA
Ames,LASSO,2022-07-26,UAV,TP2,0.197958506646326,5,0.0449455218382618,0.020100248422911
Ames,LASSO,2022-08-10,Satellite,TP3,NA,5,NA,NA
Ames,LASSO,2022-08-10,UAV,TP3,0.45145658444682,5,0.0800610487171746,0.035804389456305
Ames,LASSO,2022-08-31,Satellite,TP4,NA,5,NA,NA
Ames,LASSO,2022-09-11,Satellite,TP5,0.153417867843543,5,0.0412044689724446,0.0184271987198334
Ames,LASSO,2022-09-24,Satellite,TP6,NA,5,NA,NA
Ames,LR,2022-07-12,UAV,TP1,0.0883255550743833,5,0.0573944243597209,0.0256675668795611
Ames,LR,2022-07-15,Satellite,TP1,0.0111206804326766,5,0.00702694919986723,0.00314254721706817
Ames,LR,2022-07-23,Satellite,TP2,0.0526709254000889,5,0.0645229088586736,0.0288555220628035
Ames,LR,2022-07-26,UAV,TP2,0.191701363582582,5,0.0590715637809611,0.0264176064302887
Ames,LR,2022-08-10,Satellite,TP3,0.192355525936185,5,0.0700927210051355,0.0313464177790821
Ames,LR,2022-08-10,UAV,TP3,0.176336335804825,5,0.147265143903175,0.0658589744967574
Ames,LR,2022-08-31,Satellite,TP4,0.0748384496633157,5,0.132023543123268,0.0590427234108006
Ames,LR,2022-09-11,Satellite,TP5,0.0707672088870083,5,0.0661116006340336,0.0295660066238035
Ames,LR,2022-09-24,Satellite,TP6,0.0226359217934679,5,0.0170402074467927,0.00762061244034532
Ames,PLSR,2022-07-12,UAV,TP1,0.0817639727328769,5,0.0731655285759919,0.0327206191011243
Ames,PLSR,2022-07-26,UAV,TP2,0.175967899151854,5,0.055534309843755,0.0248356983788344
Ames,PLSR,2022-08-10,UAV,TP3,0.340235160915011,5,0.145953911225109,0.0652725734162627
Ames,PSLR,2022-07-15,Satellite,TP1,0.0864958957993091,5,0.0756159634145164,0.0338164868757991
Ames,PSLR,2022-07-23,Satellite,TP2,0.128762773459714,5,0.0898646960982975,0.0401887138506307
Ames,PSLR,2022-08-10,Satellite,TP3,0.282319685374738,5,0.15865616111614,0.0709531922609698
Ames,PSLR,2022-08-31,Satellite,TP4,0.314216827191037,5,0.1579212726454,0.0706245401456783
Ames,PSLR,2022-09-11,Satellite,TP5,0.250981244194806,5,0.0972659951126343,0.0434986753942025
Ames,PSLR,2022-09-24,Satellite,TP6,0.0518351403620991,5,0.0415992847549604,0.0186037657054924
Ames,RF,2022-07-12,UAV,TP1,0.121125632625334,5,0.0939909913009454,0.042034049164301
Ames,RF,2022-07-15,Satellite,TP1,0.0371963360801307,5,0.0360229108655697,0.0161099354885659
Ames,RF,2022-07-23,Satellite,TP2,0.147049982077548,5,0.0612622285724108,0.0273973015082081
Ames,RF,2022-07-26,UAV,TP2,0.170466283213303,5,0.0555308296850299,0.024834142004538
Ames,RF,2022-08-10,Satellite,TP3,0.317141958362994,5,0.0709226297858982,0.031717564268864
Ames,RF,2022-08-10,UAV,TP3,0.385586631095068,5,0.0787801690881644,0.0352315626720126
Ames,RF,2022-08-31,Satellite,TP4,0.350898890451447,5,0.105458230017875,0.0471623542213554
Ames,RF,2022-09-11,Satellite,TP5,0.197190998961097,5,0.104247749384116,0.0466210108248491
Ames,RF,2022-09-24,Satellite,TP6,0.0581908693683269,5,0.046036218171359,0.020588022651634
Ames,SVM,2022-07-12,UAV,TP1,0.120265068312514,5,0.0911976209429225,0.0407848159629266
Ames,SVM,2022-07-15,Satellite,TP1,0.0240374367212704,5,0.0227175685379727,0.0101596055068835
Ames,SVM,2022-07-23,Satellite,TP2,0.105032981494165,5,0.0697879567408458,0.0312101230566692
Ames,SVM,2022-07-26,UAV,TP2,0.15596600256909,5,0.0464377094340143,0.0207675750027679
Ames,SVM,2022-08-10,Satellite,TP3,0.263485470053029,5,0.0785282613042265,0.0351189060862233
Ames,SVM,2022-08-10,UAV,TP3,0.351704389231954,5,0.0812379063649135,0.0363306961963419
Ames,SVM,2022-08-31,Satellite,TP4,0.294418506538984,5,0.0789060541357502,0.0352878601767632
Ames,SVM,2022-09-11,Satellite,TP5,0.173688706217743,5,0.103700710733028,0.0463763677028186
Ames,SVM,2022-09-24,Satellite,TP6,0.0639736092091674,5,0.0648126962398294,0.0289851189194607
Crawfordville,GB,2022-07-10,Satellite,TP1,0.0543212340205296,5,0.033367871529903,0.0149225658010686
Crawfordville,GB,2022-07-12,UAV,TP1,0.0961958583014192,5,0.0910673242666033,0.0407265455178282
Crawfordville,GB,2022-07-20,Satellite,TP2,0.0500580114240411,5,0.0317810205599052,0.0142129044732533
Crawfordville,GB,2022-07-26,UAV,TP2,0.0352590060237822,5,0.044942858494705,0.0200990573394628
Crawfordville,GB,2022-08-02,Satellite,TP3,0.103473500815358,5,0.103756301376695,0.0464012285944491
Crawfordville,GB,2022-08-11,UAV,TP3,0.114587476137265,5,0.0733966009424739,0.0328239578049594
Crawfordville,GB,2022-09-13,Satellite,TP4,0.096127402711406,5,0.0525307278713558,0.0234924556855789
Crawfordville,GB,2022-10-01,Satellite,TP5,0.0183032684408165,5,0.0287860161907356,0.0128734978007789
Crawfordville,GB,2022-10-09,Satellite,TP6,0.116841547624542,5,0.0260486317893886,0.011649302280387
Crawfordville,LASSO,2022-07-10,Satellite,TP1,0.120621570093277,5,0.0630519901686558,0.0281977072267526
Crawfordville,LASSO,2022-07-12,UAV,TP1,NA,5,NA,NA
Crawfordville,LASSO,2022-07-20,Satellite,TP2,NA,5,NA,NA
Crawfordville,LASSO,2022-07-26,UAV,TP2,0.0927377564206496,5,0.0884356369815166,0.0395496191848331
Crawfordville,LASSO,2022-08-02,Satellite,TP3,NA,5,NA,NA
Crawfordville,LASSO,2022-08-11,UAV,TP3,0.246569301200708,5,0.150838156759668,0.0674568744230774
Crawfordville,LASSO,2022-09-13,Satellite,TP4,0.0725628163161841,5,0.0293310519297832,0.0131172451933143
Crawfordville,LASSO,2022-10-01,Satellite,TP5,NA,5,NA,NA
Crawfordville,LASSO,2022-10-09,Satellite,TP6,NA,5,NA,NA
Crawfordville,LR,2022-07-10,Satellite,TP1,0.0313927983170491,5,0.0304327170002614,0.0136099247905196
Crawfordville,LR,2022-07-12,UAV,TP1,0.128882931036041,5,0.0694723869256351,0.0310689959449775
Crawfordville,LR,2022-07-20,Satellite,TP2,0.0432080719831748,5,0.0376504686298184,0.0168378014481994
Crawfordville,LR,2022-07-26,UAV,TP2,0.080510015677312,5,0.0468871781993772,0.0209685835453907
Crawfordville,LR,2022-08-02,Satellite,TP3,0.0354317013176659,5,0.0364940238633547,0.0163206236261921
Crawfordville,LR,2022-08-11,UAV,TP3,0.276897432227365,5,0.143096684579415,0.0639947828148836
Crawfordville,LR,2022-09-13,Satellite,TP4,0.0244875946771673,5,0.0283160544381932,0.0126633245156769
Crawfordville,LR,2022-10-01,Satellite,TP5,0.0343942277620518,5,0.0612944728583857,0.0274117215912733
Crawfordville,LR,2022-10-09,Satellite,TP6,0.0222681661932442,5,0.0109121362502476,0.00488005568705868
Crawfordville,PLSR,2022-07-12,UAV,TP1,0.109692646911473,5,0.084673195271366,0.0378670040997776
Crawfordville,PLSR,2022-07-26,UAV,TP2,0.069725465450173,5,0.0588691573189764,0.0263270875086721
Crawfordville,PLSR,2022-08-11,UAV,TP3,0.195637386751006,5,0.151725487337698,0.0678537007212753
Crawfordville,PSLR,2022-07-10,Satellite,TP1,0.127248530149313,5,0.0555366605508747,0.0248367496470173
Crawfordville,PSLR,2022-07-20,Satellite,TP2,0.0835631197727672,5,0.0758148128295694,0.0339054150376681
Crawfordville,PSLR,2022-08-02,Satellite,TP3,0.10332309890497,5,0.109340495672529,0.0488985562034591
Crawfordville,PSLR,2022-09-13,Satellite,TP4,0.147119870424354,5,0.129288063102992,0.0578193795555146
Crawfordville,PSLR,2022-10-01,Satellite,TP5,0.0881378595997046,5,0.086699319839261,0.0387731145527167
Crawfordville,PSLR,2022-10-09,Satellite,TP6,0.150295740979259,5,0.0776693136747222,0.0347347730284865
