time,location,model,image,r2,Location,Date,Image
TP1,Scottsbluff,RF,Satellite,0.05133146006953947,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,PSLR,Satellite,0.008505459199054885,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LR,Satellite,0.0012559788194380955,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,LASSO,Satellite,,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,SVM,Satellite,0.03201813832332005,Scottsbluff,2022-07-04,Satellite
TP1,Scottsbluff,GB,Satellite,0.15466445341529303,Scottsbluff,2022-07-04,Satellite
TP2,Scottsbluff,RF,Satellite,0.06445287644735762,Scottsbluff,2022-07-17,Satellite
TP2,Scottsbluff,PSLR,Satellite,0.15735709697678288,Scottsbluff,2022-07-17,Satellite
TP2,Scottsbluff,LR,Satellite,0.04175520404986184,Scottsbluff,2022-07-17,Satellite
TP2,Scottsbluff,LASSO,Satellite,,Scottsbluff,2022-07-17,Satellite
TP2,Scottsbluff,SVM,Satellite,0.10441639423051166,Scottsbluff,2022-07-17,Satellite
TP2,Scottsbluff,GB,Satellite,0.015797676492192245,Scottsbluff,2022-07-17,Satellite
TP4,Scottsbluff,RF,Satellite,0.22362592827277628,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,PSLR,Satellite,0.21157364372672846,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LR,Satellite,0.046395162425131975,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,LASSO,Satellite,,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,SVM,Satellite,0.2098012318654633,Scottsbluff,2022-08-18,Satellite
TP4,Scottsbluff,GB,Satellite,0.1571750982487484,Scottsbluff,2022-08-18,Satellite
TP3,Scottsbluff,RF,Satellite,0.21832940665823028,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,PSLR,Satellite,0.14183420564245328,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LR,Satellite,0.17561175358651682,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,LASSO,Satellite,,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,SVM,Satellite,0.1586589097631585,Scottsbluff,2022-08-07,Satellite
TP3,Scottsbluff,GB,Satellite,0.1896697399924389,Scottsbluff,2022-08-07,Satellite
TP6,Scottsbluff,RF,Satellite,0.2454881624383218,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,PSLR,Satellite,0.15607500741371058,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LR,Satellite,0.0005001586233932399,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LASSO,Satellite,,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,SVM,Satellite,0.20200075882413301,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,GB,Satellite,0.13501927280113254,Scottsbluff,2022-09-24,Satellite
TP5,Scottsbluff,RF,Satellite,0.28057509905903144,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,PSLR,Satellite,0.2356267873084033,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LR,Satellite,0.09649234021986065,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LASSO,Satellite,,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,SVM,Satellite,0.23455617076760213,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,GB,Satellite,0.23672619500771214,Scottsbluff,2022-09-09,Satellite
TP3,Scottsbluff,RF,UAV,0.22225216468245093,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,PLSR,UAV,0.00037013657007926696,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LR,UAV,0.0007263638507119992,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LASSO,UAV,0.29548252448382295,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,SVM,UAV,0.14328156513011084,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,GB,UAV,0.1538546109725067,Scottsbluff,2022-08-12,UAV
TP2,Scottsbluff,RF,UAV,0.02394156831709335,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,PLSR,UAV,0.3075847927294906,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LR,UAV,0.0729253161693968,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LASSO,UAV,0.04445913929197271,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,SVM,UAV,0.05414827826786085,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,GB,UAV,0.050607363948351934,Scottsbluff,2022-07-22,UAV
TP1,Scottsbluff,RF,UAV,0.32817948205719194,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,PLSR,UAV,0.2695016157923046,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LR,UAV,0.07589399180239711,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LASSO,UAV,0.3034041374970413,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,SVM,UAV,0.32059142358323717,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,GB,UAV,0.24913195784371248,Scottsbluff,2022-07-08,UAV
TP3,Crawfordville,RF,Satellite,0.11428046650065563,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,PSLR,Satellite,0.14671673763463153,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,LR,Satellite,0.09319673302755709,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,LASSO,Satellite,,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,SVM,Satellite,0.09259060019631825,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,GB,Satellite,0.11847690005463742,Crawfordville,2022-08-02,Satellite
TP2,Crawfordville,RF,Satellite,0.08014606113725606,Crawfordville,2022-07-20,Satellite
TP2,Crawfordville,PSLR,Satellite,0.08499472014192613,Crawfordville,2022-07-20,Satellite
TP2,Crawfordville,LR,Satellite,0.03887229347349708,Crawfordville,2022-07-20,Satellite
TP2,Crawfordville,LASSO,Satellite,,Crawfordville,2022-07-20,Satellite
TP2,Crawfordville,SVM,Satellite,0.03647753138466143,Crawfordville,2022-07-20,Satellite
TP2,Crawfordville,GB,Satellite,0.046601541853550386,Crawfordville,2022-07-20,Satellite
TP4,Crawfordville,RF,Satellite,0.039839993046939484,Crawfordville,2022-09-13,Satellite
TP4,Crawfordville,PSLR,Satellite,0.018290746239497824,Crawfordville,2022-09-13,Satellite
TP4,Crawfordville,LR,Satellite,0.08016189093212965,Crawfordville,2022-09-13,Satellite
TP4,Crawfordville,LASSO,Satellite,,Crawfordville,2022-09-13,Satellite
TP4,Crawfordville,SVM,Satellite,0.030066968127639877,Crawfordville,2022-09-13,Satellite
TP4,Crawfordville,GB,Satellite,0.050918071466966704,Crawfordville,2022-09-13,Satellite
TP5,Crawfordville,RF,Satellite,0.0030783169051124973,Crawfordville,2022-10-01,Satellite
TP5,Crawfordville,PSLR,Satellite,0.027419604952023415,Crawfordville,2022-10-01,Satellite
TP5,Crawfordville,LR,Satellite,0.004393662191992926,Crawfordville,2022-10-01,Satellite
TP5,Crawfordville,LASSO,Satellite,0.0005752137773564436,Crawfordville,2022-10-01,Satellite
TP5,Crawfordville,SVM,Satellite,0.02341558199277266,Crawfordville,2022-10-01,Satellite
TP5,Crawfordville,GB,Satellite,0.004800038634148932,Crawfordville,2022-10-01,Satellite
TP1,Crawfordville,RF,Satellite,0.045593096670756283,Crawfordville,2022-07-10,Satellite
TP1,Crawfordville,PSLR,Satellite,0.02706489264007536,Crawfordville,2022-07-10,Satellite
TP1,Crawfordville,LR,Satellite,0.0249128815455138,Crawfordville,2022-07-10,Satellite
TP1,Crawfordville,LASSO,Satellite,0.04448255501427424,Crawfordville,2022-07-10,Satellite
TP1,Crawfordville,SVM,Satellite,0.020750784635911568,Crawfordville,2022-07-10,Satellite
TP1,Crawfordville,GB,Satellite,0.024449284002644855,Crawfordville,2022-07-10,Satellite
TP6,Crawfordville,RF,Satellite,0.10788717464150153,Crawfordville,2022-10-09,Satellite
TP6,Crawfordville,PSLR,Satellite,0.03708625236346416,Crawfordville,2022-10-09,Satellite
TP6,Crawfordville,LR,Satellite,0.03834148336236838,Crawfordville,2022-10-09,Satellite
TP6,Crawfordville,LASSO,Satellite,0.07470330152904356,Crawfordville,2022-10-09,Satellite
TP6,Crawfordville,SVM,Satellite,0.09179297703737442,Crawfordville,2022-10-09,Satellite
TP6,Crawfordville,GB,Satellite,0.030173543725157768,Crawfordville,2022-10-09,Satellite
TP3,Crawfordville,RF,UAV,0.07240071609104191,Crawfordville,2022-08-11,UAV
TP3,Crawfordville,PLSR,UAV,0.12916284211342646,Crawfordville,2022-08-11,UAV
TP3,Crawfordville,LR,UAV,0.12916284211329637,Crawfordville,2022-08-11,UAV
TP3,Crawfordville,LASSO,UAV,0.20915613840171307,Crawfordville,2022-08-11,UAV
TP3,Crawfordville,SVM,UAV,0.07139550552782852,Crawfordville,2022-08-11,UAV
TP3,Crawfordville,GB,UAV,0.07261914222149508,Crawfordville,2022-08-11,UAV
TP2,Crawfordville,RF,UAV,0.024446511596108392,Crawfordville,2022-07-26,UAV
TP2,Crawfordville,PLSR,UAV,0.15290122751139837,Crawfordville,2022-07-26,UAV
TP2,Crawfordville,LR,UAV,0.024124448270119933,Crawfordville,2022-07-26,UAV
TP2,Crawfordville,LASSO,UAV,0.1542595156498717,Crawfordville,2022-07-26,UAV
TP2,Crawfordville,SVM,UAV,0.01724866003792553,Crawfordville,2022-07-26,UAV
TP2,Crawfordville,GB,UAV,0.0036007800149862987,Crawfordville,2022-07-26,UAV
TP1,Crawfordville,RF,UAV,0.10590146501435861,Crawfordville,2022-07-12,UAV
TP1,Crawfordville,PLSR,UAV,0.09418979752954276,Crawfordville,2022-07-12,UAV
TP1,Crawfordville,LR,UAV,0.06689157740367335,Crawfordville,2022-07-12,UAV
TP1,Crawfordville,LASSO,UAV,0.07429430860204336,Crawfordville,2022-07-12,UAV
TP1,Crawfordville,SVM,UAV,0.03296110150875721,Crawfordville,2022-07-12,UAV
TP1,Crawfordville,GB,UAV,0.16411072305092544,Crawfordville,2022-07-12,UAV
TP1,Lincoln,RF,Satellite,0.23249383554318542,Lincoln,2022-07-18,Satellite
TP1,Lincoln,PSLR,Satellite,0.20815523037378125,Lincoln,2022-07-18,Satellite
TP1,Lincoln,LR,Satellite,0.11892685509765583,Lincoln,2022-07-18,Satellite
