file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight
Crawfordsville-TP2-4351_9_16_cropped.TIF,337.6611570247934,471.2809917355372,350.12396694214874,3986.5413223140495,1730.595041322314,331.07851239669424,Crawfordsville-TP2-4351,9,16,0.04423379910667859,-0.010581376103315512,0.014189643149454496,30000.0,14.28,132.5,60.0,,,,,,,,,,,33.33,246.0
Crawfordsville-TP2-4352_14_3_cropped.TIF,324.9166666666667,458.66269841269843,340.94444444444446,3944.8373015873017,1731.6031746031747,321.4325396825397,Crawfordsville-TP2-4352,14,3,0.043910020134737576,0.01393406322416949,-0.02936478290624587,32000.0,15.66,145.31,64.0,,,,,,,,,,,1.56,247.0
Crawfordsville-TP2-4351_3_16_cropped.TIF,341.95454545454544,469.719696969697,341.8712121212121,3713.6477272727275,1623.9886363636363,319.6818181818182,Crawfordsville-TP2-4351,3,16,0.040947986217685216,-0.003825969101689068,0.07965780262295476,31500.0,20.81,186.97,63.0,,,,,,,,,,,4.76,213.0
Crawfordsville-TP2-4351_16_15_cropped.TIF,354.0189393939394,478.530303030303,346.3560606060606,3688.2310606060605,1657.340909090909,328.74242424242425,Crawfordsville-TP2-4351,16,15,0.04061447532743144,0.03811469944918835,0.04301762947733026,29000.0,17.23,158.43,58.0,,,,,,,,,,,0.0,221.0
Crawfordsville-TP2-4352_6_7_cropped.TIF,285.78512396694214,420.41322314049586,315.07851239669424,3916.0578512396696,1646.4917355371902,311.05371900826447,Crawfordsville-TP2-4352,6,7,0.04377532121002124,-0.05730048329280071,-0.05803491884746721,,,,,,,,,,,,,,,,
Crawfordsville-TP2-4353_35_46_cropped.TIF,387.0822510822511,543.3073593073593,395.14285714285717,4331.545454545455,1908.6363636363637,369.3290043290043,Crawfordsville-TP2-4353,35,46,0.04787352906099715,0.013489993430253974,0.04026673470135001,24500.0,17.81,161.14,49.0,,,,,,,,,,,0.0,232.0
Crawfordsville-TP2-4352_14_9_cropped.TIF,346.25108225108227,508.030303030303,375.82683982683983,4432.333333333333,1873.7316017316018,351.2251082251082,Crawfordsville-TP2-4352,14,9,0.0493278294993671,-0.05574651697891782,0.024305178478959452,34000.0,16.49,149.54,68.0,,,,,,,,,,,4.41,237.0
Crawfordsville-TP2-4351_17_14_cropped.TIF,416.6628787878788,491.52272727272725,406.4962121212121,2957.753787878788,1378.4166666666667,391.4318181818182,Crawfordsville-TP2-4351,17,14,0.030980138119098725,-0.0032083161897108357,0.0782100288585861,,,,,,,,,,,,,,,,
Crawfordsville-TP2-4351_15_19_cropped.TIF,335.9469696969697,410.3863636363636,336.27272727272725,2679.8863636363635,1241.5227272727273,332.8068181818182,Crawfordsville-TP2-4351,15,19,0.028495200920801052,0.005296719064887548,-0.015384399783489152,,,,,,,,,,,,,,,,
Crawfordsville-TP2-4352_21_6_cropped.TIF,345.4935064935065,487.4458874458874,364.94805194805195,4221.597402597403,1840.4805194805194,350.16450216450215,Crawfordsville-TP2-4352,21,6,0.0469585692871711,-0.0019791817597386947,-0.04483422972821721,34500.0,25.71,231.8,69.0,,,,,,,,,,,2.9,228.0
