file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum
Ames-TP1-4231_10_2,61.46850337207634,52.0,8995854,91.78879254385066,80.0,13433198,59.83777135477523,48.0,8757198,0.20478861331935017,0.19714964370546317,29970.608770673578,0.19542689956350873,0.19791666666666666,28600.531324219937
Ames-TP1-4231_10_3,50.329789119262806,40.0,7384286,80.92517618833408,69.0,11873180,50.69462506304612,38.0,7437814,0.24001275304146807,0.23243243243243245,35214.19110073811,0.23818722726345615,0.23711340206185566,34946.35360963976
Ames-TP1-4231_10_4,37.80671181175317,25.0,5549496,59.945376262041336,43.0,8799142,40.43874075184282,26.0,5935841,0.21135787856671007,0.21052631578947367,31024.377563293103,0.2291992845223887,0.22821576763485477,33643.24617790335
Ames-TP1-4231_10_5,30.895225364695932,26.0,4530136,53.228147228720104,46.0,7804790,36.27387488150366,30.0,5318802,0.22721221361392316,0.22105263157894736,33315.89966999594,0.2650991522794957,0.26666666666666666,38871.22359959018
Ames-TP1-4231_10_6,28.61507684967454,24.0,4198261,49.095327676106734,42.0,7203021,31.197498551613673,24.0,4577141,0.23819991568099075,0.22727272727272727,34947.50062913656,0.25550590921217037,0.25925925925925924,37486.549470063575
Ames-TP1-4231_10_7,38.017432236353606,29.0,5580845,62.55638739211292,51.0,9183090,39.499492496440666,30.0,5798407,0.23891005356600692,0.23595505617977527,35071.27913332912,0.24426936251655562,0.24347826086956523,35858.009609342815
Ames-TP1-4231_11_2,46.90909152940213,39.0,6874715,70.32042796511865,58.0,10305740,46.07384308855439,36.0,6752306,0.1921771749013188,0.1737891737891738,28164.333690487878,0.19365143665070955,0.18840579710144928,28380.392646908087
Ames-TP1-4231_11_3,55.25837493521019,45.0,8102425,87.87381673350247,75.0,12884762,54.6028316556183,42.0,8006304,0.23596857687890743,0.23383084577114427,34599.60049060044,0.2315050318141281,0.23076923076923078,33945.119804841976
Ames-TP1-4231_11_4,39.90004967912728,30.0,5863033,61.67345161048842,47.0,9062482,42.95621431439402,31.0,6312115,0.1844645291696207,0.17985611510791366,27105.771309771575,0.20448457627496006,0.20481927710843373,30047.577091571457
Ames-TP1-4231_11_5,28.21755691320523,21.0,4133731,47.69099286665074,37.0,6986492,32.44848629646063,23.0,4753541,0.2137803568492126,0.20821114369501467,31317.7533766254,0.24699753734765723,0.25190839694656486,36183.904233745045
Ames-TP1-4231_11_6,38.169725459160006,32.0,5594613,62.794210353955734,55.0,9203873,40.519976530305925,33.0,5939094,0.22694599810938793,0.2222222222222222,33263.92883488921,0.23738120119315675,0.24170616113744076,34793.43742128337
Ames-TP1-4231_11_7,35.62312782528185,28.0,5232610,58.76284652252056,48.0,8631557,35.41999346440826,26.0,5202772,0.24425222541978514,0.23711340206185566,35877.7208874614,0.23961281849676394,0.24271844660194175,35196.24768335266
Ames-TP1-4231_12_2,50.17012416975555,40.0,7349572,75.46458192541623,61.0,11055033,51.02293624951363,38.0,7474503,0.1927510197341355,0.18295739348370926,28236.67513391271,0.19823865893510048,0.2,29040.575863379676
Ames-TP1-4231_12_3,42.3870288754317,32.0,6222543,70.15101190030177,57.0,10298379,44.82016035094651,33.0,6579734,0.23749293498993182,0.23076923076923078,34864.67533532696,0.24657937769687113,0.25,36198.59238403377
Ames-TP1-4231_12_4,35.047235407487115,25.0,5146301,55.82266972670748,40.0,8196945,37.822962564441326,26.0,5553886,0.19755974598808057,0.19083969465648856,29009.47554114376,0.2180226688422259,0.2222222222222222,32014.23067012361
Ames-TP1-4231_12_5,27.219460367999236,22.0,3983813,46.65939231615411,38.0,6829022,31.78386023408195,25.0,4651854,0.21983641807114512,0.21518987341772153,32175.038312474728,0.2592392906120899,0.2631578947368421,37942.00333469486
Ames-TP1-4231_12_6,33.05648877859889,28.0,4848858,55.39122194649723,48.0,8125006,33.647957514111965,26.0,4935617,0.2420956954607683,0.23785166240409208,35511.56499296734,0.24220666641681476,0.25217391304347825,35527.84265668406
Ames-TP1-4231_12_7,35.66474248444411,29.0,5233052,57.69284872111171,47.0,8465214,36.36676457959913,28.0,5336059,0.22835419853152186,0.2222222222222222,33506.18319633167,0.2303963143387305,0.234375,33805.82080660759
Ames-TP1-4231_13_2,43.48308487215667,32.0,6379099,70.41268413052221,54.0,10329752,44.93131019815546,31.0,6591558,0.2273875918962106,0.22105263157894736,33358.441893949785,0.23620741487376606,0.2388663967611336,34652.3363842261
Ames-TP1-4231_13_3,37.316068568312716,30.0,5474827,63.76291449408718,53.0,9354976,38.572947551375115,30.0,5659230,0.24484071831091747,0.2413793103448276,35921.805986986255,0.2513775652201232,0.26126126126126126,36880.85948127038
Ames-TP1-4231_13_4,32.60161925661401,24.0,4783766,54.556046996606106,41.0,8005227,37.64201889132716,27.0,5523364,0.20724600107587302,0.20930232558139536,30410.034721867152,0.2405153941704304,0.25,35291.78584820394
Ames-TP1-4231_13_5,28.052730748039263,22.0,4124060,48.54359877832271,40.0,7136443,33.00291814898205,25.0,4851792,0.22362873034944833,0.22033898305084745,32875.88327740275,0.2577172135693981,0.2641509433962264,37887.26528405078
Ames-TP1-4231_13_6,33.98486285803982,27.0,4979700,55.354255529697596,45.0,8110893,37.117391334020354,28.0,5438700,0.21814529017144937,0.2112676056338028,31964.174932951963,0.2351845997675215,0.23893805309734514,34460.893850135624
Ames-TP1-4231_13_7,36.69808964999659,29.0,5378839,60.38879033908712,49.0,8851185,37.141550112574194,27.0,5443837,0.24418795913687474,0.23529411764705882,35790.62917069173,0.24429493724671034,0.24352331606217617,35806.308952250336
Ames-TP1-4231_14_2,45.45348710324226,37.0,6664663,73.07518448297027,59.0,10714722,48.10663865890088,37.0,7053684,0.21279877374897876,0.2140077821011673,31201.83299971776,0.2248855957595183,0.2336448598130841,32974.07536383513
Ames-TP1-4231_14_3,33.47127626257812,26.0,4916328,57.2488392042592,46.0,8408824,36.923271741942514,28.0,5423364,0.22349791576569245,0.2229299363057325,32827.82086349644,0.24630390318241513,0.2564102564102564,36177.6099072395
Ames-TP1-4231_14_4,33.52381957303126,29.0,4924515,58.18780633917874,51.0,8547556,38.42405511382202,32.0,5644340,0.22741319613859992,0.2283464566929134,33406.088859975775,0.2547161745453392,0.2669683257918552,37416.78717601214
Ames-TP1-4231_14_5,30.71191563812623,25.0,4511304,53.08438910484645,44.0,7797619,34.61081346032092,28.0,5084017,0.2329516731110085,0.2336448598130841,34218.50421494915,0.2580343715539719,0.26666666666666666,37902.926871934484
Ames-TP1-4231_14_6,34.877957955504726,28.0,5123293,56.032500068077226,45.0,8230726,36.76671976690358,27.0,5400737,0.21737069620817379,0.21212121212121213,31930.016307411064,0.22228191627795993,0.23333333333333334,32651.43524590209
Ames-TP1-4231_14_7,37.545382502835125,27.0,5495818,60.91796581453497,47.0,8917050,38.243055650439274,27.0,5597942,0.23602082045015008,0.23076923076923078,34548.25565585207,0.2393127080887387,0.24,35030.11558461339
Ames-TP1-4231_15_2,41.04205005959476,33.0,6025999,66.9637255235825,53.0,9831949,40.856897667290994,30.0,5998814,0.23104023664867226,0.22012578616352202,33922.482745941306,0.22925787544874632,0.23308270676691728,33660.787562762176
Ames-TP1-4231_15_3,31.38868718794063,24.0,4608079,51.51415804423495,39.0,7562639,34.578964218327464,26.0,5076434,0.2049901239270111,0.2,30093.98512335272,0.23030857737939653,0.24050632911392406,33810.911319337065
Ames-TP1-4231_15_4,34.33480482321684,30.0,5040006,55.670420328360244,46.0,8171861,38.488786702091424,32.0,5649769,0.19933117494404767,0.2037037037037037,29259.823170036758,0.2253059176550157,0.24031007751937986,33072.65565257976
Ames-TP1-4231_15_5,31.140556119563662,25.0,4570406,52.107094919157575,43.0,7647602,35.17700845557925,27.0,5162824,0.2104277796045994,0.21212121212121213,30883.85392922824,0.2374862863510195,0.25,34855.14978888008
Ames-TP1-4231_15_6,35.87384667802385,29.0,5264487,58.1837069846678,47.0,8538459,35.94192163543441,27.0,5274477,0.22788308686609016,0.22666666666666666,33441.84299759873,0.22382985783095655,0.23404255319148937,32847.031636692875
Ames-TP1-4231_15_7,40.65574272379683,31.0,5975825,63.0216279101411,50.0,9263297,42.27389683371205,31.0,6213671,0.2039427409691517,0.20300751879699247,29976.72772409173,0.20746322280576265,0.21212121212121213,30494.18926732783
Ames-TP1-4231_16_2,40.27403066439523,31.0,5910214,64.16463373083475,50.0,9416160,41.75393526405451,31.0,6127390,0.2124940739057184,0.21428571428571427,31183.505345664173,0.22462001013947824,0.234375,32962.98648796843
Ames-TP1-4231_16_3,34.898946937940906,29.0,5120199,59.11660702722966,50.0,8673293,40.23388883208943,32.0,5902915,0.21651201462095426,0.21951219512195122,31765.560225113306,0.24793136222134435,0.26153846153846155,36375.249808304536
Ames-TP1-4231_16_4,31.70101885944912,25.0,4657799,52.558480626697246,41.0,7722365,37.859687331976666,29.0,5562686,0.191300659371285,0.1949685534591195,28107.614580763533,0.23078615257203738,0.24175824175824176,33909.17861125688
Ames-TP1-4231_16_5,27.802201542577453,22.0,4084060,46.23984152161038,36.0,6792494,31.285329176225517,23.0,4595721,0.20333171820611062,0.20567375886524822,29868.819409323034,0.23087710073008838,0.24444444444444444,33915.15346594779
Ames-TP1-4231_16_6,30.618891665361648,25.0,4496966,51.96859105733681,44.0,7632575,31.19953155533162,23.0,4582244,0.24837175039120135,0.24503311258278146,36478.11060820535,0.24876086797782374,0.25925925925925924,36535.259919034994
Ames-TP1-4231_16_7,33.3422434400049,25.0,4895875,56.28171373700089,45.0,8264238,32.804906120392,24.0,4816974,0.25914427142047075,0.25301204819277107,38051.967382567665,0.25245265588459764,0.2535885167464115,37069.39063212666
Ames-TP1-4231_17_2,36.050677521582344,27.0,5278396,60.15687493170145,47.0,8807929,39.610759753032454,29.0,5799649,0.22000215811349944,0.22321428571428573,32211.835982346132,0.24593127451273056,0.25,36008.27348905596
Ames-TP1-4231_17_3,26.652048415864503,22.0,3915026,45.67236919138971,38.0,6708997,33.74608901656977,27.0,4957098,0.19906876528279124,0.19815668202764977,29242.007207450337,0.2528868712027664,0.2653061224489796,37147.56405845916
