file,Red,Green,Blue,GLI,NGRDI
Crawfordsville-TP2-4352_11_9,92,104,90,0.06666666666666667,0.061224489795918366
Crawfordsville-TP2-4352_11_9,71,88,76,0.08978328173374613,0.1069182389937107
Crawfordsville-TP2-4352_11_9,83,97,85,0.0718232044198895,0.07777777777777778
Crawfordsville-TP2-4352_11_9,77,93,80,0.08454810495626822,0.09411764705882353
Crawfordsville-TP2-4352_11_9,90,101,89,0.06036745406824147,0.05759162303664921
Crawfordsville-TP2-4352_11_9,66,82,71,0.08970099667774087,0.10810810810810811
Crawfordsville-TP2-4352_11_9,75,90,77,0.08433734939759036,0.09090909090909091
Crawfordsville-TP2-4352_11_9,92,103,90,0.061855670103092786,0.05641025641025641
Crawfordsville-TP2-4352_11_9,84,96,83,0.06963788300835655,0.06666666666666667
Crawfordsville-TP2-4352_11_9,78,90,79,0.06824925816023739,0.07142857142857142
Crawfordsville-TP2-4352_11_9,98,105,94,0.04477611940298507,0.034482758620689655
Crawfordsville-TP2-4352_11_9,75,87,76,0.07076923076923076,0.07407407407407407
Crawfordsville-TP2-4351_19_13,57,75,67,0.0948905109489051,0.13636363636363635
Crawfordsville-TP2-4351_19_13,38,61,52,0.1509433962264151,0.23232323232323232
Crawfordsville-TP2-4351_19_13,56,73,62,0.10606060606060606,0.13178294573643412
Crawfordsville-TP2-4351_19_13,63,81,67,0.1095890410958904,0.125
Crawfordsville-TP2-4351_19_13,54,73,59,0.1274131274131274,0.14960629921259844
Crawfordsville-TP2-4351_19_13,66,82,68,0.10067114093959731,0.10810810810810811
Crawfordsville-TP2-4351_19_13,78,93,77,0.09090909090909091,0.08771929824561403
Crawfordsville-TP2-4351_19_13,66,82,70,0.09333333333333334,0.10810810810810811
Crawfordsville-TP2-4351_19_13,57,75,64,0.1070110701107011,0.13636363636363635
Crawfordsville-TP2-4351_19_13,62,78,67,0.09473684210526316,0.11428571428571428
Crawfordsville-TP2-4351_19_13,45,67,56,0.14042553191489363,0.19642857142857142
Crawfordsville-TP2-4351_19_13,33,58,47,0.1836734693877551,0.27472527472527475
Crawfordsville-TP2-4351_19_13,54,73,61,0.11877394636015326,0.14960629921259844
Crawfordsville-TP2-4351_19_13,53,72,59,0.125,0.152
Crawfordsville-TP2-4351_19_13,54,73,61,0.11877394636015326,0.14960629921259844
Crawfordsville-TP2-4351_19_13,54,73,62,0.11450381679389313,0.14960629921259844
Crawfordsville-TP2-4351_7_14,74,87,77,0.07076923076923076,0.08074534161490683
Crawfordsville-TP2-4351_7_14,83,93,85,0.05084745762711865,0.056818181818181816
Crawfordsville-TP2-4351_7_14,81,93,83,0.06285714285714286,0.06896551724137931
Crawfordsville-TP2-4351_7_14,62,76,68,0.07801418439716312,0.10144927536231885
Crawfordsville-TP2-4351_7_14,71,84,74,0.07348242811501597,0.08387096774193549
Crawfordsville-TP2-4351_7_14,89,97,86,0.051490514905149054,0.043010752688172046
Crawfordsville-TP2-4351_7_14,89,97,86,0.051490514905149054,0.043010752688172046
Crawfordsville-TP2-4351_7_14,90,99,87,0.056,0.047619047619047616
Crawfordsville-TP2-4351_7_14,90,99,87,0.056,0.047619047619047616
Crawfordsville-TP2-4351_7_14,89,97,86,0.051490514905149054,0.043010752688172046
Crawfordsville-TP2-4351_7_14,75,88,77,0.07317073170731707,0.07975460122699386
Crawfordsville-TP2-4351_7_14,77,88,79,0.060240963855421686,0.06666666666666667
Crawfordsville-TP2-4351_7_14,101,108,98,0.04096385542168675,0.03349282296650718
Crawfordsville-TP2-4351_7_14,94,103,93,0.04834605597964377,0.04568527918781726
Crawfordsville-TP2-4351_7_14,75,87,80,0.057750759878419454,0.07407407407407407
Crawfordsville-TP2-4351_7_14,75,87,79,0.06097560975609756,0.07407407407407407
Crawfordsville-TP2-4351_7_14,101,107,98,0.03631961259079903,0.028846153846153848
Crawfordsville-TP2-4351_7_14,103,107,98,0.03132530120481928,0.01904761904761905
Crawfordsville-TP2-4351_7_14,86,93,86,0.03910614525139665,0.03910614525139665
Crawfordsville-TP2-4351_7_14,69,81,74,0.06229508196721312,0.08
Crawfordsville-TP2-4353_26_46,53,75,61,0.13636363636363635,0.171875
Crawfordsville-TP2-4353_26_46,92,104,89,0.06940874035989718,0.061224489795918366
Crawfordsville-TP2-4353_26_46,94,105,91,0.06329113924050633,0.05527638190954774
Crawfordsville-TP2-4353_26_46,72,90,76,0.0975609756097561,0.1111111111111111
Crawfordsville-TP2-4353_26_46,65,85,70,0.11475409836065574,0.13333333333333333
Crawfordsville-TP2-4353_26_46,77,94,79,0.09302325581395349,0.09941520467836257
Crawfordsville-TP2-4353_26_46,60,84,67,0.13898305084745763,0.16666666666666666
Crawfordsville-TP2-4353_26_46,75,94,79,0.09941520467836257,0.11242603550295859
Crawfordsville-TP2-4353_26_46,92,107,90,0.08080808080808081,0.07537688442211055
Crawfordsville-TP2-4353_26_46,86,103,86,0.08994708994708994,0.08994708994708994
Crawfordsville-TP2-4353_26_46,83,99,83,0.08791208791208792,0.08791208791208792
Crawfordsville-TP2-4353_26_46,87,101,86,0.07733333333333334,0.07446808510638298
Crawfordsville-TP2-4353_26_46,90,103,89,0.07012987012987013,0.06735751295336788
