file,RedMean,RedMedian,RedSum,GreenMean,GreenMedian,GreenSum,BlueMean,BlueMedian,BlueSum,GLIMean,GLIMedian,GLIsum,NGRDIMean,NGRDIMedian,NGRDISum
Crawfordsville-TP2-4351_10_13,70.18009478672985,71.0,14808,83.98578199052133,84.0,17721,73.12322274881517,73.0,15429,0.084316942274658,0.07736389684813753,17.790874819952837,0.09995397322843869,0.08771929824561403,21.090288351200563
Crawfordsville-TP2-4351_10_14,63.575,65.0,12715,79.385,81.0,15877,68.615,70.0,13723,0.0954204501037951,0.08960573476702509,19.08409002075902,0.12016016739211936,0.10454545454545455,24.032033478423873
Crawfordsville-TP2-4351_10_15,69.84,71.0,13968,82.01,82.0,16402,73.235,74.0,14647,0.0731310255227243,0.06578947368421052,14.626205104544859,0.09126549431362603,0.07498722032165467,18.253098862725206
Crawfordsville-TP2-4351_10_16,66.14953271028037,69.0,14156,81.08878504672897,84.0,17353,71.57943925233644,74.0,15318,0.08672662845301223,0.079156223893066,18.559498488944616,0.1129482779255448,0.0962257432793306,24.170931476066585
Crawfordsville-TP2-4351_10_17,66.14423076923077,70.0,13758,83.02403846153847,85.0,17269,70.10576923076923,73.0,14582,0.10839694139608863,0.09090909090909091,22.546563810386434,0.13275346626961013,0.10126582278481013,27.612720984078905
Crawfordsville-TP2-4351_10_18,76.36666666666666,80.0,16037,89.46190476190476,93.0,18787,77.2,80.0,16212,0.08185718463047165,0.07520666293741066,17.190008772399047,0.08976193660160998,0.07471511147811727,18.850006686338098
Crawfordsville-TP2-4351_10_19,59.25714285714286,62.0,12444,74.4952380952381,76.0,15644,65.98095238095237,68.0,13856,0.09318194549426065,0.08086312118570183,19.568208553794737,0.1292053995765229,0.10236220472440945,27.133133911069812
Crawfordsville-TP2-4351_10_20,67.29223744292237,68.0,14737,83.29223744292237,84.0,18241,71.99543378995433,73.0,15767,0.09421725226375961,0.087248322147651,20.633578245763356,0.11675034718735039,0.10126582278481013,25.568326034029734
Crawfordsville-TP2-4351_11_13,67.87203791469194,69.0,14321,85.40284360189574,85.0,18020,72.88151658767772,74.0,15378,0.10357907340875447,0.09316770186335403,21.855184489247193,0.13060126851418496,0.1111111111111111,27.556867656493026
Crawfordsville-TP2-4351_11_14,70.14354066985646,71.0,14660,86.69377990430623,88.0,18119,74.97607655502392,76.0,15670,0.09395044892829289,0.08974358974358974,19.635643826013215,0.11716602068360914,0.10126582278481013,24.48769832287431
Crawfordsville-TP2-4351_11_15,68.84466019417475,71.0,14182,85.68932038834951,87.0,17652,73.60679611650485,74.0,15163,0.09813884163404624,0.08766629564848677,20.216601376613525,0.12133948414095812,0.10303030303030303,24.995933733037372
Crawfordsville-TP2-4351_11_16,65.53333333333333,66.0,13762,82.4047619047619,84.0,17305,71.47619047619048,71.0,15010,0.09857433068359535,0.09090909090909091,20.700609443555024,0.1278912042096983,0.1095890410958904,26.857152884036644
Crawfordsville-TP2-4351_11_17,66.62995594713657,68.0,15125,78.50220264317181,79.0,17820,68.93832599118943,70.0,15649,0.07998185149238625,0.06918238993710692,18.15588028877168,0.09549659216024879,0.07482993197278912,21.677726420376477
Crawfordsville-TP2-4351_11_18,74.24752475247524,74.5,14998,91.33168316831683,91.0,18449,77.14356435643565,77.0,15583,0.09745709800902555,0.09090909090909091,19.68633379782316,0.11014554206445355,0.09970760233918129,22.249399497019617
Crawfordsville-TP2-4351_11_19,67.865,69.0,13573,83.725,85.0,16745,71.945,73.0,14389,0.09551634747181957,0.08641975308641975,19.103269494363914,0.1159556794537564,0.1,23.19113589075128
Crawfordsville-TP2-4351_11_20,69.255,72.0,13851,86.25,88.0,17250,73.95,76.0,14790,0.10316519627357629,0.08558275789914208,20.633039254715257,0.13194899455455855,0.09878048780487805,26.389798910911708
Crawfordsville-TP2-4351_12_13,62.695238095238096,65.0,13166,79.69047619047619,81.0,16735,68.83333333333333,70.0,14455,0.10280187252969589,0.08970099667774087,21.588393231236136,0.13537321573920738,0.1095890410958904,28.42837530523355
Crawfordsville-TP2-4351_12_14,66.25,68.0,14840,82.21875,84.0,18417,71.72767857142857,73.0,16067,0.09745846754719019,0.08433734939759036,21.8306967305706,0.12791795628237143,0.10174504584442473,28.653622207251203
Crawfordsville-TP2-4351_12_15,71.44075829383887,72.0,15074,88.15165876777252,90.0,18600,74.81516587677726,76.0,15786,0.09946054067072593,0.08761329305135952,20.98617408152317,0.11782030989601369,0.1,24.860085388058888
Crawfordsville-TP2-4351_12_16,70.225,72.0,14045,85.685,87.0,17137,74.59,76.0,14918,0.08981482180589546,0.08195179983114591,17.962964361179093,0.11170323759453213,0.09333333333333334,22.340647518906426
Crawfordsville-TP2-4351_12_17,63.97,66.0,12794,79.335,81.0,15867,68.69,70.0,13738,0.09770453071559151,0.08444272717692929,19.540906143118303,0.12470183575935248,0.09803921568627451,24.940367151870497
Crawfordsville-TP2-4351_12_18,58.13181818181818,60.0,12789,73.46818181818182,75.5,16163,64.85,67.0,14267,0.09918213054572438,0.08695023338373545,21.820068720059364,0.1406295624966762,0.1111111111111111,30.938503749268765
Crawfordsville-TP2-4351_12_19,72.145,74.0,14429,88.905,90.0,17781,74.91,76.0,14982,0.09820477664888186,0.09090909090909091,19.64095532977637,0.11052525909895194,0.10063291139240507,22.10505181979039
Crawfordsville-TP2-4351_12_20,78.405,80.5,15681,97.69,100.0,19538,79.605,80.0,15921,0.11429793024887804,0.10392734413352969,22.859586049775608,0.1258676380274655,0.10309278350515463,25.173527605493103
Crawfordsville-TP2-4351_13_13,67.31840796019901,69.0,13531,84.12437810945273,85.0,16909,73.26865671641791,74.0,14727,0.09721260852600472,0.08626198083067092,19.53973431372695,0.12735014444215556,0.1038961038961039,25.59737903287327
Crawfordsville-TP2-4351_13_14,69.12,71.0,13824,85.06,87.0,17012,72.105,74.0,14421,0.0974848312676848,0.09090909090909091,19.49696625353696,0.11233410852652152,0.1,22.466821705304305
Crawfordsville-TP2-4351_13_15,70.16055045871559,71.5,15295,88.71559633027523,89.0,19340,74.27064220183486,76.0,16191,0.10782988019073166,0.09985086881482598,23.5069138815795,0.12646431079739995,0.1111111111111111,27.56921975383319
Crawfordsville-TP2-4351_13_16,66.5940594059406,68.0,13452,80.56930693069307,81.0,16275,71.31188118811882,71.0,14405,0.08183118516792098,0.07586206896551724,16.529899403920037,0.10378504153326804,0.09342925659472423,20.964578389720142
Crawfordsville-TP2-4351_13_17,66.765,68.0,13353,82.225,82.0,16445,72.095,73.0,14419,0.08769486703290749,0.08303249097472924,17.538973406581498,0.11061328672158076,0.09839880841556507,22.122657344316153
Crawfordsville-TP2-4351_13_18,63.616504854368934,65.0,13105,79.44174757281553,79.0,16365,69.35922330097087,71.0,14288,0.09586200489435365,0.08641975308641975,19.747573008236852,0.12590195479371855,0.10606060606060606,25.93580268750602
Crawfordsville-TP2-4351_13_19,68.23348017621146,71.0,15489,86.13215859030836,87.0,19552,72.25991189427313,73.0,16403,0.11282068202577579,0.0963855421686747,25.610294819851106,0.1390812570845449,0.1069182389937107,31.571445358191692
Crawfordsville-TP2-4351_13_20,75.88571428571429,77.5,15936,93.82380952380953,96.0,19703,77.4,78.0,16254,0.10450979817364563,0.0983555586264078,21.94705761646558,0.11217047189368762,0.10502067764637597,23.5557990976744
Crawfordsville-TP2-4351_14_13,75.77725118483413,78.0,15989,89.77251184834124,91.0,18942,78.1090047393365,80.0,16481,0.08087111449450014,0.07374631268436578,17.06380515833953,0.0922516789784681,0.07975460122699386,19.46510426445677
Crawfordsville-TP2-4351_14_14,68.995,71.0,13799,84.565,84.5,16913,72.085,73.0,14417,0.09680781287841649,0.0893638938964718,19.361562575683298,0.11460654180283834,0.09901960784313726,22.921308360567668
Crawfordsville-TP2-4351_14_15,69.54,71.0,13908,84.855,85.0,16971,72.395,73.0,14479,0.0925188986081204,0.08608631687581655,18.50377972162408,0.10535810697732545,0.09722222222222222,21.07162139546509
Crawfordsville-TP2-4351_14_16,68.05263157894737,71.0,15516,83.80263157894737,85.0,19107,72.28070175438596,74.0,16480,0.09643352223831587,0.08333333333333333,21.98684307033602,0.12111343280092222,0.09595029912563277,27.613862678610268
Crawfordsville-TP2-4351_14_17,71.54285714285714,75.0,15024,89.5047619047619,93.0,18796,73.63809523809523,76.0,15464,0.11633363017207442,0.09657320872274143,24.430062336135627,0.1331013045421954,0.10063291139240507,27.951273953861037
Crawfordsville-TP2-4351_14_18,73.39903846153847,77.0,15267,86.01442307692308,88.0,17891,75.45673076923077,77.0,15695,0.07760283421744953,0.07090665325959444,16.141389517229502,0.09077957252409743,0.07471511147811727,18.882151085012268
Crawfordsville-TP2-4351_14_19,65.54245283018868,68.0,13895,76.92924528301887,78.0,16309,68.9622641509434,70.5,14620,0.07415351307880677,0.06110004977600796,15.720544772707035,0.094984370507411,0.0718954248366013,20.13668654757113
Crawfordsville-TP2-4351_14_20,66.94711538461539,69.0,13925,82.61057692307692,84.0,17183,71.17788461538461,72.0,14805,0.0978829972317461,0.087248322147651,20.359663424203188,0.12179567131293192,0.09803921568627451,25.33349963308984
Crawfordsville-TP2-4351_15_13,70.33488372093024,72.0,15122,86.63255813953488,88.0,18626,73.6093023255814,74.0,15826,0.1004151319591452,0.0875,21.589253371216216,0.12169806737176839,0.09803921568627451,26.165084484930205
Crawfordsville-TP2-4351_15_14,69.62844036697248,72.0,15179,87.39449541284404,88.0,19052,73.9954128440367,76.0,16131,0.10510991722651405,0.09422863485016648,22.913961955380064,0.12766177854231267,0.10703054806828391,27.830267722224164
Crawfordsville-TP2-4351_15_15,71.6047619047619,75.0,15037,87.96190476190476,91.0,18472,75.12380952380953,77.0,15776,0.09790322673798954,0.0847457627118644,20.559677614977804,0.11810620635295303,0.09422863485016648,24.802303334120136
Crawfordsville-TP2-4351_15_16,63.97572815533981,66.0,13179,79.57281553398059,81.0,16392,69.31553398058253,70.0,14279,0.09592206436438772,0.08570625582851084,19.75994525906387,0.12455943441850045,0.10204081632653061,25.659243490211093
Crawfordsville-TP2-4351_15_17,67.83410138248848,71.0,14720,82.43778801843318,84.0,17889,72.03225806451613,74.0,15631,0.08961140619657287,0.0759493670886076,19.445675144656313,0.1116926420121642,0.08974358974358974,24.23730331663963
Crawfordsville-TP2-4351_15_18,68.975,69.0,13795,82.825,84.0,16565,72.495,74.0,14499,0.08355122817278068,0.078025533099106,16.710245634556138,0.10105671554983223,0.08683403761703537,20.211343109966446
Crawfordsville-TP2-4351_15_19,71.01,68.0,14202,80.265,79.0,16053,74.61,71.0,14922,0.06064456639134712,0.056252197351459046,12.128913278269424,0.09082412121858799,0.07053890738685412,18.164824243717597
Crawfordsville-TP2-4351_15_20,71.1,72.0,15642,86.06363636363636,87.0,18934,73.86363636363636,74.0,16250,0.09108872360755296,0.08395541821464532,20.03951919366165,0.10580478461965183,0.09433962264150944,23.277052616323402
Crawfordsville-TP2-4351_16_13,67.63461538461539,71.5,14068,85.04807692307692,88.0,17690,72.86057692307692,76.0,15155,0.10579890152824113,0.0897222932106653,22.006171517874154,0.13812485517369788,0.10063291139240507,28.72996987612916
Crawfordsville-TP2-4351_16_14,69.51834862385321,71.0,15155,86.58715596330275,88.0,18876,73.10091743119266,74.0,15936,0.10156361687756778,0.09657320872274143,22.140868479309777,0.11902399683773361,0.10566188197767146,25.947231310625927
Crawfordsville-TP2-4351_16_15,76.57425742574257,78.0,15468,91.74752475247524,93.0,18533,77.65346534653466,79.0,15686,0.09172464703373179,0.0856756299678674,18.52837870081382,0.0999677009190264,0.08706952566601689,20.193475585643334
Crawfordsville-TP2-4351_16_16,66.45,69.0,13290,83.76,86.0,16752,71.55,73.0,14310,0.10820605298111753,0.092001092001092,21.641210596223505,0.14192770148414227,0.10638297872340426,28.385540296828452
Crawfordsville-TP2-4351_16_17,70.74056603773585,74.0,14997,86.0,87.5,18232,73.05660377358491,74.0,15488,0.09736118582640504,0.08333333333333333,20.64057139519787,0.11284337702415939,0.08387096774193549,23.92279592912179
Crawfordsville-TP2-4351_16_18,67.4423076923077,69.0,14028,81.69711538461539,84.0,16993,71.03365384615384,73.0,14775,0.08810755427348266,0.07849829351535836,18.326371288884392,0.10650685506102699,0.08845174728072205,22.153425852693612
