file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum
Crawfordsville-TP2-4351_10_13,73.22222222222223,74.0,10544,86.10416666666667,87.0,12399,75.125,76.0,10818,0.07737080060562519,0.07374631268436578,11.141395287210027,0.0864420799431753,0.07987730061349693,12.447659511817244
Crawfordsville-TP2-4351_10_14,65.59027777777777,66.0,9445,81.04166666666667,81.0,11670,69.94444444444444,71.0,10072,0.0918241665760009,0.08748381019663251,13.22267998694413,0.11111566630951764,0.10144927536231885,16.00065594857054
Crawfordsville-TP2-4351_10_15,69.96527777777777,71.0,10075,82.04166666666667,82.0,11814,73.52777777777777,73.5,10588,0.07151683025015626,0.06578947368421052,10.2984235560225,0.09015983795377064,0.07407407407407407,12.983016665342973
Crawfordsville-TP2-4351_10_16,66.02083333333333,68.0,9507,80.88888888888889,83.0,11648,71.81944444444444,74.0,10342,0.0845716371549114,0.07806959219858156,12.17831575030724,0.11151333824906115,0.09803921568627451,16.057920707864806
Crawfordsville-TP2-4351_10_17,67.74305555555556,71.0,9755,84.51388888888889,87.0,12170,71.52083333333333,74.0,10299,0.10402154847643903,0.09036472509526403,14.979102980607221,0.12569408139107952,0.10126582278481013,18.09994772031545
Crawfordsville-TP2-4351_10_18,75.78472222222223,78.0,10913,89.20138888888889,91.0,12845,76.88888888888889,79.0,11072,0.08171113934591923,0.07781104457751165,11.766404065812369,0.08857236806461709,0.07781104457751165,12.754421001304861
Crawfordsville-TP2-4351_10_19,61.56944444444444,64.0,8866,75.84722222222223,77.0,10922,67.65972222222223,70.0,9743,0.08407722032387283,0.07590571802706242,12.107119726637688,0.11284099296474663,0.09789178829426506,16.249102986923514
Crawfordsville-TP2-4351_10_20,69.29166666666667,71.0,9978,85.04861111111111,87.0,12247,73.52083333333333,76.0,10587,0.09179192965633713,0.08444272717692929,13.218037870512546,0.11202774621090549,0.0975609756097561,16.13199545437039
Crawfordsville-TP2-4351_11_13,70.45138888888889,71.0,10145,87.73611111111111,88.0,12634,74.83333333333333,75.0,10776,0.09816707494537906,0.09090909090909091,14.136058792134584,0.11723359601133433,0.10323928944618599,16.881637825632144
Crawfordsville-TP2-4351_11_14,71.59722222222223,74.0,10310,88.14583333333333,90.0,12693,76.01388888888889,77.0,10946,0.09184926164050355,0.08878114331372122,13.226293676232512,0.10988031502629209,0.1,15.82276536378606
Crawfordsville-TP2-4351_11_15,67.95138888888889,70.0,9785,85.47916666666667,87.0,12309,73.24305555555556,74.0,10547,0.10050267300141967,0.09389793702497286,14.472384912204433,0.12462186932787908,0.10836594911937378,17.945549183214588
