file,RedMean,RedMedian,RedSum,GreenMean,GreenMedian,GreenSum,BlueMean,BlueMedian,BlueSum,GLIMean,GLIMedian,GLIsum,NGRDIMean,NGRDIMedian,NGRDISum
CrawfordsvilleV2-TP2-4351_10_13,76.3055442843151,73.0,21814229,101.50813977892822,101.0,29019147,63.31158178256611,61.0,18099515,0.19087301365141923,0.1875,54566.77714266773,,0.1774193548387097,
CrawfordsvilleV2-TP2-4351_10_14,57.710649119861195,55.0,16497397,83.77150323230627,81.0,23947257,50.46138723308986,46.0,14425094,0.21374992956487698,0.2140077821011673,61103.409865133995,,0.19469026548672566,
CrawfordsvilleV2-TP2-4351_10_15,80.65844783367797,78.0,23052749,107.21534811953521,109.0,30642897,70.89225946180464,70.0,20261504,0.17849258375581317,0.17412935323383086,51014.429885497695,,0.19767441860465115,
CrawfordsvilleV2-TP2-4351_10_16,71.04507968719932,67.0,20305039,96.64909291300012,95.0,27622794,62.036290477773306,59.0,17730282,0.18538984649071358,0.18518518518518517,52985.3450762784,,0.1794871794871795,
CrawfordsvilleV2-TP2-4351_10_17,75.42619537526944,69.0,21554393,99.51991475602587,96.0,28439607,62.77626606198035,57.0,17939448,0.1851011831123254,0.18232044198895028,52895.99489564301,,0.18446601941747573,
CrawfordsvilleV2-TP2-4351_10_18,88.44760528286568,89.0,25274257,110.1327050539975,115.0,31470861,74.21543705424946,75.0,21207358,0.1542210883008632,0.15090543259557343,44069.29286632486,,0.17857142857142858,
CrawfordsvilleV2-TP2-4351_10_19,54.942535856029906,52.0,15698511,81.00010499569518,79.0,23143836,49.719864485556094,46.0,14206258,0.21165557148037295,0.21333333333333335,60475.49981680104,,0.19745222929936307,
CrawfordsvilleV2-TP2-4351_10_20,68.51136391480127,65.0,19572669,96.25216234664053,96.0,27497799,62.70232598841381,61.0,17913114,0.19128651241353245,0.19047619047619047,54647.687298860015,,0.19047619047619047,
CrawfordsvilleV2-TP2-4351_11_13,72.724429732885,70.0,20806023,102.14360664676644,102.0,29222673,64.49386215719309,62.0,18451307,0.20126454293031137,0.20084566596194503,57580.578145104504,,0.2052980132450331,
CrawfordsvilleV2-TP2-4351_11_14,78.42102429833362,79.0,22433824,109.45016412124347,113.0,31310299,72.10733074887527,72.0,20627672,0.18689387770582058,0.18736842105263157,53464.54470142639,,0.1951219512195122,
CrawfordsvilleV2-TP2-4351_11_15,77.31656009313676,77.0,22114933,108.07348154570658,111.0,30912366,66.72326076544151,66.0,19084921,0.2010306327871442,0.2025586353944563,57500.992926739644,,0.20603015075376885,
CrawfordsvilleV2-TP2-4351_11_16,73.16277289064794,70.0,20925431,103.6773352167042,104.0,29652962,63.87889319329259,61.0,18270130,0.20792508530991347,0.20706260032102727,59469.06949965897,,0.20909090909090908,
CrawfordsvilleV2-TP2-4351_11_17,72.46895958486898,69.0,20724818,96.95202145589583,97.0,27726533,61.54958354022281,59.0,17602073,0.18480382720798744,0.18299445471349354,52850.568112594665,,0.1743119266055046,
CrawfordsvilleV2-TP2-4351_11_18,85.12238289241314,83.0,24341171,113.57837072266615,116.0,32478303,73.80999108251298,73.0,21106336,0.1811010775394096,0.1791907514450867,51786.75862778187,,0.2,
CrawfordsvilleV2-TP2-4351_11_19,72.1657154647251,71.0,20636075,101.24670051826517,103.0,28951899,66.04220958615721,65.0,18885034,0.1870673160734441,0.1889908256880734,53492.64730046564,,0.18454935622317598,
CrawfordsvilleV2-TP2-4351_11_20,78.3314914035505,76.0,22397480,105.33978008757327,107.0,30120014,72.02451981590029,71.0,20594115,0.1688434740809375,0.16883116883116883,48277.75223091062,,0.1746031746031746,
CrawfordsvilleV2-TP2-4351_12_13,59.60078035217147,56.0,17062571,87.83663603242968,84.0,25145960,52.30678948306035,47.0,14974440,0.22884301338438046,0.22535211267605634,65513.406714693825,,0.21212121212121213,
CrawfordsvilleV2-TP2-4351_12_14,71.4373139958922,70.0,20451360,101.55690503136745,103.0,29074117,64.56075784884939,64.0,18482712,0.2015184608790649,0.2,57691.51105430221,,0.1943127962085308,
CrawfordsvilleV2-TP2-4351_12_15,80.75302547548176,81.0,23114423,111.15290878855211,115.0,31815964,69.52812015260135,69.0,19901451,0.19676405024857274,0.1967654986522911,56320.95468695047,,0.19718309859154928,
CrawfordsvilleV2-TP2-4351_12_16,77.85143813503655,76.0,22281393,105.85875110061355,107.0,30297198,67.09167936157426,64.0,19201907,0.189793024048148,0.19077568134171907,54319.52265467615,,0.2,
CrawfordsvilleV2-TP2-4351_12_17,73.188389085153,71.0,20944980,101.66124698178413,102.0,29093314,62.608577149266715,61.0,17917260,0.2010957982436432,0.20146520146520147,57549.394445567574,,0.1977401129943503,
CrawfordsvilleV2-TP2-4351_12_18,57.09888355027518,53.0,16340273,84.7247313706648,83.0,24246100,49.79705075565651,45.0,14250671,0.22936707737089787,0.22381930184804927,65639.1233666167,,0.20754716981132076,
CrawfordsvilleV2-TP2-4351_12_19,76.30961550558814,75.0,21835386,104.19283432701246,106.0,29813946,67.61631637438754,67.0,19347868,0.18485384975351743,0.18518518518518517,52894.45027617098,,0.18269230769230768,
CrawfordsvilleV2-TP2-4351_12_20,86.88753084434876,85.0,24859739,115.71485491796976,119.0,33107640,76.4683377954242,77.0,21878662,0.182784227996092,0.1783960720130933,52297.12660887387,,0.21739130434782608,
CrawfordsvilleV2-TP2-4351_13_13,69.12826885218435,66.0,19804696,96.90721904974659,96.0,27763143,60.37456194239281,57.0,17296829,0.20750788871589207,0.20364741641337386,59449.35005399335,,0.2,
CrawfordsvilleV2-TP2-4351_13_14,74.09969248597687,72.0,21228895,103.9903347749144,104.0,29792295,63.61582388277468,61.0,18225361,0.20571129178315578,0.20634920634920634,58934.43369424808,,0.19642857142857142,
CrawfordsvilleV2-TP2-4351_13_15,76.571872948931,75.0,21932941,107.11989065620243,109.0,30682993,65.90337457582147,65.0,18877099,0.20398608669886203,0.20512820512820512,58428.95872967524,,0.20710059171597633,
CrawfordsvilleV2-TP2-4351_13_16,68.35502464842823,65.0,19578793,95.49737455835323,94.0,27353122,60.695085675981396,57.0,17384772,0.19838686619984833,0.19667590027700832,56823.55331189016,,0.1956521739130435,
CrawfordsvilleV2-TP2-4351_13_17,64.05777115039427,60.0,18343199,91.04623298434805,87.0,26071453,55.9708717182229,51.0,16027483,0.20867321350584772,0.20754716981132076,59754.40938025352,,0.2,
CrawfordsvilleV2-TP2-4351_13_18,77.28137341513577,73.0,22131917,104.97395078584124,105.0,30062545,66.78081297292768,64.0,19124756,0.19351206578090915,0.19254658385093168,55418.178910402545,,0.20179372197309417,
CrawfordsvilleV2-TP2-4351_13_19,76.21415750583174,74.0,21824991,106.078068472294,107.0,30376940,69.6063366903661,68.0,19932749,0.18892940707238445,0.18787878787878787,54102.5807268763,,0.19540229885057472,
CrawfordsvilleV2-TP2-4351_13_20,80.16358683314415,77.0,22952839,105.59607089845456,106.0,30234795,69.33791321051253,68.0,19853178,0.17670129664402423,0.17333333333333334,50593.99876160024,,0.1794871794871795,
CrawfordsvilleV2-TP2-4351_14_13,85.03440938976962,84.0,24378940,111.24718952196585,114.0,31894013,74.73321474040357,74.0,21425639,0.1738655908951069,0.16586151368760063,49846.395581672674,,0.20161290322580644,
CrawfordsvilleV2-TP2-4351_14_14,79.57588905785677,77.0,22815044,109.80119843185402,111.0,31480882,68.16955578497983,66.0,19544757,0.2021572924681926,0.2,57960.11300897057,,0.20353982300884957,
CrawfordsvilleV2-TP2-4351_14_15,78.18493246260326,76.0,22412180,104.32156661643224,105.0,29904403,66.07623772047332,64.0,18941150,0.184759881506964,0.184,52962.52859326028,,0.18181818181818182,
CrawfordsvilleV2-TP2-4351_14_16,79.00554396444048,76.0,22644411,107.88653189960156,108.0,30922222,69.94102254568799,67.0,20046356,0.19115914361262917,0.18631178707224336,54789.65142396455,,0.20441988950276244,
CrawfordsvilleV2-TP2-4351_14_17,87.49417590240361,87.0,25073031,117.55105594483683,123.0,33686371,74.50499008961224,75.0,21350746,0.19275178850697922,0.18900343642611683,55236.49452886802,,0.22077922077922077,
CrawfordsvilleV2-TP2-4351_14_18,79.61568039078855,79.0,22817854,104.46451151430566,106.0,29939529,69.27869155617586,68.0,19855273,0.17056634202552517,0.1703056768558952,48884.31362451552,,0.17142857142857143,
CrawfordsvilleV2-TP2-4351_14_19,65.36215903103223,61.0,18731030,89.90842821898784,89.0,25765328,57.69738251684562,55.0,16534512,0.18770747553877065,0.18840579710144928,53791.89438757212,,0.1782178217821782,
CrawfordsvilleV2-TP2-4351_14_20,65.40528881893282,63.0,18740512,92.78687672102998,93.0,26586131,57.79280980284718,56.0,16559316,0.20101403933219955,0.20253164556962025,57596.35167581581,,0.19101123595505617,
CrawfordsvilleV2-TP2-4351_15_13,75.91991188843849,74.0,21782106,105.62313834700201,107.0,30304229,66.45503975128003,64.0,19066549,0.20147038425859834,0.19887955182072828,57803.66647725019,,0.21100917431192662,
