file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Crawfordsville-TP5-4351_10_13,901.67,848.5,180334,705.21,679.5,141042,570.44,564.0,114088,-0.016822983465616184,-0.02053033125851358,-3.364596693123237,-0.11407487259905151,-0.118007730214018,-22.814974519810303,0.26444462265345015,0.26159159504598517,52.88892453069003,0.11907932489706605,0.11937376165987668,23.81586497941321,1188.93,1143.5,237786,536.36,530.0,107272,1524.15,1454.5,304830
Crawfordsville-TP5-4351_10_14,1032.2962962962963,1071.0,167232,771.925925925926,795.0,125052,629.7407407407408,646.0,102018,-0.03443822270211694,-0.037943696450428395,-5.578992077742944,-0.1403925916185143,-0.14544279250161604,-22.74359984219932,0.26858382383843765,0.26083964211975225,43.5105794618269,0.12454976791156758,0.12742838327296674,20.177062401673947,1370.679012345679,1420.0,222050,537.395061728395,547.0,87058,1769.9876543209878,1815.0,286738
Crawfordsville-TP5-4351_10_15,908.5925925925926,913.0,147192,708.2098765432099,704.0,114730,594.3086419753087,591.0,96278,-0.0268240638044708,-0.03125,-4.34549833632427,-0.11850389544233295,-0.12315270935960591,-19.197631061657937,0.24503416261036384,0.2422949265054528,39.69553434287894,0.12231425947886439,0.12552891396332863,19.81491003557603,1154.6172839506173,1147.0,187048,508.69135802469134,507.0,82408,1484.9259259259259,1460.0,240558
Crawfordsville-TP5-4351_10_16,816.75,832.5,163350,653.14,663.0,130628,561.86,573.5,112372,-0.02332692471254937,-0.028815272998329623,-4.665384942509874,-0.10324282999779007,-0.11299051587084041,-20.648565999558013,0.26377047820053867,0.2572932100725065,52.754095640107735,0.1155292809864616,0.1187077706491462,23.105856197292322,1086.64,1112.0,217328,509.73,516.5,101946,1380.94,1403.0,276188
Crawfordsville-TP5-4351_10_17,922.3958333333334,924.0,177100,725.3958333333334,725.5,139276,594.0729166666666,592.5,114062,-0.018078423966157626,-0.01967391026309226,-3.471057401502264,-0.11176703036533474,-0.12042499583669995,-21.45926983014427,0.31844925228542936,0.3074036257590089,61.14225643880244,0.14155934220494,0.14376823853948037,27.179393703348477,1311.46875,1325.0,251802,517.875,516.0,99432,1754.9895833333333,1758.0,336958
Crawfordsville-TP5-4351_10_18,824.18,803.0,164836,650.63,637.0,130126,552.48,543.0,110496,-0.02535134498095628,-0.026271122313721806,-5.070268996191256,-0.11146927721069355,-0.11740237489588445,-22.29385544213871,0.2747501124004552,0.27187583530334747,54.95002248009104,0.12167725646325944,0.12553426692009972,24.33545129265189,1110.84,1103.5,222168,497.89,487.0,99578,1428.04,1398.0,285608
Crawfordsville-TP5-4351_10_19,949.7222222222222,962.0,170950,724.7888888888889,735.0,130462,602.3111111111111,607.0,108416,-0.031210191211331503,-0.03438955728283373,-5.617834418039671,-0.1281312983036797,-0.13253295448040425,-23.063633694662343,0.26900415961568225,0.26170810377700576,48.4207487308228,0.11923223434766192,0.12167790209761933,21.461802182579145,1267.8444444444444,1277.5,228212,509.8222222222222,502.5,91768,1623.3666666666666,1635.0,292206
Crawfordsville-TP5-4351_10_20,958.5408163265306,984.0,187874,737.2142857142857,743.0,144494,597.7755102040817,607.0,117164,-0.024601232466461925,-0.028313249900572802,-4.8218415634265375,-0.12665091886077048,-0.13442958702005398,-24.823580096711012,0.2512675218621155,0.2451140671197245,49.248434284974635,0.1182463803883943,0.1202955583144005,23.176290556125284,1248.438775510204,1257.0,244694,541.0,550.0,106036,1589.2244897959183,1610.0,311488
Crawfordsville-TP5-4351_11_13,946.75,1001.0,189350,736.69,777.0,147338,586.53,610.0,117306,-0.016649782269747906,-0.021817432857118922,-3.329956453949581,-0.11938180895235831,-0.1283936990003817,-23.876361790471663,0.25581243914721324,0.24707834039819632,51.162487829442654,0.12387964802006808,0.12967626333917578,24.775929604013616,1224.39,1269.5,244878,516.59,520.0,103318,1580.44,1652.5,316088
Crawfordsville-TP5-4351_11_14,1011.7333333333333,1030.5,182112,759.5555555555555,764.5,136720,633.7,643.0,114066,-0.03786144111056328,-0.04095440179567564,-6.815059399901391,-0.1383116962961393,-0.14103962391590685,-24.896105333305073,0.24274674217278,0.23728190207837402,43.6944135911004,0.11726914480416893,0.1225441323915419,21.108446064750407,1291.9333333333334,1316.5,232548,546.1333333333333,552.0,98304,1645.411111111111,1686.5,296174
